Year,UID,Question,Categories,Unit,Answer Type,Asked of,Age range,Multiple choice options
1820,1820_20-23,Free colored males,"Age, Race, Sex, Enslavement",Household,FN,All respondents,"Under 14, 14 to 26, 26 to 45, 45 and over",
1820,1820_24-27,Free colored females,"Age, Race, Sex, Enslavement",Household,FN,All respondents,"Under 14, 14 to 26, 26 to 45, 45 and over",
1820,1820_28,People not naturalized,Immigration,Household,FN,All respondents,,
1820,1820_29,People engaged in Agriculture,Occupation - Job,Household,FN,All respondents,,
1820,1820_30,People engaged in Commerce,Occupation - Job,Household,FN,All respondents,,
1820,1820_31,People engaged in Manufactures,Occupation - Job,Household,FN,All respondents,,
1830,1830_1,Name of head of household,Identity,Individual,FT,All respondents,,
1830,1830_2-14,Free white males,"Age, Race, Sex",Household,FN,All respondents,"Under 5, 5 to 10, 10 to 15, 15 to 20, 20 to 30, 30 to 40, 40 to 50, 50 to 60, 60 to 70, 70 to 80, 80 to 90, 90 to 100, 100 and over",
1830,1830_15-27,Free white females,"Age, Race, Sex",Household,FN,All respondents,"Under 5, 5 to 10, 10 to 15, 15 to 20, 20 to 30, 30 to 40, 40 to 50, 50 to 60, 60 to 70, 70 to 80, 80 to 90, 90 to 100, 100 and over",
1830,1830_28-33,Male slaves,"Age, Race, Sex, Enslavement",Household,FN,All respondents,"Under 10, 10 to 24, 24 to 36, 36 to 55, 55 to 100, 100 and over",
1830,1830_34-39,Female slaves,"Age, Race, Sex, Enslavement",Household,FN,All respondents,"Under 10, 10 to 24, 24 to 36, 36 to 55, 55 to 100, 100 and over",
1830,1830_40-45,Free colored males,"Age, Race, Sex, Enslavement",Household,FN,All respondents,"Under 10, 10 to 24, 24 to 36, 36 to 55, 55 to 100, 100 and over",
1830,1830_46-51,Free colored females,"Age, Race, Sex, Enslavement",Household,FN,All respondents,"Under 10, 10 to 24, 24 to 36, 36 to 55, 55 to 100, 100 and over",
1830,1830_52-54,White people who are deaf/dumb,"Age, Race, Disability",Household,FN,All respondents,"Under 14, 14 to 25, 25 and over",
1830,1830_55,White people who are blind,"Race, Disability",Household,FN,All respondents,,
1830,1830_56,White foreigners not naturalized,"Citizenship, Race",Household,FN,All respondents,,
1830,1830_57-59,Deaf/dumb slaves and colored people,"Age, Race, Disability",Household,FN,All respondents,"Under 14, 14 to 25, 25 and over",
1830,1830_60,Blind slaves and colored people,"Age, Race, Disability",Household,FN,All respondents,,
1840,1840_1,Name of head of household,Identity,Individual,FT,All respondents,,
1840,1840_2-14,Free white males,"Age, Race, Sex",Household,FN,All respondents,"Under 5, 5 to 10, 10 to 15, 15 to 20, 20 to 30, 30 to 40, 40 to 50, 50 to 60, 60 to 70, 70 to 80, 80 to 90, 90 to 100, 100 and over",
1840,1840_15-27,Free white females,"Age, Race, Sex",Household,FN,All respondents,"Under 5, 5 to 10, 10 to 15, 15 to 20, 20 to 30, 30 to 40, 40 to 50, 50 to 60, 60 to 70, 70 to 80, 80 to 90, 90 to 100, 100 and over",
1840,1840_40-45,Male slaves,"Age, Race, Sex, Enslavement",Household,FN,All respondents,"Under 10, 10 to 24, 24 to 36, 36 to 55, 55 to 100, 100 and over",
1840,1840_46-51,Female slaves,"Age, Race, Sex, Enslavement",Household,FN,All respondents,"Under 10, 10 to 24, 24 to 36, 36 to 55, 55 to 100, 100 and over",
1840,1840_28-33,Free colored males,"Age, Race, Sex, Enslavement",Household,FN,All respondents,"Under 10, 10 to 24, 24 to 36, 36 to 55, 55 to 100, 100 and over",
1840,1840_34-39,Free colored females,"Age, Race, Sex, Enslavement",Household,FN,All respondents,"Under 10, 10 to 24, 24 to 36, 36 to 55, 55 to 100, 100 and over",
1840,1840_52,People engaged in Mining,Occupation - Job,Household,FN,All respondents,,
1840,1840_53,People engaged in Agriculture,Occupation - Job,Household,FN,All respondents,,
1840,1840_54,People engaged in Commerce,Occupation - Job,Household,FN,All respondents,,
1840,1840_55,People engaged in Manufacture and Trade,Occupation - Job,Household,FN,All respondents,,
1840,1840_56,People engaged in Navigation of the Ocean,Occupation - Job,Household,FN,All respondents,,
1840,1840_57,"People engaged in Navigation of Canals, Lakes, and Rivers",Occupation - Job,Household,FN,All respondents,,
1840,1840_58,People engaged in Learned Professions and Engineers,Occupation - Job,Household,FN,All respondents,,
1840,1840_59-60,Pensioners for Revolutionary service,Veteran status,Household,FT,All respondents,,
1840,1840_61-63,White people who are deaf/dumb,"Age, Race, Disability",Household,FN,All respondents,"Under 14, 14 to 25, 25 and over",
1840,1840_64,White people who are blind,"Race, Disability",Household,FN,All respondents,,
1840,1840_65,White people with intellectual disability at private charge,"Race, Disability",Household,FN,All respondents,,
1840,1840_66,White people with intellectual disability at public charge,"Race, Disability",Household,FN,All respondents,,
1840,1840_67,Colored people who are deaf/dumb,"Race, Disability",Household,FN,All respondents,,
1840,1840_68,Colored people who are blind,"Race, Disability",Household,FN,All respondents,,
1840,1840_69,Colored people with intellectual disability at private charge,"Race, Disability",Household,FN,All respondents,,
1840,1840_70,Colored people with intellectual disability at public charge,"Race, Disability",Household,FN,All respondents,,
1840,1840_71,Students at colleges or universities,Education,Household,FN,All respondents,,
1840,1840_72,Students associated with grammar schools,Education,Household,FN,All respondents,,
1840,1840_73,Students associated with primary schools,Education,Household,FN,All respondents,,
1840,1840_74,Students at primary schools at public charge,Education,Household,FN,All respondents,,
1840,1840_75,White adults who cannot read and write,"Age, Race, Education",Household,FN,All respondents,,
1850,1850_3,Name,Identity,Individual,FT,All respondents,,
1850,1850_5,Sex,Identity,Individual,FT,All respondents,,
1850,1850_4,Age,Identity,Individual,FN,All respondents,,
1850,1850_6,Color,Race,Individual,CC,All respondents,,"White, Black, Mulatto"
1850,1850_7,"Profession, occupation, or trade",Occupation - Job,Individual,FT,"16 or over, male",,
1850,1850_8,Value of real estate,Housing,Individual,FN,All respondents,,
1850,1850_9,Place of Birth (state or country),National origin,Individual,FT,All respondents,,
1850,1850_10,Married in the last year,Family,Individual,BN,All respondents,,
1850,1850_11,At school in the last year,Education,Individual,BN,All respondents,,
1850,1850_12,"Over 20, unable to read and write",Education,Individual,BN,All respondents,,
1850,1850_13,People with disabilities and dependencies,Disability,Individual,FT,All respondents,,
1860,1860_3,Name,Identity,Individual,FT,All respondents,,
1860,1860_5,Sex,Identity,Individual,FT,All respondents,,
1860,1860_4,Age,Identity,Individual,FN,All respondents,,
1860,1860_6,Color,Race,Individual,CC,All respondents,,"White, Black, Mulatto"
1860,1860_7,"Profession, occupation, or trade of each person",Occupation - Job,Individual,FT,16 or over,,
1860,1860_8,Value of real estate,Housing,Individual,FN,All respondents,,
1860,1860_9,Value of personal estate,Housing,Individual,FN,All respondents,,
1860,1860_10,Place of Birth (state or country),National origin,Individual,FT,All respondents,,
1860,1860_11,Married in the last year,Family,Individual,BN,All respondents,,
1860,1860_12,At school in the last year,Education,Individual,BN,All respondents,,
1860,1860_13,"Over 20, unable to read and write",Education,Individual,BN,All respondents,,
1860,1860_14,People with disabilities and dependencies,Disability,Individual,FT,All respondents,,
1870,1870_3,Name,Identity,Individual,FT,All respondents,,
1870,1870_5,Sex,Identity,Individual,CC,All respondents,,"Male, Female"
1870,1870_4,Age,Identity,Individual,FN,All respondents,,
1870,1870_6,Color,Race,Individual,CC,All respondents,,"White, Black, Mulatto, Chinese, Indian"
1870,1870_7,"Profession, occupation, or trade of each person",Occupation - Job,Individual,FT,No infants,,
1870,1870_8,Value of real estate,Housing,Individual,FN,All respondents,,
1870,1870_9,Value of personal estate,Housing,Individual,FN,All respondents,,
1870,1870_10,Place of Birth (state or country),National origin,Individual,FT,All respondents,,
1870,1870_11,Father of foreign birth,National origin,Individual,BN,All respondents,,
1870,1870_12,Mother of foreign birth,National origin,Individual,BN,All respondents,,
1870,1870_13,"If born in last year, what month?",Identity,Individual,FD,All respondents,,
1870,1870_14,"If married in last year, what month?",Family,Individual,FD,All respondents,,
1870,1870_15,At school in the last year,Education,Individual,BN,All respondents,,
1870,1870_16,Unable to read,Education,Individual,BN,No infants,,
1870,1870_17,Unable to write,Education,Individual,BN,No infants,,
1870,1870_18,"""Deaf/dumb, blind, insane, or idiotic""",Disability,Individual,FT,All respondents,,
1870,1870_19,Male citizen 21 years or older,Immigration,Individual,BN,"21 or over, male",,
1870,1870_20,Male adult denied right to vote,Immigration,Individual,BN,"21 or over, male",,
1880,1880_3,Name,Identity,Individual,FT,All respondents,,
1880,1880_4,Color,Race,Individual,CC,All respondents,,"White, Black, Mulatto, Chinese, Indian"
1880,1880_5,Sex,Identity,Individual,CC,All respondents,,"Male, Female"
1880,1880_6,Age,Identity,Individual,FN,All respondents,,
1880,1880_7,"If born in last year, what month?",Identity,Individual,FD,All respondents,,
1880,1880_8,Relationship to head of family,Family,Individual,CC,All respondents,,"Wife, Son, Daughter, Servant, Boarder, Other"
1880,1880_9,Single,Family,Individual,BN,All respondents,,
1880,1880_10,Married,Family,Individual,BN,All respondents,,
1880,1880_11,Widowed / Divorced,Family,Individual,BN,All respondents,,
1880,1880_12,Married in the last year,Family,Individual,BN,All respondents,,
1880,1880_13,"Profession, occupation, or trade of each person",Occupation - Job,Individual,FT,10 or over,,
1880,1880_14,Months unemployed in Census year,Occupation - Unemployment,Individual,FN,10 or over,,
1880,1880_15,Sick or temporarily disabled,Disability,Individual,FT,All respondents,,
1880,1880_16,Blind,Disability,Individual,BN,All respondents,,
1880,1880_17,Deaf/dumb,Disability,Individual,BN,All respondents,,
1880,1880_18,Idiotic,Disability,Individual,BN,All respondents,,
1880,1880_19,Insane,Disability,Individual,BN,All respondents,,
1880,1880_20,Physical disability,Disability,Individual,BN,All respondents,,
1880,1880_21,At school in the last year,Education,Individual,BN,All respondents,,
1880,1880_22,Unable to read,Education,Individual,BN,10 or over,,
1880,1880_23,Unable to write,Education,Individual,BN,10 or over,,
1880,1880_24,Place of Birth (state or country),National origin,Individual,FT,All respondents,,
1880,1880_25,Father place of birth,National origin,Individual,FT,All respondents,,
1880,1880_26,Mother place of birth,National origin,Individual,FT,All respondents,,
1890,1890_1,Name,Identity,Individual,FT,All respondents,,
1890,1890_2,Soldier in Civil War or widow of one,Veteran status,Individual,FT,All respondents,,
1890,1890_3,Relationship to head of family,Family,Individual,FT,All respondents,,
1890,1890_4,Race,Race,Individual,CC,All respondents,,"White, Black, Mulatto, Quadroon, Octoroon, Chinese, Japanese, Indian"
1890,1890_5,Sex,Identity,Individual,FT,All respondents,,
1890,1890_6,Age,Identity,Individual,FN,All respondents,,
1890,1890_7,"Single, married, widowed, or divorced",Family,Individual,CC,All respondents,,"Single, Married, Widowed, Divorced"
1890,1890_8,Married in the last year,Family,Individual,BN,All respondents,,
1890,1890_9,Mother of how many children and number living,Family,Individual,FN,All respondents,,
1890,1890_10,Place of Birth (state or country),National origin,Individual,FT,All respondents,,
1890,1890_11,Father place of birth,National origin,Individual,FT,All respondents,,
1890,1890_12,Mother place of birth,National origin,Individual,FT,All respondents,,
1890,1890_13,Years in US,Immigration,Individual,FN,All respondents,,
1890,1890_14,Naturalized,Immigration,Individual,BN,All respondents,,
1890,1890_15,Naturalization papers taken out,Immigration,Individual,BN,All respondents,,
1890,1890_16,"Profession, occupation, or trade",Occupation - Job,Individual,FT,All respondents,,
1890,1890_17,Months unemployed in Census year,Occupation - Unemployment,Individual,FN,All respondents,,
1890,1890_18,Months in school in the last year,Education,Individual,FN,All respondents,,
1890,1890_19,Able to read,Education,Individual,BN,All respondents,,
1890,1890_20,Able to write,Education,Individual,BN,All respondents,,
1890,1890_21,"Able to speak English, if not language spoken",National origin,Individual,FT,All respondents,,
1890,1890_22,Acute or chronic disease,Disability,Individual,FT,All respondents,,
1890,1890_23,Physical and intellectual disability,Disability,Individual,FT,All respondents,,
1890,1890_24,"""Prisoner, convict, homeless child, pauper""",Disability,Individual,FT,All respondents,,
1890,1890_26,Rent or own,Housing,Household,FT,All respondents,,
1890,1890_27,"If owned, mortgaged",Housing,Household,FT,All respondents,,
1890,1890_28,"If farmer, rent or own",Housing,Household,FT,All respondents,,
1890,1890_29,"If farm owned, mortgaged",Housing,Household,BN,All respondents,,
1890,1890_30,Address of owner,Housing,Household,FT,All respondents,,
1900,1900_3,Name,Identity,Individual,FT,All respondents,,
1900,1900_4,Relationship to head of family,Family,Individual,FT,All respondents,,
1900,1900_5,Color or race,Race,Individual,FT,All respondents,,
1900,1900_6,Sex,Identity,Individual,FT,All respondents,,
1900,1900_7,Birth date,Identity,Individual,FD,All respondents,,
1900,1900_8,Age,Identity,Individual,FN,All respondents,,
1900,1900_9,"Single, married, widowed, or divorced",Family,Individual,CC,All respondents,,"Single, Married, Widowed, Divorced"
1900,1900_10,Years married,Family,Individual,FN,All respondents,,
1900,1900_11,Mother of how many children,Family,Individual,FN,All respondents,,
1900,1900_12,Mother of how many children living,Family,Individual,FN,All respondents,,
1900,1900_13,Place of Birth (state or country),National origin,Individual,FT,All respondents,,
1900,1900_14,Father place of birth,National origin,Individual,FT,All respondents,,
1900,1900_15,Mother place of birth,National origin,Individual,FT,All respondents,,
1900,1900_16,Year of immigration to US,Immigration,Individual,FD,All respondents,,
1900,1900_17,Years in US,Immigration,Individual,FN,All respondents,,
1900,1900_18,Naturalized,Immigration,Individual,BN,All respondents,,
1900,1900_19,"Profession, occupation, or trade",Occupation - Job,Individual,FT,10 or over,,
1900,1900_20,Months not employed,Occupation - Unemployment,Individual,FN,10 or over,,
1900,1900_21,Months in school in the last year,Education,Individual,FN,All respondents,,
1900,1900_22,Able to read,Education,Individual,BN,All respondents,,
1900,1900_23,Able to write,Education,Individual,BN,All respondents,,
1900,1900_24,Able to speak English,National origin,Individual,BN,All respondents,,
1900,1900_25,Rent or own,Housing,Individual,CC,All respondents,,"Owned, Rented"
1900,1900_26,"If owned, mortgaged",Housing,Individual,BN,All respondents,,
1900,1900_27,Farm or house,Housing,Individual,CC,All respondents,,"Farm, House"
1910,1910_3,Name,Identity,Individual,FT,All respondents,,
1910,1910_4,Relationship to head of family,Family,Individual,FT,All respondents,,
1910,1910_5,Sex,Identity,Individual,FT,All respondents,,
1910,1910_6,Color or race,Race,Individual,FT,All respondents,,
1910,1910_7,Age,Identity,Individual,FN,All respondents,,
1910,1910_8,"Single, married, widowed, or divorced",Family,Individual,CC,All respondents,,"Single, Married, Widowed, Divorced"
1910,1910_9,Years married,Family,Individual,FN,All respondents,,
1910,1910_10,Mother of how many children,Family,Individual,FN,All respondents,,
1910,1910_11,Mother of how many children living,Family,Individual,FN,All respondents,,
1910,1910_12,Place of Birth (state or country),National origin,Individual,FT,All respondents,,
1910,1910_13,Father place of birth,National origin,Individual,FT,All respondents,,
1910,1910_14,Mother place of birth,National origin,Individual,FT,All respondents,,
1910,1910_15,Year of immigration to US,Immigration,Individual,FD,All respondents,,
1910,1910_16,Naturalized,Immigration,Individual,CC,All respondents,,"Naturalized, Alien"
1910,1910_17,"Able to speak English, if not language spoken",National origin,Individual,FT,All respondents,,
1910,1910_18,"Profession, occupation, or trade",Occupation - Job,Individual,FT,All respondents,,
1910,1910_19,Industry,Occupation - Job,Individual,FT,All respondents,,
1910,1910_20,"Employer, employee, or self-employed",Occupation - Job,Individual,CC,All respondents,,"Employer, Employee, Self-employed"
1910,1910_21,"If employee, unemployed on April 15",Occupation - Unemployment,Individual,BN,All respondents,,
1910,1910_22,Weeks unemployed previous year,Occupation - Unemployment,Individual,FN,All respondents,,
1910,1910_25,At school in the last year,Education,Individual,BN,All respondents,,
1910,1910_23,Able to read,Education,Individual,BN,All respondents,,
1910,1910_24,Able to write,Education,Individual,BN,All respondents,,
1910,1910_26,Rent or own,Housing,Individual,CC,All respondents,,"Owned, Rented"
1910,1910_27,"If owned, mortgaged",Housing,Individual,BN,All respondents,,
1910,1910_28,Farm or house,Housing,Individual,CC,All respondents,,"Farm, House"
1910,1910_30,Soldier in Civil War,Veteran status,Individual,BN,All respondents,,
1910,1910_31,Blind,Disability,Individual,BN,All respondents,,
1910,1910_32,Deaf/dumb,Disability,Individual,BN,All respondents,,
1920,1920_5,Name,Identity,Individual,FT,All respondents,,
1920,1920_6,Relationship to head of family,Family,Individual,FT,All respondents,,
1920,1920_7,Rent or own,Housing,Individual,CC,All respondents,,"Owned, Rented"
1920,1920_8,"If owned, mortgaged",Housing,Individual,BN,All respondents,,
1920,1920_9,Sex,Identity,Individual,FT,All respondents,,
1920,1920_10,Color or race,Race,Individual,FT,All respondents,,
1920,1920_11,Age,Identity,Individual,FN,All respondents,,
1920,1920_12,"Single, married, widowed, or divorced",Family,Individual,CC,All respondents,,"Single, Married, Widowed, Divorced"
1920,1920_13,Year of immigration to US,Immigration,Individual,FD,All respondents,,
1920,1920_14,Naturalized,Immigration,Individual,CC,All respondents,,"Naturalized, Alien"
1920,1920_15,"If naturalized, year of naturalization",Immigration,Individual,FD,All respondents,,
1920,1920_16,At school in the last year,Education,Individual,BN,All respondents,,
1920,1920_17,Able to read,Education,Individual,BN,All respondents,,
1920,1920_18,Able to write,Education,Individual,BN,All respondents,,
1920,1920_19,Place of Birth (state or country),National origin,Individual,FT,All respondents,,
1920,1920_24,Mother mother tongue,National origin,Individual,FT,All respondents,,
1920,1920_21,Father place of birth,National origin,Individual,FT,All respondents,,
1920,1920_22,Father mother tongue,National origin,Individual,FT,All respondents,,
1920,1920_23,Mother place of birth,National origin,Individual,FT,All respondents,,
1920,1920_20,Mother tongue,National origin,Individual,FT,All respondents,,
1920,1920_25,Able to speak English,National origin,Individual,BN,All respondents,,
1920,1920_26,"Profession, occupation, or trade",Occupation - Job,Individual,FT,All respondents,,
1920,1920_27,Industry,Occupation - Job,Individual,FT,All respondents,,
1920,1920_28,"Employer, employee, or self-employed",Occupation - Job,Individual,CC,All respondents,,"Employer, Salary or wage worker, Self-employed"
1930,1930_5,Name,Identity,Individual,FT,All respondents,,
1930,1930_6,Relationship to head of family,Family,Individual,FT,All respondents,,
1930,1930_7,Rent or own,Housing,Individual,CC,Head of family,,"Owned, Rented"
1930,1930_8,Home value or monthly rent,Housing,Individual,FM,Head of family,,
1930,1930_9,Radio set,Housing,Individual,CC,Head of family,,Radio set
1930,1930_10,Farm,Housing,Individual,BN,Head of family,,
1930,1930_11,Sex,Identity,Individual,CC,All respondents,,"Male, Female"
1930,1930_12,Color or race,Race,Individual,CC,All respondents,,"White, Negro, Mexican, Indian, Chinese, Japanese, Filipino, Hindu, Korean"
1930,1930_13,Age,Identity,Individual,FN,All respondents,,
1930,1930_14,Marital status,Family,Individual,CC,All respondents,,"Single, Married, Widowed, Divorced"
1930,1930_15,Age at first marriage,Family,Individual,FN,Ever married,,
1930,1930_16,At school in the last year,Education,Individual,BN,All respondents,,
1930,1930_17,Able to read and write,Education,Individual,BN,10 or over,,
1930,1930_18,Place of Birth (state or country),National origin,Individual,FT,All respondents,,
1930,1930_19,Father place of birth,National origin,Individual,FT,All respondents,,
1930,1930_20,Mother place of birth,National origin,Individual,FT,All respondents,,
1930,1930_21,Mother tongue,National origin,Individual,FT,Foreign born,,
1930,1930_22,Year of immigration to US,Immigration,Individual,FD,All respondents,,
1930,1930_23,Naturalized,Immigration,Individual,CC,All respondents,,"Naturalized, First papers, Alien"
1930,1930_24,Able to speak English,National origin,Individual,BN,10 or over,,
1930,1930_25,"Profession, occupation, or trade",Occupation - Job,Individual,FT,All respondents,,
1930,1930_26,Industry,Occupation - Job,Individual,FT,Employed,,
1930,1930_27,Class of worker,Occupation - Job,Individual,CC,Employed,,"Employer, Wage or salary worker, Self-employed, Unpaid"
1930,1930_28,At work last work day,Occupation - Unemployment,Individual,BN,Employed,,
1930,1930_30,Veteran,Veteran status,Individual,BN,"21 or over, male",,
1930,1930_31,What war or expedition,Veteran status,Individual,CC,All respondents,,"World War, Spanish-American, Civil War, Philippine Insurrection, Boxer Rebellion, Mexican Expedition"
1940,1940_4,Rent or own,Housing,Individual,CC,All respondents,,"Owned, Rented"
1940,1940_5,Home value or monthly rent,Housing,Individual,FM,All respondents,,
1940,1940_6,Farm,Housing,Individual,BN,All respondents,,
1940,1940_7,Name,Identity,Individual,FT,All respondents,,
1940,1940_8,Relationship to head of family,Family,Individual,FT,All respondents,,
1940,1940_9,Sex,Identity,Individual,CC,All respondents,,"Male, Female"
1940,1940_10,Color or race,Race,Individual,CC,All respondents,,"White, Negro, Indian, Chinese, Japanese, Filipino, Hindu, Korean"
1940,1940_11,Age,Identity,Individual,FN,All respondents,,
1940,1940_12,Marital status,Family,Individual,CC,All respondents,,"Single, Married, Widowed, Divorced"
1940,1940_13,At school in the last year,Education,Individual,BN,All respondents,,
1940,1940_14,Education level completed,Education,Individual,CC,All respondents,,"0, 1, 2, 3, 4, 5, 6, 7, 8, H-1, H-2, H-3, H-4, C-1, C-2, C-3, C-4, C-5"
1940,1940_15,Place of Birth (state or country),National origin,Individual,FT,All respondents,,
1940,1940_16,Citizenship of foreign born,Immigration,Individual,CC,Foreign born,,"Naturalized, First papers, Alien, Citizen born abroad"
1940,1940_17_18_19_20,Residence in 1935,Housing,Individual,FT,All respondents,,
1940,1940_21,At work last week (private/non-emergency),Occupation - Unemployment,Individual,BN,14 or over,,
1940,1940_22,At work last week (public emergency),Occupation - Unemployment,Individual,BN,14 or over,,
1940,1940_23,Seeking work,Occupation - Unemployment,Individual,BN,14 or over,,
1940,1940_24,Have a job,Occupation - Job,Individual,BN,14 or over,,
1940,1940_25,Occupation other than work,Occupation - Unemployment,Individual,CC,14 or over,,"Housework, School, Unable to work, Other"
1940,1940_26,"If private work, hours per week",Occupation - Unemployment,Individual,FN,14 or over,,
1940,1940_27,Duration of unemployment,Occupation - Unemployment,Individual,FN,14 or over,,
1940,1940_28,"Profession, occupation, or trade",Occupation - Job,Individual,FT,14 or over,,
1940,1940_29,Industry,Occupation - Job,Individual,FT,14 or over,,
1940,1940_30,Class of worker,Occupation - Job,Individual,CC,14 or over,,"Wage or salary (private), Wage or salary (government), Employer, Self-employed, Unpaid"
1940,1940_31,Weeks of work in 1939,Occupation,Individual,FN,14 or over,,
1940,1940_32,1939 salary,Occupation - Income,Individual,FM,14 or over,,
1940,1940_33,1939 outside income,Occupation - Income,Individual,BN,14 or over,,
1940,1940_36,Father place of birth,National origin,Sampled Individual,FT,All respondents,,
1940,1940_37,Mother place of birth,National origin,Sampled Individual,FT,All respondents,,
1940,1940_38,Mother tongue,National origin,Sampled Individual,FT,All respondents,,
1940,1940_39,"Veteran, widow, or child of veteran",Veteran status,Sampled Individual,BN,All respondents,,
1940,1940_40,"If child, is father dead",Veteran status,Sampled Individual,BN,All respondents,,
1940,1940_41,War or military service,Veteran status,Sampled Individual,CC,All respondents,,"World War, Spanish American/Philippine Insurrection/Boxer Rebellion, Spanish-American and World War, Regular establishment/peacetime, Other"
1940,1940_42,Has SSN,Occupation - Income,Sampled Individual,BN,14 or over,,
1940,1940_43,Retirement deductions made in 1939,Occupation - Income,Sampled Individual,BN,14 or over,,
1940,1940_44,"If so, how much deducted?",Occupation - Income,Sampled Individual,CC,14 or over,,"All, Half or more, Part but less than half"
1940,1940_45,"Profession, occupation, or trade",Occupation - Job,Sampled Individual,FT,14 or over,,
1940,1940_46,Industry,Occupation - Job,Sampled Individual,FT,14 or over,,
1940,1940_47,Class of worker,Occupation - Job,Sampled Individual,CC,14 or over,,"Wage or salary (private), Wage or salary (government), Employer, Self-employed, Unpaid"
1940,1940_48,Married more than once,Family,Sampled Individual,BN,"Ever married, women",,
1940,1940_49,Age at first marriage,Family,Sampled Individual,FN,"Ever married, women",,
1940,1940_50,Mother of how many children,Family,Sampled Individual,FN,"Ever married, women",,
1940,1940_H,Housing questionnaire,Housing,Sampled Household,CC,All respondents,,
1950,1950_4,House on a farm or ranch,Housing,Individual,BN,All respondents,,
1950,1950_5,House on 3+ acres,Housing,Individual,BN,All respondents,,
1950,1950_7,Name,Identity,Individual,FT,All respondents,,
1950,1950_8,Relationship to head of family,Family,Individual,FT,All respondents,,
1950,1950_9,Race,Race,Individual,CC,All respondents,,"White, Negro, American Indian, Japanese, Chinese, Filipino"
1950,1950_10,Sex,Identity,Individual,FT,All respondents,,"Male, Female"
1950,1950_11,Age,Identity,Individual,FN,All respondents,,
1950,1950_12,Marital status,Family,Individual,CC,All respondents,,"Married, Widowed, Divorced, Separated, Never married"
1950,1950_13,Place of Birth (state or country),National origin,Individual,FT,All respondents,,
1950,1950_14,Naturalized,Immigration,Individual,CC,All respondents,,"Yes, No, Born abroad to American parents"
1950,1950_15,Doing most of last week,Occupation,Individual,CC,14 or over,,"Work, Housekeeping, Other, Unable to work"
1950,1950_16,Did any non-housekeeping last week,Occupation,Individual,BN,14 or over,,
1950,1950_19,Hours worked last week,Occupation,Individual,FN,14 or over,,
1950,1950_17,Seeking work,Occupation - Unemployment,Individual,BN,14 or over,,
1950,1950_18,Have a job or business,Occupation,Individual,BN,14 or over,,
1950,1950_20a,Type of work,Occupation - Job,Individual,FT,14 or over,,
1950,1950_20b,Industry,Occupation - Job,Individual,FT,14 or over,,
1950,1950_20c,Class of worker,Occupation - Job,Individual,CC,14 or over,,"Private, Government, Own, Without pay family business"
1950,1950_21,Living in same house a year ago,Housing,Sampled Individual,BN,All respondents,,
1950,1950_22,Living on a farm a year ago,Housing,Sampled Individual,BN,All respondents,,
1950,1950_23,Living in same county a year ago,Housing,Sampled Individual,BN,All respondents,,
1950,1950_24,Residence in 1949 (+ subquestions),Housing,Sampled Individual,FT,All respondents,,
1950,1950_25i,Father place of birth,National origin,Sampled Individual,FT,All respondents,,
1950,1950_25ii,Mother place of birth,National origin,Sampled Individual,FT,All respondents,,
