index,year,level,sport,winner,winner_metro,runner_up,runner_up_metro,final_four3,final_four3_metro,final_four4,final_four4_metro
48,1908,college,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,
49,1908,pro,MLB,Chicago Cubs,"Chicago, IL",Detroit Tigers,"Metro Detroit, MI",Cleveland Naps,"Cleveland, OH",New York Giants,New York Metro Area
50,1909,college,Football (M),LSU Fighting Tigers,"Baton Rouge, LA",,,,,,
51,1909,college,Football (M),Pennsylvania Quakers,"Greater Philadelphia, PA",,,,,,
52,1909,pro,MLB,Pittsburgh Pirates,"Pittsburgh, PA",Detroit Tigers,"Metro Detroit, MI",Chicago Cubs,"Chicago, IL",Philadelphia Phillies,"Greater Philadelphia, PA"
53,1909,pro,CFL,University of Toronto Varsity Blues,"Toronto, ON",Toronto Parkdale Canoe Club,"Toronto, ON",,,,
54,1910,college,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,
55,1910,pro,MLB,Philadelphia Athletics,"Greater Philadelphia, PA",Chicago Cubs,"Chicago, IL",New York Highlanders,New York Metro Area,New York Giants,New York Metro Area
56,1910,pro,CFL,University of Toronto Varsity Blues,"Toronto, ON",Hamilton Tigers,"Hamilton, ON",,,,
57,1911,college,Football (M),Pittsburgh Panthers,"Pittsburgh, PA",,,,,,
58,1911,college,Football (M),Harvard Crimson,"Greater Boston, MA",,,,,,
59,1911,pro,MLB,Philadelphia Athletics,"Greater Philadelphia, PA",New York Giants,New York Metro Area,Detroit Tigers,"Metro Detroit, MI",Chicago Cubs,"Chicago, IL"
60,1911,pro,CFL,University of Toronto Varsity Blues,"Toronto, ON",Toronto Argonauts,"Toronto, ON",,,,
61,1912,college,Football (M),Penn State Nittany Lions,"State College, PA",,,,,,
62,1912,college,Football (M),Princeton Tigers,"Princeton, NJ",,,,,,
63,1912,pro,MLB,Boston Red Sox,"Greater Boston, MA",New York Giants,New York Metro Area,Washington Senators,"Washington, DC Metro Area",Philadelphia Phillies,"Greater Philadelphia, PA"
64,1912,pro,CFL,Hamilton Alerts,"Hamilton, ON",Toronto Argonauts,"Toronto, ON",,,,
65,1913,college,Football (M),Penn State Nittany Lions,"State College, PA",,,,,,
66,1913,college,Football (M),Harvard Crimson,"Greater Boston, MA",,,,,,
67,1913,pro,MLB,Philadelphia Athletics,"Greater Philadelphia, PA",New York Giants,New York Metro Area,Boston Red Sox,"Greater Boston, MA",Philadelphia Phillies,"Greater Philadelphia, PA"
68,1913,pro,CFL,Hamilton Tigers,"Hamilton, ON",Toronto Parkdale Canoe Club,"Toronto, ON",,,,
69,1914,college,Football (M),Harvard Crimson,"Greater Boston, MA",,,,,,
70,1914,pro,MLB,Boston Braves,"Greater Boston, MA",Philadelphia Athletics,"Greater Philadelphia, PA",Boston Red Sox,"Greater Boston, MA",New York Giants,New York Metro Area
71,1914,pro,CFL,Toronto Argonauts,"Toronto, ON",University of Toronto Varsity Blues,"Toronto, ON",,"Toronto, ON",,"Toronto, ON"
72,1915,college,Football (M),Army Black Knights,"West Point, NY",,,,,,
73,1915,pro,MLB,Boston Red Sox,"Greater Boston, MA",Philadelphia Phillies,"Greater Philadelphia, PA",Detroit Tigers,"Metro Detroit, MI",Boston Braves,"Greater Boston, MA"
74,1915,pro,CFL,Hamilton Tigers,"Hamilton, ON",Toronto Rowing Association,"Toronto, ON",,"Toronto, ON",,"Toronto, ON"
75,1916,college,Football (M),Cornell Big Red,"Ithaca, NY",,,,,,
76,1916,pro,MLB,Boston Red Sox,"Greater Boston, MA",Brooklyn Robins,New York Metro Area,Chicago White Sox,"Chicago, IL",Philadelphia Phillies,"Greater Philadelphia, PA"
78,1917,college,Football (M),Pittsburgh Panthers,"Pittsburgh, PA",,,,,,
79,1917,pro,MLB,Chicago White Sox,"Chicago, IL",New York Giants,New York Metro Area,Boston Red Sox,"Greater Boston, MA",Philadelphia Phillies,"Greater Philadelphia, PA"
81,1918,college,Football (M),Georgia Tech Yellow Jackets,"Atlanta, GA",,,,,,
82,1918,pro,NHL,Toronto Arenas,"Toronto, ON",Montreal Canadiens,"Montreal, QC",,,,
83,1918,pro,MLB,Boston Red Sox,"Greater Boston, MA",Chicago Cubs,"Chicago, IL",Cleveland Indians,"Cleveland, OH",New York Giants,New York Metro Area
85,1919,college,Football (M),Michigan Wolverines,"Ann Arbor, MI",,,,,,
86,1919,college,Football (M),Pittsburgh Panthers,"Pittsburgh, PA",,,,,,
87,1919,pro,NHL,Montreal Canadiens,"Montreal, QC",Ottawa Senators,"Ottawa, ON",,,,
88,1919,pro,MLB,Cincinnati Reds,"Cincinnati, OH",Chicago White Sox,"Chicago, IL",Cleveland Indians,"Cleveland, OH",New York Giants,New York Metro Area
90,1920,college,Football (M),Texas A&M Aggies,"College Station, TX",,,,,,
91,1920,college,Football (M),Illinois Fighting Illini,"Champaign-Urbana, IL",,,,,,
92,1920,college,Football (M),Notre Dame Fighting Irish,"Notre Dame, IN",,,,,,
93,1920,college,Football (M),Harvard Crimson,"Greater Boston, MA",,,,,,
95,1920,pro,MLB,Cleveland Indians,"Cleveland, OH",Brooklyn Robins,New York Metro Area,Chicago White Sox,"Chicago, IL",New York Giants,New York Metro Area
96,1920,pro,CFL,University of Toronto Varsity Blues,"Toronto, ON",Toronto Argonauts,"Toronto, ON",,,,
97,1921,college,Football (M),California Golden Bears,"San Francisco Bay Area, CA",,,,,,
98,1921,pro,NHL,Ottawa Senators,"Ottawa, ON",Toronto St. Patricks,"Toronto, ON",,"Toronto, ON",,"Toronto, ON"
99,1921,pro,MLB,New York Giants,New York Metro Area,New York Yankees,New York Metro Area,Cleveland Indians,"Cleveland, OH",Pittsburgh Pirates,"Pittsburgh, PA"
100,1921,pro,CFL,Toronto Argonauts,"Toronto, ON",Edmonton Eskimos,"Edmonton, AB",,,,
101,1922,college,Football (M),Cornell Big Red,"Ithaca, NY",,,,,,
102,1922,college,Football (M),California Golden Bears,"San Francisco Bay Area, CA",,,,,,
103,1922,pro,NHL,Toronto St. Patricks,"Toronto, ON",Ottawa Senators,"Ottawa, ON",,,,
104,1922,pro,MLB,New York Giants,New York Metro Area,New York Yankees,New York Metro Area,St. Louis Browns,"St. Louis, MO",Cincinnati Reds,"Cincinnati, OH"
105,1922,pro,NFL,Canton Bulldogs,"Canton, OH",Chicago Bears,"Chicago, IL",,,,
106,1922,pro,CFL,Queen's Gaels,"Kingston, ON",Edmonton Elks,"Edmonton, AB",,,,
107,1923,college,Football (M),Cornell Big Red,"Ithaca, NY",,,,,,
108,1923,college,Football (M),Princeton Tigers,"Princeton, NJ",,,,,,
109,1923,college,Football (M),California Golden Bears,"San Francisco Bay Area, CA",,,,,,
110,1923,pro,NHL,Ottawa Senators,"Ottawa, ON",Montreal Canadiens,"Montreal, QC",,,,
111,1923,pro,MLB,New York Yankees,New York Metro Area,New York Giants,New York Metro Area,Detroit Tigers,"Metro Detroit, MI",Cincinnati Reds,"Cincinnati, OH"
112,1923,pro,NFL,Canton Bulldogs,"Canton, OH",Chicago Bears,"Chicago, IL",,,,
113,1923,pro,CFL,Queen's Gaels,"Kingston, ON",Regina Rugby Club,"Regina, SK",,,,
114,1924,college,Football (M),Illinois Fighting Illini,"Champaign-Urbana, IL",,,,,,
115,1924,college,Football (M),Michigan Wolverines,"Ann Arbor, MI",,,,,,
116,1924,pro,NHL,Montreal Canadiens,"Montreal, QC",Ottawa Senators,"Ottawa, ON",,,,
117,1924,pro,MLB,Washington Senators,"Washington, DC Metro Area",New York Giants,New York Metro Area,New York Yankees,New York Metro Area,Brooklyn Robins,New York Metro Area
118,1924,pro,CFL,Queen's Gaels,"Kingston, ON",Toronto Balmy Beach,"Toronto, ON",,,,
119,1924,pro,NFL,Cleveland Bulldogs,"Cleveland, OH",Chicago Bears,"Chicago, IL",,,,
120,1925,college,Football (M),Notre Dame Fighting Irish,"Notre Dame, IN",,,,,,
121,1925,pro,NHL,Montreal Canadiens,"Montreal, QC",Hamilton Tigers,"Hamilton, ON",Toronto St Patricks,"Toronto, ON",,
122,1925,pro,MLB,Pittsburgh Pirates,"Pittsburgh, PA",Washington Senators,"Washington, DC Metro Area",Philadelphia Athletics,"Greater Philadelphia, PA",New York Giants,New York Metro Area
123,1925,pro,NFL,Chicago Cardinals,"Chicago, IL",Pottsville Maroons,"Pottsville, PA",,,,
124,1925,pro,CFL,Ottawa Senators,"Ottawa, ON",Winnipeg Tammany Tigers,"Winnipeg, MB",,,,
125,1926,college,Football (M),Alabama Crimson Tide,"Tuscaloosa, AL",,,,,,
126,1926,pro,NHL,Montreal Maroons,"Montreal, QC",Ottawa Senators,"Ottawa, ON",Pittsburgh Pirates,"Pittsburgh, PA",,
127,1926,pro,MLB,St. Louis Cardinals,"St. Louis, MO",New York Yankees,New York Metro Area,Cleveland Indians,"Cleveland, OH",Cincinnati Reds,"Cincinnati, OH"
128,1926,pro,CFL,Ottawa Senators,"Ottawa, ON",Toronto Varsity Blues,"Toronto, ON",,"Toronto, ON",,"Toronto, ON"
129,1926,pro,NFL,Frankford Yellow Jackets,"Greater Philadelphia, PA",Chicago Bears,"Chicago, IL",,,,
130,1927,college,Football (M),Alabama Crimson Tide,"Tuscaloosa, AL",,,,,,
131,1927,college,Football (M),Stanford Cardinal,"San Francisco Bay Area, CA",,,,,,
132,1927,pro,NHL,Ottawa Senators,"Ottawa, ON",Boston Bruins,"Greater Boston, MA",New York Rangers,New York Metro Area,Montreal Canadiens,"Montreal, QC"
133,1927,pro,MLB,New York Yankees,New York Metro Area,Pittsburgh Pirates,"Pittsburgh, PA",Philadelphia Athletics,"Greater Philadelphia, PA",St. Louis Cardinals,"St. Louis, MO"
134,1927,pro,CFL,Toronto Balmy Beach,"Toronto, ON",Hamilton Tigers,"Hamilton, ON",,,,
135,1927,pro,NFL,New York Giants,New York Metro Area,Green Bay Packers,"Green Bay, WI",,,,
136,1928,college,Football (M),Illinois Fighting Illini,"Champaign-Urbana, IL",,,,,,
137,1928,college,Football (M),Yale Bulldogs,"New Haven, CT",,,,,,
138,1928,pro,NHL,New York Rangers,New York Metro Area,Montreal Maroons,"Montreal, QC",Boston Bruins,"Greater Boston, MA",Montreal Canadiens,"Montreal, QC"
139,1928,pro,MLB,New York Yankees,New York Metro Area,St. Louis Cardinals,"St. Louis, MO",Philadelphia Athletics,"Greater Philadelphia, PA",New York Giants,New York Metro Area
140,1928,pro,CFL,Hamilton Tigers,"Hamilton, ON",Regina Roughriders,"Regina, SK",,,,
141,1928,pro,NFL,Providence Steam Roller,"Providence, RI",Frankford Yellow Jackets,"Greater Philadelphia, PA",,,,
142,1929,college,Football (M),Georgia Tech Yellow Jackets,"Atlanta, GA",,,,,,
143,1929,pro,NHL,Boston Bruins,"Greater Boston, MA",New York Rangers,New York Metro Area,Toronto Maple Leafs,"Toronto, ON",Montreal Canadiens,"Montreal, QC"
144,1929,pro,MLB,Philadelphia Athletics,"Greater Philadelphia, PA",Chicago Cubs,"Chicago, IL",Philadelphia Athletics,"Greater Philadelphia, PA",Pittsburgh Pirates,"Pittsburgh, PA"
145,1929,pro,CFL,Hamilton Tigers,"Hamilton, ON",Regina Roughriders,"Regina, SK",,,,
146,1929,pro,NFL,Green Bay Packers,"Green Bay, WI",New York Giants,New York Metro Area,,,,
147,1930,college,Football (M),Notre Dame Fighting Irish,"Notre Dame, IN",,,,,,
148,1930,pro,NHL,Montreal Canadiens,"Montreal, QC",Boston Bruins,"Greater Boston, MA",New York Rangers,New York Metro Area,Montreal Maroons,"Montreal, QC"
149,1930,pro,MLB,Philadelphia Athletics,"Greater Philadelphia, PA",St. Louis Cardinals,"St. Louis, MO",Washington Senators,"Washington, DC Metro Area",Chicago Cubs,"Chicago, IL"
150,1930,pro,NFL,Green Bay Packers,"Green Bay, WI",New York Giants,New York Metro Area,,,,
151,1930,pro,CFL,Toronto Balmy Beach,"Toronto, ON",Regina Roughriders,"Regina, SK",,,,
152,1931,college,Football (M),Alabama Crimson Tide,"Tuscaloosa, AL",,,,,,
153,1931,college,Football (M),Notre Dame Fighting Irish,"Notre Dame, IN",,,,,,
154,1931,pro,NHL,Montreal Canadiens,"Montreal, QC",Chicago Black Hawks,"Chicago, IL",New York Rangers,New York Metro Area,Boston Bruins,"Greater Boston, MA"
155,1931,pro,MLB,St. Louis Cardinals,"St. Louis, MO",Philadelphia Athletics,"Greater Philadelphia, PA",New York Yankees,New York Metro Area,New York Giants,New York Metro Area
156,1931,pro,NFL,Green Bay Packers,"Green Bay, WI",Portsmouth Spartans,"Portsmouth, OH",,,,
157,1931,pro,CFL,Montreal AAA Winged Wheelers,"Montreal, QC",Regina Roughriders,"Regina, SK",,,,
158,1932,college,Football (M),USC Trojans,"Greater Los Angeles, CA",,,,,,
159,1932,pro,NHL,Toronto Maple Leafs,"Toronto, ON",New York Rangers,New York Metro Area,Montreal Maroons,"Montreal, QC",Montreal Canadiens,"Montreal, QC"
160,1932,pro,MLB,New York Yankees,New York Metro Area,Chicago Cubs,"Chicago, IL",Philadelphia Athletics,"Greater Philadelphia, PA",Pittsburgh Pirates,"Pittsburgh, PA"
161,1932,pro,NFL,Chicago Bears,"Chicago, IL",Green Bay Packers,"Green Bay, WI",,,,
162,1932,pro,CFL,Hamilton Tigers,"Hamilton, ON",Regina Roughriders,"Regina, SK",,,,
163,1933,college,Football (M),USC Trojans,"Greater Los Angeles, CA",,,,,,
164,1933,pro,NHL,New York Rangers,New York Metro Area,Toronto Maple Leafs,"Toronto, ON",Detroit Red Wings,"Metro Detroit, MI",Boston Bruins,"Greater Boston, MA"
165,1933,pro,MLB,New York Giants,New York Metro Area,Washington Senators,"Washington, DC Metro Area",New York Yankees,New York Metro Area,Pittsburgh Pirates,"Pittsburgh, PA"
166,1933,pro,NFL,Chicago Bears,"Chicago, IL",New York Giants,New York Metro Area,,,,
167,1933,pro,CFL,Toronto Argonauts,"Toronto, ON",Sarnia Imperials,"Sarnia, ON",,,,
168,1934,college,Football (M),Michigan Wolverines,"Ann Arbor, MI",,,,,,
169,1934,pro,NHL,Chicago Black Hawks,"Chicago, IL",Detroit Red Wings,"Metro Detroit, MI",Montreal Maroons,"Montreal, QC",Toronto Maple Leafs,"Toronto, ON"
170,1934,pro,MLB,St. Louis Cardinals,"St. Louis, MO",Detroit Tigers,"Metro Detroit, MI",New York Yankees,New York Metro Area,St. Louis Cardinals,"St. Louis, MO"
171,1934,pro,CFL,Sarnia Imperials,"Sarnia, ON",Regina Roughriders,"Regina, SK",,,,
172,1934,pro,NFL,New York Giants,New York Metro Area,Chicago Bears,"Chicago, IL",,,,
173,1935,college,Football (M),Minnesota Golden Gophers,"Twin Cities, MN",,,,,,
174,1935,pro,NHL,Montreal Maroons,"Montreal, QC",Toronto Maple Leafs,"Toronto, ON",New York Rangers,New York Metro Area,Boston Bruins,"Greater Boston, MA"
175,1935,pro,MLB,Detroit Tigers,"Metro Detroit, MI",Chicago Cubs,"Chicago, IL",New York Yankees,New York Metro Area,St. Louis Cardinals,"St. Louis, MO"
176,1935,pro,CFL,Winnipeg ‘Pegs,"Winnipeg, MB",Hamilton Tigers,"Hamilton, ON",,,,
177,1935,pro,NFL,Detroit Lions,"Metro Detroit, MI",New York Giants,New York Metro Area,,,,
178,1936,college,Football (M),Minnesota Golden Gophers,"Twin Cities, MN",,,,,,
179,1936,pro,NHL,Detroit Red Wings,"Metro Detroit, MI",Toronto Maple Leafs,"Toronto, ON",New York Americans,New York Metro Area,Montreal Maroons,"Montreal, QC"
180,1936,pro,MLB,New York Yankees,New York Metro Area,New York Giants,New York Metro Area,New York Yankees,New York Metro Area,Chicago Cubs,"Chicago, IL"
181,1936,pro,NFL,Green Bay Packers,"Green Bay, WI",Boston Redskins,"Greater Boston, MA",,,,
182,1936,pro,CFL,Sarnia Imperials,"Sarnia, ON",Ottawa Rough Riders,"Ottawa, ON",,,,
183,1937,college,Football (M),Minnesota Golden Gophers,"Twin Cities, MN",,,,,,
184,1937,pro,NHL,Detroit Red Wings,"Metro Detroit, MI",New York Rangers,New York Metro Area,Montreal Maroons,"Montreal, QC",Montreal Canadiens,"Montreal, QC"
185,1937,pro,MLB,New York Yankees,New York Metro Area,New York Giants,New York Metro Area,Detroit Tigers,"Metro Detroit, MI",Chicago Cubs,"Chicago, IL"
186,1937,pro,CFL,Toronto Argonauts,"Toronto, ON",Winnipeg Blue Bombers,"Winnipeg, MB",,,,
187,1937,pro,NFL,Washington Redskins,"Washington, DC Metro Area",Chicago Bears,"Chicago, IL",,,,
188,1938,college,Football (M),Pittsburgh Panthers,"Pittsburgh, PA",,,,,,
189,1938,pro,NHL,Chicago Black Hawks,"Chicago, IL",Toronto Maple Leafs,"Toronto, ON",New York Americans,New York Metro Area,Boston Bruins,"Greater Boston, MA"
190,1938,pro,MLB,New York Yankees,New York Metro Area,Chicago Cubs,"Chicago, IL",Boston Red Sox,"Greater Boston, MA",Pittsburgh Pirates,"Pittsburgh, PA"
191,1938,pro,CFL,Toronto Argonauts,"Toronto, ON",Winnipeg Blue Bombers,"Winnipeg, MB",,,,
192,1938,pro,NFL,New York Giants,New York Metro Area,Green Bay Packers,"Green Bay, WI",,,,
193,1939,college,Football (M),Texas Christian Horned Frogs,"Dallas-Fort Worth, TX",,,,,,
194,1939,college,Basketball (M),Oregon Ducks,"Eugene, OR",Ohio State Buckeyes,"Columbus, OH",Oklahoma Sooners,"Oklahoma City, OK",Villanova Wildcats,"Greater Philadelphia, PA"
195,1939,pro,NHL,Boston Bruins,"Greater Boston, MA",Toronto Maple Leafs,"Toronto, ON",Detroit Red Wings,"Metro Detroit, MI",New York Rangers,New York Metro Area
196,1939,pro,MLB,New York Yankees,New York Metro Area,Cincinnati Reds,"Cincinnati, OH",Boston Red Sox,"Greater Boston, MA",Cincinnati Reds,"Cincinnati, OH"
197,1939,pro,CFL,Winnipeg Blue Bombers,"Winnipeg, MB",Ottawa Rough Riders,"Ottawa, ON",,,,
198,1939,pro,NFL,Green Bay Packers,"Green Bay, WI",New York Giants,New York Metro Area,,,,
199,1940,college,Football (M),Texas A&M Aggies,"College Station, TX",,,,,,
200,1940,college,Basketball (M),Indiana Hoosiers,"Bloomington, IN",Kansas Jayhawks,"Lawrence, KS",Duquesne Dukes,"Pittsburgh, PA",USC Trojans,"Greater Los Angeles, CA"
201,1940,pro,NHL,New York Rangers,New York Metro Area,Toronto Maple Leafs,"Toronto, ON",Detroit Red Wings,"Metro Detroit, MI",Boston Bruins,"Greater Boston, MA"
202,1940,pro,MLB,Cincinnati Reds,"Cincinnati, OH",Detroit Tigers,"Metro Detroit, MI",Cleveland Indians,"Cleveland, OH",Brooklyn Dodgers,New York Metro Area
203,1940,pro,NFL,Chicago Bears,"Chicago, IL",Washington Redskins,"Washington, DC Metro Area",,,,
204,1940,pro,CFL,Ottawa Rough Riders,"Ottawa, ON",Toronto Balmy Beach,"Toronto, ON",,,,
205,1941,college,Football (M),Minnesota Golden Gophers,"Twin Cities, MN",,,,,,
206,1941,college,Basketball (M),Wisconsin Badgers,"Madison, WI",Washington State Cougars,"Pullman, WA",Pittsburgh Panthers,"Pittsburgh, PA",Arkansas Razorbacks,"Northwest Arkansas, AR"
207,1941,pro,NHL,Boston Bruins,"Greater Boston, MA",Detroit Red Wings,"Metro Detroit, MI",Toronto Maple Leafs,"Toronto, ON",Chicago Black Hawks,"Chicago, IL"
208,1941,pro,MLB,New York Yankees,New York Metro Area,Brooklyn Dodgers,New York Metro Area,Boston Red Sox,"Greater Boston, MA",St. Louis Cardinals,"St. Louis, MO"
209,1941,pro,CFL,Winnipeg Blue Bombers,"Winnipeg, MB",Ottawa Rough Riders,"Ottawa, ON",,,,
210,1941,pro,NFL,Chicago Bears,"Chicago, IL",New York Giants,New York Metro Area,,,,
211,1942,college,Football (M),Minnesota Golden Gophers,"Twin Cities, MN",,,,,,
212,1942,college,Basketball (M),Stanford Cardinal,"San Francisco Bay Area, CA",Dartmouth Big Green,"Hanover, PA",Colorado Buffaloes,"Boulder, CO",Kentucky Wildcats,"Lexington-Fayette, KY"
213,1942,pro,NHL,Toronto Maple Leafs,"Toronto, ON",Detroit Red Wings,"Metro Detroit, MI",Boston Bruins,"Greater Boston, MA",New York Rangers,New York Metro Area
214,1942,pro,MLB,St. Louis Cardinals,"St. Louis, MO",New York Yankees,New York Metro Area,Boston Red Sox,"Greater Boston, MA",Brooklyn Dodgers,New York Metro Area
215,1942,pro,CFL,Toronto RCAF Hurricanes,"Toronto, ON",Winnipeg RCAF Bombers,"Winnipeg, MB",,,,
216,1942,pro,NFL,Washington Redskins,"Washington, DC Metro Area",Chicago Bears,"Chicago, IL",,,,
217,1943,college,Football (M),Ohio State Buckeyes,"Columbus, OH",,,,,,
218,1943,college,Basketball (M),Wyoming Cowboys,"Cheyenne, WY",Georgetown Hoyas,"Washington, DC Metro Area",Texas Longhorns,"Austin, TX",DePaul Blue Demons,"Chicago, IL"
219,1943,pro,NHL,Detroit Red Wings,"Metro Detroit, MI",Boston Bruins,"Greater Boston, MA",Montreal Canadiens,"Montreal, QC",Toronto Maple Leafs,"Toronto, ON"
220,1943,pro,MLB,New York Yankees,New York Metro Area,St. Louis Cardinals,"St. Louis, MO",Washington Senators,"Washington, DC Metro Area",Cincinnati Reds,"Cincinnati, OH"
221,1943,pro,CFL,Hamilton Flying Wildcats,"Hamilton, ON",Winnipeg RCAF Bombers,"Winnipeg, MB",,,,
222,1943,pro,NFL,Chicago Bears,"Chicago, IL",Washington Redskins,"Washington, DC Metro Area",,,,
223,1944,college,Football (M),Notre Dame Fighting Irish,"Notre Dame, IN",,,,,,
224,1944,college,Basketball (M),Utah Utes,"Salt Lake City, UT",Dartmouth Big Green,"Hanover, PA",Iowa State Cyclones,"Ames, IA",Ohio State Buckeyes,"Columbus, OH"
225,1944,pro,NHL,Montreal Canadiens,"Montreal, QC",Chicago Black Hawks,"Chicago, IL",Detroit Red Wings,"Metro Detroit, MI",Toronto Maple Leafs,"Toronto, ON"
226,1944,pro,MLB,St. Louis Cardinals,"St. Louis, MO",St. Louis Browns,"St. Louis, MO",Detroit Tigers,"Metro Detroit, MI",Pittsburgh Pirates,"Pittsburgh, PA"
227,1944,pro,CFL,St. Hyacinthe-Donnacona Navy,"Montreal, QC",Hamilton Flying Wildcats,"Hamilton, ON",,,,
228,1944,pro,NFL,Green Bay Packers,"Green Bay, WI",New York Giants,New York Metro Area,,,,
229,1945,college,Football (M),Army Black Knights,"West Point, NY",,,,,,
230,1945,college,Basketball (M),Oklahoma State Cowboys,"Stillwater, OK",New York University Violets,New York Metro Area,Arkansas Razorbacks,"Northwest Arkansas, AR",Ohio State Buckeyes,"Columbus, OH"
231,1945,pro,NHL,Toronto Maple Leafs,"Toronto, ON",Detroit Red Wings,"Metro Detroit, MI",Boston Bruins,"Greater Boston, MA",Montreal Canadiens,"Montreal, QC"
232,1945,pro,MLB,Detroit Tigers,"Metro Detroit, MI",Chicago Cubs,"Chicago, IL",Washington Senators,"Washington, DC Metro Area",St. Louis Cardinals,"St. Louis, MO"
233,1945,pro,CFL,Toronto Argonauts,"Toronto, ON",Winnipeg Blue Bombers,"Winnipeg, MB",,,,
234,1945,pro,NFL,Cleveland Rams,"Cleveland, OH",Washington Redskins,"Washington, DC Metro Area",,,,
235,1946,college,Football (M),Army Black Knights,"West Point, NY",,,,,,
236,1946,college,Basketball (M),Oklahoma State Cowboys,"Stillwater, OK",North Carolina Tar Heels,"Greater Raleigh, NC",Ohio State Buckeyes,"Columbus, OH",California Golden Bears,"San Francisco Bay Area, CA"
237,1946,pro,NHL,Montreal Canadiens,"Montreal, QC",Boston Bruins,"Greater Boston, MA",Detroit Red Wings,"Metro Detroit, MI",Chicago Black Hawks,"Chicago, IL"
