name,city,neighborhood,place,views_median,views_sum,name_clean,lat,lng,extract,state
Michael Oher,Oxford,,Oxford,3999,10985534,Michael Oher,34.3664951,-89.5192484,"Michael Jerome Oher is an American football offensive tackle who is currently a free agent. He played college football for the University of Mississippi, and was drafted by the Baltimore Ravens in...",Mississippi
William Faulkner,New Albany,,New Albany,1943,2796426,William Faulkner,34.4942683,-89.0078418,"William Cuthbert Faulkner was an American writer and Nobel Prize laureate from Oxford, Mississippi. Faulkner wrote novels, short stories, screenplays, poetry, essays, and a play. He is primarily...",Mississippi
Shannon Sharpe,Glennville,,Glennville,1942,3012202,Shannon Sharpe,31.9365917,-81.9284501,"Shannon Sharpe is a former American football tight end who played for the Denver Broncos and Baltimore Ravens of the National Football League (NFL), as well as a former analyst for CBS Sports on its...",Georgia
Ree Drummond,Bartlesville,,Bartlesville,1942,3079309,Ree Drummond,36.7473114,-95.9808179,"Ann Marie ""Ree"" Drummond is an American blogger, author, food writer, photographer and television personality who lives on a working ranch outside of Pawhuska, Oklahoma. In February 2010, she was...",Oklahoma
Matthew Lillard,Tustin,,Tustin,1942,3213194,Matthew Lillard,33.7420005,-117.8236391,"Matthew Lyn Lillard is an American actor, voice actor, director, and producer. He is known for portraying Stu Macher in Scream (1996) and Shaggy Rogers in both Scooby-Doo (2002) and Scooby-Doo 2:...",California
Ne-Yo,Camden,,Camden,1941,3286175,Ne-Yo,33.5845581,-92.8343294,"Shaffer Chimere Smith, known professionally as Ne-Yo, is an American singer, songwriter, record producer, actor and dancer. He gained fame for his songwriting abilities when he penned his 2004 hit...",Arkansas
Jessica Szohr,Menomonee Falls,,Menomonee Falls,1941,3074335,Jessica Szohr,43.1788967,-88.1173132,"Jessica Karen Szohr is an American actress. She started her screen career appearing on television shows such as My Wife and Kids (2003), Joan of Arcadia (2004), What About Brian (2007) and CSI: Miami...",Wisconsin
Raymond Burr,Healdsburg,,Healdsburg,1933,3005746,Raymond Burr,38.6104658,-122.8691609,"Raymond William Stacy Burr was a Canadian American actor, primarily known for his title roles in the television dramas Perry Mason and Ironside. He was prominently involved in multiple charitable...",California
Florence Foster Jenkins,Wilkes-Barre,,Wilkes-Barre,1933,5874972,Florence Foster Jenkins,41.2459149,-75.8813075,"Florence Foster Jenkins was an American socialite and amateur soprano who was known, and mocked, for her flamboyant performance costumes and notably poor singing ability. The historian Stephen Pile...",Pennsylvania
Robert Patrick,Marietta,,Marietta,1931,2996997,Robert Patrick,33.952602,-84.5499327,Robert Hammond Patrick Jr. is an American actor. He is best known for his portrayals of various villainous characters. He is a Saturn Award winner with four nominations.,Georgia
Dave Mustaine,La Mesa,,La Mesa,1930,2869070,Dave Mustaine,32.7678287,-117.0230839,"David Scott Mustaine is an American guitarist, singer, songwriter, actor and author. He is best known as the co-founder, lead vocalist, guitarist and primary songwriter of the American heavy metal...",California
John McAfee,Lexington,,Lexington,1926,3855513,John McAfee,35.6509029,-88.3933796,"John David McAfee is a British-American computer programmer and businessman. He founded the software company McAfee Associates in 1987 and ran it until 1994, when he resigned from the company. McAfee...",Tennessee
Felicity Huffman,Putney,,Putney,1916,4555415,Felicity Huffman,42.975268,-72.5217237,"Felicity Kendall Huffman is an American film, stage, and television actress. She is the recipient of numerous accolades including a Primetime Emmy Award, a Golden Globe Award, three Screen Actors...",Vermont
Cory Booker,Harrington Park,,Harrington Park,1916,5825355,Cory Booker,40.9837089,-73.9798601,Cory Anthony Booker is an American politician serving as the junior United States Senator from New Jersey since 2013 and a member of the Democratic Party. The first African-American U.S. Senator from...,New Jersey
The Ultimate Warrior,Crawfordsville,,Crawfordsville,1915,2929255,The Ultimate Warrior,40.0411536,-86.8744516,"Warrior was an American professional wrestler, who most famously wrestled under the ring name The Ultimate Warrior for the World Wrestling Federation from 1987 to 1991 and again in 1992 and 1996....",Indiana
Tera Patrick,Great Falls,,Great Falls,1915,2758166,Tera Patrick,47.5052849,-111.3007715,"Tera Patrick is an American pornographic actress and model who is the Penthouse Pet of the Month for February 2000 and is an inductee for the NightMoves, AVN and XRCO Halls of Fame.",Montana
Sean Hannity,Franklin Square,,Franklin Square,1913,3479553,Sean Hannity,40.7073244,-73.6759635,"Sean Patrick Hannity is an American talk show host and conservative political commentator. Hannity is the host of The Sean Hannity Show, a nationally syndicated talk radio show. He also hosts a cable...",New York
Wayne Brady,Columbus,,Columbus,1909,3067397,Wayne Brady,32.4609764,-84.9877094,"Wayne Alphonso Brady is an American actor, singer, and comedian who is a regular on the American version of the improvisational comedy television series Whose Line Is It Anyway? He was the host of...",Georgia
Dan Blocker,DeKalb,,DeKalb,1908,2902426,Dan Blocker,33.5087256,-94.616319,Bobby Dan Davis Blocker was an American television actor and Korean War veteran. He is best remembered for his role as Hoss Cartwright in the NBC Western television series Bonanza.,Texas
Dan Blocker,O'Donnell,,O'Donnell,1908,2902426,Dan Blocker,32.9637085,-101.8326541,Bobby Dan Davis Blocker was an American television actor and Korean War veteran. He is best remembered for his role as Hoss Cartwright in the NBC Western television series Bonanza.,Texas
Lakeith Stanfield,Victorville,,Victorville,1906.5,1618612,Lakeith Stanfield,34.5362184,-117.2927641,"Lakeith Lee Stanfield, sometimes credited as Keith Stanfield, is an American actor and rapper.",California
Michelle McCool,Palatka,,Palatka,1905,3549415,Michelle McCool,29.6485801,-81.6375819,"Michelle Leigh Calaway is an American retired professional wrestler. She is best known for her time with WWE, where she is a former two-time WWE Divas Champion and a two-time WWE Women's Champion.",Florida
Abby and Brittany Hensel,Saint Paul,,Saint Paul,1905,3240074,Abby and Brittany Hensel,44.9537029,-93.0899578,Abigail Loraine Hensel and Brittany Lee Hensel are American dicephalic parapagus twins; also known as conjoined twins.,Minnesota
Stonewall Jackson,Clarksburg,,Clarksburg,1904,3082234,Stonewall Jackson,39.2806451,-80.3445341,"Thomas Jonathan ""Stonewall"" Jackson served as a Confederate general (1861–1863) during the American Civil War, and became one of the best-known Confederate commanders after General Robert E. Lee....",West Virginia
Joe Jackson (manager),East Chicago,,East Chicago,1898,3915173,Joe Jackson,41.6392024,-87.4547635,Joseph Walter Jackson was an American talent manager and patriarch of the Jackson family of entertainers that includes his children Michael and Janet. He was inducted into the Rhythm and Blues Music...,Indiana
Langston Hughes,Westfield,,Westfield,1897,3009090,Langston Hughes,40.6589912,-74.3473717,"James Mercer Langston Hughes was an American poet, social activist, novelist, playwright, and columnist from Joplin, Missouri. He moved to New York City as a young man, where he made his career. One...",New Jersey
Billy Corgan,Elk Grove Village,,Elk Grove Village,1897,3086386,Billy Corgan,42.0039178,-87.9703461,"William Patrick Corgan Jr. is an American musician and songwriter, who is the lead singer, primary songwriter, guitarist, and sole permanent member of The Smashing Pumpkins. Formed by Corgan and...",Illinois
Matthew Modine,Imperial Beach,,Imperial Beach,1896,3612783,Matthew Modine,32.5839444,-117.1130849,"Matthew Avery Modine is an American actor, activist and filmmaker, who rose to prominence through his role as United States Marine Corps Private Joker in Stanley Kubrick's Full Metal Jacket. His...",California
Matthew Modine,Loma Linda,,Loma Linda,1896,3612783,Matthew Modine,34.0483474,-117.2611527,"Matthew Avery Modine is an American actor, activist and filmmaker, who rose to prominence through his role as United States Marine Corps Private Joker in Stanley Kubrick's Full Metal Jacket. His...",California
Bhumibol Adulyadej,Cambridge,,Cambridge,1893,4686403,Bhumibol Adulyadej,42.3736158,-71.1097335,"Bhumibol Adulyadej, conferred with the title King Bhumibol the Great in 1987, was the ninth monarch of Thailand from the Chakri dynasty as Rama IX. Reigning since 9 June 1946, he was, at the time of...",Massachusetts
Rachel Nichols (actress),Augusta,,Augusta,1892,2864690,Rachel Nichols,44.3106241,-69.7794897,"Rachel Emily Nichols is an American actress and model. Nichols began modeling while attending Columbia University in New York City in the late 1990s, and transitioned into acting by the early 2000s;...",Maine
Justin Roiland,Manteca,,Manteca,1892,3218025,Justin Roiland,37.7974273,-121.2160526,"Justin Roiland is an American actor, animator, writer, producer, director and game developer. He is best known as the co-creator and executive producer of Adult Swim's Rick and Morty, in which he...",California
Stephen Paddock,Mesquite,,Mesquite,1891,1948735,Stephen Paddock,36.805531,-114.06719,"Stephen Craig Paddock was an American mass murderer responsible for the 2017 Las Vegas shooting, in which he opened fire into a crowd of approximately 22,000 concertgoers attending a country music...",Nevada
Stephen Paddock,Clinton,,Clinton,1891,1948735,Stephen Paddock,41.8444735,-90.1887379,"Stephen Craig Paddock was an American mass murderer responsible for the 2017 Las Vegas shooting, in which he opened fire into a crowd of approximately 22,000 concertgoers attending a country music...",Iowa
Thomas Paine,Bordentown,,Bordentown,1889,3260713,Thomas Paine,40.1462213,-74.7118264,"Thomas Paine was an English-born American political activist, philosopher, political theorist, and revolutionary. One of the Founding Fathers of the United States, he authored the two most...",New Jersey
Drea de Matteo,Queens,Whitestone,Whitestone,1887,2972660,Drea de Matteo,40.7920449,-73.8095574,"Andrea Donna de Matteo is an American actress, known for her roles as Angie Bolen on ABC's Desperate Housewives, Joey Tribbiani's sister Gina on the NBC sitcom Joey, Wendy Case on FX series Sons of...",New York
Ali MacGraw,Tesuque,,Tesuque,1887,3171867,Ali MacGraw,35.7616955,-105.9325214,"Elizabeth Alice ""Ali"" MacGraw is an American actress, model, author, and animal rights activist. She first gained attention with her role in the film Goodbye, Columbus (1969), for which she won the...",New Mexico
Amy Fisher,Wantagh,,Wantagh,1883,3234302,Amy Fisher,40.6837121,-73.5101258,"Amy Elizabeth Fisher is an American woman who became known as ""the Long Island Lolita"" by the media in 1992, when, at the age of 17, she shot and severely wounded Mary Jo Buttafuoco, the wife of her...",New York
Thomas Rhett,Valdosta,,Valdosta,1882,3404525,Thomas Rhett,30.8327022,-83.2784851,Thomas Rhett Akins Jr. is an American country music singer and songwriter. His father is the singer Rhett Akins. Rhett has released three studio albums for Big Machine Records' Valory Music imprint:...,Georgia
Jim Brown,St. Simons,,St. Simons,1882,3368555,Jim Brown,31.1595905,-81.3885517,"James Nathaniel Brown born February 17, 1936 is a former professional American football player and actor. He was a running back for the Cleveland Browns of the National Football League (NFL) from...",Georgia
John Coltrane,Hamlet,,Hamlet,1875,2799650,John Coltrane,34.8848775,-79.6942222,"John William Coltrane was an American jazz saxophonist and composer. Working in the bebop and hard bop idioms early in his career, Coltrane helped pioneer the use of modes and was at the forefront of...",North Carolina
Frances Fisher,Orange,,Orange,1874,2949683,Frances Fisher,30.0929879,-93.7365549,Frances Louise Fisher is an English-born American actress.,Texas
Dylann Roof,Hopkins,,Hopkins,1873,4387542,Dylann Roof,33.9043212,-80.8770342,"Dylann Storm Roof is an American white supremacist and mass murderer convicted for perpetrating the Charleston church shooting on June 17, 2015 in the U.S. state of South Carolina.",South Carolina
Nelson Rockefeller,Bar Harbor,,Bar Harbor,1871,3000154,Nelson Rockefeller,44.3876119,-68.2039123,"Nelson Aldrich Rockefeller was an American businessman and politician who served as the 41st vice president of the United States from 1974 to 1977, and previously as the 49th governor of New York...",Maine
Megan Boone,Petoskey,,Petoskey,1870,3321109,Megan Boone,45.3733428,-84.9553296,Megan Boone is an American actress. She is best known for her role as FBI agent and profiler Elizabeth Keen on the NBC drama series The Blacklist. She was also a regular on Law & Order: LA and has...,Michigan
Megan Boone,The Villages,,The Villages,1870,3321109,Megan Boone,28.927019,-82.0037608,Megan Boone is an American actress. She is best known for her role as FBI agent and profiler Elizabeth Keen on the NBC drama series The Blacklist. She was also a regular on Law & Order: LA and has...,Florida
Heather O'Rourke,Lakeside,,Lakeside,1870,3175282,Heather O'Rourke,32.8572718,-116.9222488,Heather Michele O'Rourke was an American child actress. She was discovered by director Steven Spielberg when she was visiting MGM's studios. Spielberg cast her as Carol Anne Freeling in the horror...,California
James Monroe,Aldie,,Aldie,1869,2899729,James Monroe,38.9756745,-77.6418724,"James Monroe was an American statesman, lawyer, diplomat, and Founding Father who served as the fifth president of the United States from 1817 to 1825. A member of the Democratic-Republican Party,...",Virginia
Sunita Williams,Needham,,Needham,1866,2855053,Sunita Williams,42.2809285,-71.2377548,Sunita Pandya Lyn Williams is an American astronaut and United States Navy officer of Indo-Slovenian descent. She formerly held the records for total spacewalks by a woman (seven) and most spacewalk...,Massachusetts
Stephen Paddock,Los Angeles,Sun Valley,Sun Valley,1864,1984740,Stephen Paddock,34.2279298,-118.3812562,"Stephen Craig Paddock was an American mass murderer responsible for the 2017 Las Vegas shooting, in which he opened fire into a crowd of approximately 22,000 concertgoers attending a country music...",California
Lexi Belle,Independence,,Independence,1864,2686542,Lexi Belle,30.635466,-90.5009245,Lexi Belle is an American pornographic actress. She began her career in the porn industry in 2006.,Louisiana
Wild Bill Hickok,Troy Grove,,Troy Grove,1863,2652797,Wild Bill Hickok,41.4678108,-89.0831383,"James Butler Hickok, better known as ""Wild Bill"" Hickok, was a folk hero of the American Old West known for his work across the frontier as a drover, wagon master, soldier, spy, scout, lawman,...",Illinois
Tennessee Williams,Clarksdale,,Clarksdale,1863,2709377,Tennessee Williams,34.2001086,-90.5709323,"Thomas Lanier Williams III, known by his pen name Tennessee Williams, was an American playwright. Along with contemporaries Eugene O'Neill and Arthur Miller, he is considered among the three foremost...",Mississippi
Tennessee Williams,Columbus,,Columbus,1863,2709377,Tennessee Williams,33.4956744,-88.4272627,"Thomas Lanier Williams III, known by his pen name Tennessee Williams, was an American playwright. Along with contemporaries Eugene O'Neill and Arthur Miller, he is considered among the three foremost...",Mississippi
Tennessee Williams,Provincetown,,Provincetown,1863,2709377,Tennessee Williams,42.0584412,-70.1786425,"Thomas Lanier Williams III, known by his pen name Tennessee Williams, was an American playwright. Along with contemporaries Eugene O'Neill and Arthur Miller, he is considered among the three foremost...",Massachusetts
Matthew Shepard,Casper,,Casper,1860,4112538,Matthew Shepard,42.8500769,-106.3251749,"Matthew Wayne Shepard was a gay American student at the University of Wyoming who was beaten, tortured, and left to die near Laramie on the night of October 6, 1998. He was taken by rescuers to...",Wyoming
Matthew Shepard,Laramie,,Laramie,1860,4112538,Matthew Shepard,41.3113669,-105.5911007,"Matthew Wayne Shepard was a gay American student at the University of Wyoming who was beaten, tortured, and left to die near Laramie on the night of October 6, 1998. He was taken by rescuers to...",Wyoming
Jane Lynch,Dolton,,Dolton,1860,2943981,Jane Lynch,41.6389236,-87.607268,"Jane Marie Lynch is an American actress, author, singer, and comedian. She is best known for her role as Sue Sylvester in the musical television series Glee. She also gained fame in Christopher...",Illinois
Thomas Sadoski,College Station,,College Station,1859,3054541,Thomas Sadoski,30.627977,-96.3344068,"Thomas Sadoski is an American stage, film, and television actor. He is best known for his roles as Don Keefer in the HBO series The Newsroom and as Matt Short in the sitcom television series Life in...",Texas
R. Budd Dwyer,Meadville,,Meadville,1857,3258211,R. Budd Dwyer,41.6414438,-80.1514484,Robert Budd Dwyer was the 30th State Treasurer of the Commonwealth of Pennsylvania. He served from 1971 to 1981 as a Republican member of the Pennsylvania State Senate representing the state's 50th...,Pennsylvania
Ashanti (singer),Glen Cove,,Glen Cove,1856,2913156,Ashanti,40.8623217,-73.6337389,"Ashanti Shequoiya Douglas is an American singer, songwriter, record producer, dancer, and actress. She was first discovered as a teenager and later signed to Murder Inc. Records in 2001. That year,...",New York
Ashanti (singer),Old Westbury,,Old Westbury,1856,2913156,Ashanti,40.7887113,-73.5995717,"Ashanti Shequoiya Douglas is an American singer, songwriter, record producer, dancer, and actress. She was first discovered as a teenager and later signed to Murder Inc. Records in 2001. That year,...",New York
Jim Nabors,Sylacauga,,Sylacauga,1853,3851298,Jim Nabors,33.1731716,-86.2516406,"James Thurston Nabors was an American actor, singer, and comedian.",Alabama
Jimmy Buffett,Key West,,Key West,1852,3073321,Jimmy Buffett,24.5550593,-81.7799871,"James William Buffett is an American musician, songwriter, author, actor, and businessman. He is best known for his music, which often portrays an ""island escapism"" lifestyle. Together with his Coral...",Florida
Jimmy Buffett,Fairhope,,Fairhope,1852,3073321,Jimmy Buffett,30.5229719,-87.9033261,"James William Buffett is an American musician, songwriter, author, actor, and businessman. He is best known for his music, which often portrays an ""island escapism"" lifestyle. Together with his Coral...",Alabama
Morris Chestnut,Cerritos,,Cerritos,1848,3051833,Morris Chestnut,33.8583483,-118.0647871,"Morris Lamont Chestnut Jr. is an American actor. He first came to attention for his role in the 1991 film Boyz N The Hood. He has appeared in small feature films and on television series, including...",California
Justin Baldoni,Medford,,Medford,1847,2909986,Justin Baldoni,42.3265152,-122.8755949,"Justin Louis Baldoni is an American actor, director, and filmmaker. Justin is known for the show Jane the Virgin, where he plays the character Rafael Solano.",Oregon
Isaac Hayes,Covington,,Covington,1847,2806078,Isaac Hayes,35.5762326,-89.6534029,"Isaac Lee Hayes Jr. was an American singer, songwriter, actor, and producer. Hayes was one of the creative forces behind the Southern soul music label Stax Records, where he served both as an...",Tennessee
Randy Couture,Lynnwood,,Lynnwood,1845,2952680,Randy Couture,47.8209301,-122.3151314,"Randall Duane Couture is an American actor, former U.S. Army sergeant, retired mixed martial artist and former collegiate and Greco-Roman wrestler. During his tenures in the Ultimate Fighting...",Washington
Susan Downey,Schaumburg,,Schaumburg,1843,3157418,Susan Downey,42.0333607,-88.0834059,"Susan Nicole Downey is an American film producer. Until February 2009, she was Co-President of Dark Castle Entertainment and Executive Vice President of Production at Silver Pictures, Joel Silver's...",Illinois
Logan Marshall-Green,Barrington,,Barrington,1843,2752603,Logan Marshall-Green,41.7406798,-71.308609,"Logan Marshall-Green is an American actor. He is known for his roles in the television series 24, The O.C., Traveler, Dark Blue and Quarry, as well as his roles in the films Prometheus, Spider-Man:...",Rhode Island
Logan Marshall-Green,Cranston,,Cranston,1843,2752603,Logan Marshall-Green,41.7798226,-71.4372796,"Logan Marshall-Green is an American actor. He is known for his roles in the television series 24, The O.C., Traveler, Dark Blue and Quarry, as well as his roles in the films Prometheus, Spider-Man:...",Rhode Island
Jerry Hall,Gonzales,,Gonzales,1842,3628490,Jerry Hall,29.5016257,-97.4524926,Jerry Faye Hall is an American model and actress.,Texas
Jerry Hall,Mesquite,,Mesquite,1842,3628490,Jerry Hall,32.7667955,-96.5991593,Jerry Faye Hall is an American model and actress.,Texas
William Tecumseh Sherman,Lancaster,,Lancaster,1838,2772922,William Tecumseh Sherman,39.7136754,-82.5993294,"William Tecumseh Sherman was an American soldier, businessman, educator, and author. He served as a general in the Union Army during the American Civil War (1861–65), for which he received...",Ohio
Kate Mulgrew,Dubuque,,Dubuque,1831,3189552,Kate Mulgrew,42.5005583,-90.6645718,"Katherine Kiernan Mulgrew is an American actress. She is known for the roles of Captain Kathryn Janeway on Star Trek: Voyager and Galina ""Red"" Reznikov on Orange Is the New Black. She first came to...",Iowa
Marcheline Bertrand,Riverdale,,Riverdale,1827,2901219,Marcheline Bertrand,41.6333678,-87.6331021,"Marcia Lynne ""Marcheline"" Bertrand was an American actress and humanitarian worker. She was the former wife of actor Jon Voight, and the mother of actors Angelina Jolie and James Haven.",Illinois
Janeane Garofalo,Newton,,Newton,1826,2837492,Janeane Garofalo,41.0581527,-74.7526651,"Janeane Garofalo is an American actress, voice artist, stand-up comedian, and writer.",New Jersey
Janeane Garofalo,Madison,,Madison,1826,2837492,Janeane Garofalo,40.7598227,-74.417097,"Janeane Garofalo is an American actress, voice artist, stand-up comedian, and writer.",New Jersey
Jackie Gleason,Lauderhill,,Lauderhill,1826,3005645,Jackie Gleason,26.1403635,-80.2133808,"John Herbert Gleason was an American comedian, actor, writer, composer and conductor. Developing a style and characters from growing up in Brooklyn, New York, he was known for his brash visual and...",Florida
Beth Behrs,Mill Valley,,Mill Valley,1825,3048529,Beth Behrs,37.9060368,-122.5449763,Elizabeth Ann Behrs is an American actress and writer best known for her starring role as Caroline Channing in the CBS comedy series 2 Broke Girls. The show ran successfully for six seasons and...,California
Susan B. Anthony,Adams,,Adams,1823,3250536,Susan B. Anthony,42.6242251,-73.1174344,"Susan B. Anthony was an American social reformer and women's rights activist who played a pivotal role in the women's suffrage movement. Born into a Quaker family committed to social equality, she...",Massachusetts
Joe Louis,LaFayette,,LaFayette,1821,3147002,Joe Louis,32.899776,-85.4011588,"Joseph Louis Barrow, best known as Joe Louis was an American professional boxer who competed from 1934 to 1951. He reigned as the world heavyweight champion from 1937 to 1949, and is considered to be...",Alabama
Sutton Foster,Statesboro,,Statesboro,1818,3510911,Sutton Foster,32.4487876,-81.7831674,"Sutton Lenore Foster is an American actress, singer and dancer. She is known for her work on the Broadway stage, for which she has received two Tony Awards for Best Performance by a Leading Actress...",Georgia
Jason Biggs,Hasbrouck Heights,,Hasbrouck Heights,1818,2851147,Jason Biggs,40.8581553,-74.0806971,"Jason Matthew Biggs is an American actor and comedian. He played Jim Levenstein in the American Pie comedy film series, and Larry Bloom in the Netflix original series Orange Is the New Black. He also...",New Jersey
Lucas Till,Fort Hood,,Fort Hood,1814,3365366,Lucas Till,31.1363315,-97.7797049,"Lucas Daniel Till is an American actor. He began acting in the early 2000s and has appeared in a number of film and television productions including roles on House, Stoker, Dance of the Dead, Hannah...",Texas
Daniel Tosh,Titusville,,Titusville,1813,3218802,Daniel Tosh,28.6122187,-80.8075537,"Daniel Dwight Tosh is an American comedian, television host, actor, writer, and executive producer. He is known for his deliberately offensive and controversial style of black comedy, as the host of...",Florida
SZA (singer),Maplewood,,Maplewood,1812,4617879,SZA,40.7299793,-74.271992,"Solána Imani Rowe (born November 8, 1990, known professionally as SZA, is an American singer, rapper and songwriter. In October 2012, SZA self-released her debut EP, See.SZA.Run, which she then...",New Jersey
Henrietta Lacks,Dundalk,,Dundalk,1809,4124989,Henrietta Lacks,39.2506633,-76.5205184,"Henrietta Lacks was an African-American woman whose cancer cells are the source of the HeLa cell line, the first immortalized cell line and one of the most important cell lines in medical research....",Maryland
Henrietta Lacks,Clover,,Clover,1809,4124989,Henrietta Lacks,36.8319894,-78.7337659,"Henrietta Lacks was an African-American woman whose cancer cells are the source of the HeLa cell line, the first immortalized cell line and one of the most important cell lines in medical research....",Virginia
Henrietta Lacks,Roanoke,,Roanoke,1809,4124989,Henrietta Lacks,37.2709704,-79.9414266,"Henrietta Lacks was an African-American woman whose cancer cells are the source of the HeLa cell line, the first immortalized cell line and one of the most important cell lines in medical research....",Virginia
Ron Livingston,Marion,,Marion,1807,2893128,Ron Livingston,42.033279,-91.5968958,"Ronald Joseph Livingston is an American actor. Livingston is known for his starring role as Peter Gibbons in the 1999 movie Office Space, as well as his role as Captain Lewis Nixon in the 2001...",Iowa
Soulja Boy,Batesville,,Batesville,1806,3900820,Soulja Boy,34.3114982,-89.9442567,"DeAndre Cortez Way, known professionally as Soulja Boy Tell 'Em, or simply Soulja Boy, is an American rapper, record producer, actor and entrepreneur. In September 2007, his debut single ""Crank That...",Mississippi
Michelle Visage,South Plainfield,,South Plainfield,1806,3215538,Michelle Visage,40.5792701,-74.4115401,"Michelle Visage is an American singer, television host, radio DJ, and media personality. She is most well-known for being a member of the band Seduction and appearing as a judge on the American...",New Jersey
Margaret Sanger,Corning,,Corning,1806,3356433,Margaret Sanger,42.1428521,-77.0546903,"Margaret Higgins Sanger was an American birth control activist, sex educator, writer, and nurse. Sanger popularized the term ""birth control"", opened the first birth control clinic in the United...",New York
Dana White,Manchester,,Manchester,1803,3974317,Dana White,41.7759301,-72.5215009,"Dana Frederick White Jr. is an American businessman and the current President of the Ultimate Fighting Championship (UFC), which is the largest mixed martial arts (MMA) organization in the world....",Connecticut
Karl-Anthony Towns,Piscataway,,Piscataway,1801,3082640,Karl-Anthony Towns,40.554887,-74.4642861,Karl-Anthony Towns Jr. is a Dominican-American professional basketball player for the Minnesota Timberwolves of the National Basketball Association (NBA). He played college basketball for the...,New Jersey
Steve Zahn,Marshall,,Marshall,1798,2870045,Steve Zahn,44.448423,-95.7911916,"Steven James Zahn is an American actor and comedian. His films include Reality Bites (1994), That Thing You Do! (1996), SubUrbia (1996), Out of Sight (1998), Happy, Texas (1999), Riding in Cars with...",Minnesota
Steve Zahn,Georgetown,,Georgetown,1798,2870045,Steve Zahn,38.2097967,-84.5588311,"Steven James Zahn is an American actor and comedian. His films include Reality Bites (1994), That Thing You Do! (1996), SubUrbia (1996), Out of Sight (1998), Happy, Texas (1999), Riding in Cars with...",Kentucky
Richard Dean Anderson,Roseville,,Roseville,1798,3172337,Richard Dean Anderson,45.0060767,-93.1566107,"Richard Dean Anderson is an American actor and producer. He began his television career in 1976, playing Dr. Jeff Webber in the American soap-opera series General Hospital, then rose to prominence as...",Minnesota
Dale Earnhardt,Kannapolis,,Kannapolis,1798,3426638,Dale Earnhardt,35.4873613,-80.6217341,"Ralph Dale Earnhardt Sr. was an American professional auto racing driver and team owner, best known for his involvement in stock car racing for NASCAR. The third child of racing driver Ralph...",North Carolina
Dan Rather,Wharton,,Wharton,1794,3279217,Dan Rather,29.3116366,-96.1027371,"Dan Irvin Rather Jr. is an American journalist. Rather began his career in Texas and was on the scene of the Kennedy assassination in Dallas in 1963. His reporting elevated his position in CBS News,...",Texas
Dan Rather,Huntsville,,Huntsville,1794,3279217,Dan Rather,30.7235263,-95.5507771,"Dan Irvin Rather Jr. is an American journalist. Rather began his career in Texas and was on the scene of the Kennedy assassination in Dallas in 1963. His reporting elevated his position in CBS News,...",Texas
Verne Troyer,Centreville,,Centreville,1790,6142168,Verne Troyer,41.9233827,-85.5283225,"Verne Jay Troyer was an American actor, comedian, and stunt performer best known for playing Mini-Me in the Austin Powers film series. He was notable for having been only 2 ft 8 in (81 cm) tall, the...",Michigan
Verne Troyer,Sturgis,,Sturgis,1790,6142168,Verne Troyer,41.799217,-85.4191482,"Verne Jay Troyer was an American actor, comedian, and stunt performer best known for playing Mini-Me in the Austin Powers film series. He was notable for having been only 2 ft 8 in (81 cm) tall, the...",Michigan
Parker Posey,Laurel,,Laurel,1789,3461938,Parker Posey,31.6940509,-89.1306124,"Parker Christian Posey is an American actress and musician. She frequently works with Christopher Guest and has appeared in several of his mockumentaries, such as Waiting for Guffman (1996), Best in...",Mississippi
Ray Bradbury,Waukegan,,Waukegan,1788,2664691,Ray Bradbury,42.3636331,-87.8447938,"Ray Douglas Bradbury was an American author and screenwriter. He worked in a variety of genres, including fantasy, science fiction, horror, and mystery fiction.",Illinois
Parker Posey,Monroe,,Monroe,1787,3478531,Parker Posey,32.5093109,-92.1193012,"Parker Christian Posey is an American actress and musician. She frequently works with Christopher Guest and has appeared in several of his mockumentaries, such as Waiting for Guffman (1996), Best in...",Louisiana
Lex Luger,Orchard Park,,Orchard Park,1784,2664554,Lex Luger,42.7675323,-78.7440921,"Lawrence Wendell Pfohl better known by the ring name Lex Luger, is an American retired professional wrestler, television producer and football player currently working with WWE on their wellness...",New York
Edie Falco,West Islip,,West Islip,1784,2845493,Edie Falco,40.7062104,-73.3062302,"Edith Falco is an American television, film, and stage actress, known for her roles as Diane Whittlesey in the HBO series Oz (1997–2000) and Carmela Soprano on the HBO series The Sopranos...",New York
Edie Falco,North Babylon,,North Babylon,1784,2845493,Edie Falco,40.7164881,-73.3217861,"Edith Falco is an American television, film, and stage actress, known for her roles as Diane Whittlesey in the HBO series Oz (1997–2000) and Carmela Soprano on the HBO series The Sopranos...",New York
Barry Bonds,San Carlos,,San Carlos,1783,2843162,Barry Bonds,37.5071591,-122.2605222,Barry Lamar Bonds is an American former professional baseball left fielder who played 22 seasons in Major League Baseball (MLB) with the Pittsburgh Pirates and San Francisco Giants. He received seven...,California
Franklin Pierce,Concord,,Concord,1780,2807711,Franklin Pierce,43.2081366,-71.5375718,"Franklin Pierce was the 14th president of the United States (1853–1857), a northern Democrat who saw the abolitionist movement as a fundamental threat to the unity of the nation. He alienated...",New Hampshire
Franklin Pierce,Hillsborough,,Hillsborough,1780,2787047,Franklin Pierce,43.114728,-71.895049,"Franklin Pierce was the 14th president of the United States (1853–1857), a northern Democrat who saw the abolitionist movement as a fundamental threat to the unity of the nation. He alienated...",New Hampshire
