"schoolName","state","link","text"
"LATHROP HIGH SCHOOL","AK","https://www.k12northstar.org/site/handlers/filedownload.ashx?moduleinstanceid=3180&dataid=3743&FileName=Rights_Responsibilities_Handbook.pdf","Students have the right to dress in a manner which expresses an
ethnic, religious, or political point of view. Students also have a
responsibility to dress and act in a manner which is appropriate for
school.
Student’s school attire should adhere to accepted standards of
decency, should not pose a threat to public or personal health and
safety, or be disruptive or distracting to classroom activity or pupil
behavior. Apparel with prohibited slogans or designs printed on
them will not be allowed. Whenever there is a disagreement
between the school and the student about appearance, admission
to class will not be permitted until the problem has been resolved
with the student’s parent or guardian.
Life is full of choices. Students have the right to choose both their
actions and their own style of dress every day. They also have a
responsibility to make good choices. The school staff has the
responsibility to make professional judgments regarding the
appropriateness of those actions and dress based upon standards
stated above. A student’s manner of dress would be considered
inappropriate if it were “unusual” enough to distract either other
students or the teacher from educational activities in the classroom
or to disrupt the positive, safe climate on campus.
The following may not be worn at school:
• head gear of any type. No head gear may be worn from the
time a student enters school until the time a student leaves
school. This applies to headgear of any kind, including but
not limited to: hats, bandanas, scarves, sweatbands, dorags,
etc. Outside hats may be put on in the school lobby
as the student leaves the building. Elementary hat policy
during cold weather may differ to ensure student safety.
• Articles of clothing, accessories, or footwear that
advertise, depict, or condone the use of alcohol, drugs,
tobacco, violence, inappropriate language, or sexual
behavior/innuendo, purposeful harm to oneself, suicide,
gang membership, or gang behavior.
• Articles of clothing, accessories, or footwear that signify
gang affiliation. Known styles of gang-related dress, as
verified by local authorities, shall not be worn, possessed,
or displayed at school, or at any school sponsored events.
This may include pants that sag (pants must be worn at
the waist even if a shirt covers the waistline), a single
raised pant leg, bandanas, or similar looking items worn as
an accessory; colors, symbols or numbers representing or
having special significance within gang culture; sports
clothing of specific teams; beads and necklaces; belt
buckles with gang initials; gang themed t-shirts with gang
photos, prison scenes, graffiti, or slogans. Display of body
tattoos which are gang-related are also prohibited and
must be covered during school hours and at school
events. Should other possible displays or styles of gangrelated
dress come to the attention of school officials, local
authorities will verify it, unless it becomes a disruption
beforehand.
• Articles of clothing that are provocative or revealing in
nature, including those constructed from spandex or
similar form-clinging fabric; leggings or tights without a
shirt, tunic, skirt, or shorts of suitable length over them;
spaghetti straps; low necklines; clothing that reveals
underwear; bare midriffs; bare shoulders, including racer
backs; bare backs; low-cut tops or dresses; halter tops,
etc. All cleavage must be completely covered.
Undergarments of males and females may not be
exposed, even when a student leans over or sits down. All
tops must overlap or be completely tucked into pants,
shorts or skirts to avoid any bare midriff or lower back.
• Skirts or dresses that are shorter than 6 inches above the
knee, and shorts that are shorter than mid-thigh, whether
sitting, standing, or bending over. Private body parts shall
be covered at all times. No undergarments or parts thereof
may be exposed at any time.
• Articles of clothing that are considered lounge-wear,
pajamas, etc.
• Articles of clothing or accessories that disparage or
humiliate any group, or individual for any reason, including
but not limited to national origin, gender, race, religion,
sexual orientation, gender identity, or disability.
• Items of jewelry or accessories which pose a hazard, wallet
chains, spike collars or necklaces, spiked bracelets, safety
pin jewelry, choke chains, bicycle chains, earrings
connected to a nose ring via a chain, etc.
• Sunglasses
• Tattoos of a design or in a location disruptive to school order
Consequences for initial violation of the dress code will be
1) a requirement for the student to wear appropriate garments,
footwear, or accessories, and 2) parental contact. 
Fairbanks North Star Borough School District  Student Rights, Responsibilities & Behavioral Consequences – 2018-2019
6
Repeated infractions may be considered insubordination resulting
in appropriate disciplinary consequences. (Cross reference School
Board Policy and Administrative Regulation 1046.5-Insubordination)
Exceptions to these rules for religious, medical, or cultural reasons
will be decided on a case-by-case basis by the school
administration.
The building principal may approve exceptions to these rules for
special event days "
"ATHOL HIGH","MA","http://www.arrsd.org/wp-content/uploads/2018/08/AHS-Student-Handbook-2018-2019.pdf","The responsibility for the dress and appearance of the students will rest with individual students and parents.
They have the right to determine how the student will dress providing that attire is not destructive to school
property, complies with requirements for health and safety, and does not cause disorder or disruption. The
administration is authorized to take action in instances where individual dress does not meet the stated
requirements.
This does not mean that student, faculty, or parent/guardian groups may not recommend appropriate dress for
school or special occasions. (See Code of Conduct). It means that students will not be prevented from attending
school or a school function, or otherwise be discriminated against, so long as their dress and appearance meet
the requirements set forth above."
"SAVAGE HIGH SCHOOL","MT","http://www.savagepublicschool.com/uploads/1/3/2/1/13214614/student_handbook_18-19.pdf","Personal appearance and hygiene reflect an individual’s character and innermost being. Appropriate, neat
and clean attire compliments the great educational atmosphere that we have at the Savage School! It is the coresponsibility
of each Savage School parent and their student to monitor that student’s attire and appearance.
Student appearance should be governed at all times by what is appropriate, what is clean and neat, and what
reflects our community’s standards and values.
1. THE FOUR B’S SHOULD BE ENFORCED: no breasts, no backs, no bellies and no butts.
Guidelines that will apply to student dress code include 1 inch top straps on shirts, tops and
dresses; top clothing that does not reveal midriff, cleavage or underwear; shorts, skirts, and dresses that
pass mid-thigh. Cut-offs are not allowed, also “wife-beaters” will not be allowed; clothing with offensive,
obscene or suggestive prints, lettering or picture, or clothing that advertises alcohol, tobacco or
questionable products. In cases where there is a question about the appropriateness of any item of attire,
the superintendent will determine what is appropriate! Students with inappropriate clothing will either
remain in the office until more appropriate clothing is brought from home, or they will be sent home to
change. Any school time missed will be considered as being absent and disciplined as such.
2. CAPS AND HATS
Students will remove caps and hats and leave them off at all times in the school building during the school
day. "
"BEGGS HS","OK","http://s3.amazonaws.com/scschoolfiles/1396/student_handbook_2018-19.pdf","The Board of Education prohibits wearing of attire which might expose too much of the child’s person
as deemed inappropriate by school officials.
The following includes, but is not limited to, appropriate dress requirements:
1. Students are expected to wear clothes of reasonable length. Shorts or Dresses must be below
the fingertips around the entire leg.
2. Low cut clothing, halter tops, mesh clothing, racerbacks, and midriffs will not be permitted as
appropriate dress. All straps must be AT LEAST 3 fingers wide, including, but not limited to,
tank tops and sleeveless shirts.
3. Off the shoulder shirts are not permitted UNLESS they have straps that are AT LEAST 3 fingers
wide OR are worn over a top that has straps AT LEAST 3 fingers wide.
4. If hoodies are worn, the hood must be kept down at all times.
5. If shirts are worn that are low cut under the arms, the entire torso must be covered.
6. Clothing that is extremely tight will not be considered appropriate dress. If leggings are worn,
the top must meet the dress code in length #1.
7. Shorts must be long and loose. Boxers or biker shorts are not permitted. Failure to abide by
these rules will cause the loss of privilege to wear shorts.
8. No sagging pants.
9. If jeans, pants, or shorts are worn with holes, all holes above the fingertips must not expose any
skin or underwear.
10. Students may wear nothing that is disruptive to teaching, learning, or normal class function.
11. Signs, words, or other marking of poor taste such as beer, liquor, drugs, or suggestive slogans
will not be permitted on clothing.
12. No hats.
13. No bandanas, du-rags, or gang paraphernalia.
36
14. No leather “dog collars” or spike attire.
15. No chains are allowed.
16. No house shoes, pajamas, or blankets.
17. No sheer or see-through clothing unless clothes underneath meet school dress code.
18. No skate shoes will be permitted on school grounds.
19. The sponsors of activities and organizations can have grooming and dress codes at their
discretion.
**The principal may make exceptions for spirit days or special activities.
**Beggs High School students will be provided clothing from the office to wear for the day if students
are unable to follow the dress code or provide their own change of clothes. Beggs High School’s
discipline actions will be as follows:
1st dress code violation: Change clothes
2nd dress code violation: Change clothes
3rd dress code violation: Change clothes and 2 days of ISI
4th dress code violation: Change clothes and 3 days of ISI
5th or more violations: 3 days suspension for each violation
**This is not a complete list of dress code requirements/limitations. Beggs Administration reserves the
right to require a student to change any garment/item deemed inappropriate.**"
"BELTON H S","TX","https://www.bisd.net/HShandbook","The District’s dress code is established to teach grooming and hygiene, instill discipline, prevent
disruption, avoid safety hazards, and teach respect for authority. The student, and parent may
determine the student’s personal dress and grooming standards, provided that they comply with
this dress code.
The District prohibits any clothing or grooming that in the principal’s judgment may reasonably
be expected to cause disruption of or interference with normal school operations. This
prohibition includes clothing, accessories, or body art that is lewd, offensive, vulgar, or obscene
or advertises or depicts tobacco products, alcoholic beverages, drugs, or any other substance
prohibited under FNCF(LEGAL).
Student Dress Standards
 Hair color or style may not cause a disruption to the learning environment.
 Shorts, dresses, and skirts must be at least mid-thigh in length.
 Holes or slits in garments must be located below mid-thigh.
 Pants, jeans, and shorts must be worn at the waist, i.e. no sagging.
 Tights, leggings, or spandex may only be worn with a shirt, skirt, dress, or shorts that are
mid-thigh in length.
 Facial piercing jewelry will be limited to one nose stud.
 Tank top straps should be at least the width of a student ID.
Students may not wear:
 Sleepwear such as pajamas and/or slippers.
 Sunglasses, hats, or caps (in the building).
 Bandeaus, spaghetti straps, halter tops or sheer clothing.
 Tops which expose the midriff or are excessively low cut.
 Clothing or accessories which indicate gang affiliation, or could be construed to be gangrelated.
 Oversized or bulky coats or jackets, or full-length coats or jackets like trench coats or
dusters.
 Sleeveless shirts for male students.
The principal will be the final authority concerning dress code violations. Students who are
considered to be in violation of the dress code will be advised by a campus administrator and
given an opportunity to comply. While waiting to correct a dress code violation, the student may
wait in the office, return to class (if not a severe violation), or report to ISS as instructed by a
campus administrator. "
"MILTON HIGH","WI","https://www.milton.k12.wi.us/18_19_Documents/Final_MHS%20Student%20and%20Family%20Handbook_%202018-2019.pdf","A student’s appearance is primarily a parental responsibility, which should reflect concern for health and safety of the student and others, and to school
property. When the dress of an individual student constitutes a health problem, is unsuitable for school wear, or is a physical danger to any person, or
when the student’s manner of dress or grooming causes a disruption or disturbance, appropriate action will be taken.
Certain apparel is not allowed in school, such as hats, caps, and other headgear; spaghetti strap tank tops, strapless tops, very short
skirts/shorts, fishnet clothing; clothing with offensive language or pictures; shoes or boots that mark the floors; clothing that is low-cut or
does not completely cover the midsection; any apparel with spikes or hobnails; cleats; or protruding wallet chains. Also any item that
promotes, advertises, or depicts drug, alcohol or tobacco, or any article of clothing that mimics the logos of such items is not permitted.
Students who violate this policy will be given an opportunity to correct the situation by changing, turning a shirt inside-out, covering up, or being sent
home to change. Students refusing to follow this policy may face suspension from school. The suspension could be in-school and/or out-of-school.
Students who repeatedly violate this policy will be required to attend a parent conference with counselor(s) attending and may face suspension and/or
expulsion from school."
"SOUTHERN COLUMBIA HS","PA","http://www.scasd.us/sites/default/files/FINAL%20HS%20Student%20Handbook%202018-2019.pdf","Students are required to be dressed to the standard dress code policy while in school or at school directed
activities. This may be a combination of the following options:
I. Dresses and Skirts
1. Dresses, skirts and shorts are to be of approved length, which is to be five (5) inches from the top of the
kneecap. Leggings/undergarments do not affect the required length of student clothing.
2. Biker shorts are not acceptable. (Spandex)
3. Wearing layered garments which do not meet any of the district’s dress guidelines are not permitted.
II. Slacks and Jeans
1. The wearing of slacks, jeans and sweatpants are permitted.
2. Pants must be worn around the natural waistline, not to expose the midriff area. Absolutely no skin or
underwear should be showing at any time.
3. Distressed jeans/pants exposing skin is unacceptable. If pants are deemed inappropriate, the student will
be asked to change.
4. No low rise jeans.
5. No pajama/flannel pants.
III. Shirts
1. All shirts must have sleeves or caps.
2. Fringed or cut-off shirts may not be worn.
3. Bare backs, midriffs, and halters are not allowed.
4. Tank tops, mesh shirts and muscle shirts are not allowed.
5. Sheer (see through) tops are not allowed.
6. Logos on clothing will not be obscene, sexual, drug/ alcohol or occult related.
7. Spaghetti straps are not to be showing.
8. Undershirts are not allowed.
9. All shirts are to be of sufficient length, not to expose the midriff area. Absolutely no skin should be showing
at any time.
Absolutely no cleavage should be showing.
IV. Shoes
1. Shoes, sneakers, or sandals must be worn at all times.
2. Shoes must be appropriate to the school environment and the child’s age. No Wheelies.
Miscellaneous Items Not Acceptable
• Sunglasses, hats, visors, arm bands, leg bands, head bands, bandanas, chains.
• Outside wearing apparel.
• Extremely long or large earrings (larger than 2 inches).
• Dirty clothing.
• Clothing must be of proper fit, not to exceed one size beyond correct size, neither too large nor too small.
Underclothing is not permitted to be seen at any time, including through outer clothing."
"COMO PARK SENIOR HIGH","MN","https://www.spps.org/site/handlers/filedownload.ashx?moduleinstanceid=48819&dataid=27984&FileName=2018-19_RRSummary_Final.pdf","Rights/Opportunities
• Students have the right to choose their manner of dress and personal grooming unless it presents a
clear danger to the student’s health or safety, causes an interference with school work or creates
classroom or school disorder.
Responsibilities
• Students are responsible for wearing clothes that are appropriate for school. To maintain a safe
learning environment, student dress cannot be a health and/or safety hazard, obscene, sexually explicit
or discriminatory. Clothing that displays words or images that communicate a message that is racist,
sexist, or otherwise derogatory is not permitted. Clothing that displays references to alcohol,
chemicals, tobacco or other products that are illegal for use by minors is not permitted.
• Students are responsible for abiding by the school principal’s mandated minimum standards of
cleanliness and neatness. Students who attend schools that have adopted a school uniform
requirement must follow the school’s uniform requirement. For more details, see Board Policy 501.03
and Board Policy 501.04 at spps.org/boardpolicies."
"ELSBERRY HIGH","MO","http://www.elsberryschools.com/UserFiles/Servers/Server_128419/File/Elsberry%20High%20School%20student%20handbook%202018-19.pdf","The atmosphere in which learning takes place exerts a tremendous influence on
the participants. It is our belief that cleanliness and neatness in dress enhance the school
environment. Each student through his own personal cleanliness and neatness in dress
will contribute to a pleasant school environment and a pleasant learning situation.
Therefore, clothing or personal grooming that disrupts, or can be forecasted to disrupt
the educational environment is prohibited.
The following guidelines will be followed:
1. All students must be fully clothed. Boxers and Bedroom attire is not considered
appropriate.
2. Attire, including jewelry, which promotes disruptive behavior, is prohibited.
3. All clothing should meet standards of modesty and good taste. Any garment with
excessive exposure in the front, back, sides, or any garment which exposes the
midriff or exposes under-garments is prohibited. Low slung pants and excessively
oversized clothing will not be permitted as they may interfere with student education
or be a safety concern. Shirts, pins, buttons or jewelry with sexually explicit,
abusive, racial, vulgar, drug, alcohol, or tobacco related writing or pictures are not to
be worn.
4. Caps and hats must be kept in your locker during school hours. Hoods are not to be
worn in the building.
5. Student pants, shorts, and skirts:
A. Must cover undergarments, be free from holes or tears in inappropriate places, and must not
disrupt the teaching/learning process or cause undue attention to an individual student at
all times.
B. Students may wear shorts or skirts whenever they feel the weather is suitable. All shorts/skirts
must be finger-length.
6. Students are not permitted to wear gang related apparel or insignia at school or
school functions.
7. Students are not to wear chains that may be used as a weapon.
8. All clothing should be clean.
9. Sleeveless shirts may be worn but they must cover the student’s shoulder ( No tube
tops, tank tops, halters, spaghetti straps, racer backs, etc.). Sleeveless shirts must
also not have large open sides. Bras cannot be visible at all.
10.Students who violate the dress code will be sent to the office to change into more
appropriate clothing. Students that are sent home to change will receive unexcused
absences and a tardy for time missed.
Hair Appearance:
1. Hair, regardless of style, must be kept clean and neat and not interfere with the
student's work or cause disruption to the educational environment.
2. Students in the Industrial Arts and Agriculture Shops, for safety reason, will be
required to keep hair cut or wear something to keep hair out of the machines."
"PORT JERVIS SENIOR HIGH SCHOOL","NY","https://campussuite-storage.s3.amazonaws.com/prod/1558562/da7ff762-7a28-11e8-98e1-0ac498f040b0/1821923/f448a9b2-ad56-11e8-937d-12d332735efe/file/HS%20full%20page%202018%202019%20student%20handbook%20(2).pdf","All students are expected to give proper attention to personal cleanliness and to dress
appropriately for school and school functions. Students and their parents have the primary
responsibility for acceptable student dress and appearance. Teachers and all other district
personnel should exemplify and reinforce acceptable student dress and help students develop an
understanding of appropriate appearance in the school setting. A student’s dress, and appearance,
including hair style/color, jewelry, make-up, and nails, shall:
8
1. Be safe, appropriate and not disruptive to the educational process.
2. Not include extremely brief, revealing, tight or form fitting garments such as, but not limited to,
tube tops, net tops, halter tops, spaghetti straps, plunging necklines, (front and/or back), bare
midriff, inappropriate Spandex clothing, see-through garments, high slit or short skirts/shorts.
Skirts/shorts must be longer than the student’s finger tips when arms are extended at their sides.
This includes when the student is walking.
3. Ensure that underwear is completely covered with outer clothing and that all clothing is
properly secured.
4. Pants are to be worn at the waist at all times.
5. Include footwear at all times. Footwear that is a safety hazard will not be allowed eg: Heelys or
slippers.
6. Not include the wearing of hats, including bandanas, do rags, hoodies when hood is up on the
head, or any other headgear, in the cafeteria, auditorium, library, offices, and instructional
spaces, except for a medical or religious purpose.
7. Not include items that are, or could be interpreted as being, vulgar, obscene, libelous, or
denigrate others on account of race, color, religion, creed, national origin, gender, sexual
orientation or disability. Negative messages are equivalent to harassment.
8. Not promote and/or endorse the use of alcohol, tobacco or illegal drugs and/or encourage other
 illegal or violent activities or gang related symbols or apparel.
9. Not include sleepwear, or any pajama-like clothing or slippers except on days designated by
 the Building Principal.
10. Not include bandanas worn in any way.
11. Any form of clothing/coats designed primarily for outdoor use is not permitted to be worn
 inside. No hoods, gloves, sunglasses or mittens may be worn in the school.
12. Not include jewelry that can be harmful to others. Chains of any kind, spiked collars and wrist
 bands are prohibited.
Each Building Principal or his/her designee shall be responsible for informing all students and their
parents of the student dress code at the beginning of the school year and any revisions to the dress
code made during the school year. The administration reserves the right to rule on any new fashion
trend. Students who violate the student dress code shall be required to modify their appearance by
covering or removing the offending item, and if necessary or practical, replacing it with an
acceptable item. Any student who refuses to do so shall be subject to discipline, including being
sent home or placed in the ISS Room. Any student who repeatedly fails to comply with the dress
code shall be subject to further discipline, up to and including out of school suspension."
"LONGMONT HIGH SCHOOL","CO","https://docs.google.com/document/d/10aDrsvp1qbWMfAMJwFw1eZ5B64F7IJtSTy-unoZnyn0/edit#heading=h.gjdgxs"," Appropriate dress at Longmont High School is that which does not distract from the educational process.  If a first offense occurs, a student will be warned and asked to change or go home to change.  If a second offense occurs, the student shall remain in the administrative area of the school for the day to do schoolwork and a conference with parents/guardians will be held. If a third offense occurs, the student may be suspended.
Unacceptable Items:
Any clothing or accessory that presents an obvious threat to the safety of others in a school environment, e.g. sharp jewelry, some chains, etc. 
Sunglasses are not to be worn in the building in any manner. No sunglasses on the back of the head.
No pajamas or bedroom slippers.
No blankets.
Hoods may not be worn over the head when in the building.
Clothing that bares or exposes traditionally private parts of the body including, but not limited to, the stomach, buttocks, back and breasts.   
Any clothing, paraphernalia, grooming, jewelry, accessories or body adornments that are or contain any advertisements, symbols, words, slogans, patches or pictures that:
Refer to drugs, tobacco, alcohol, or weapons, are of sexual nature
By virtue of color, arrangement, trademark, or other attributes denote affiliation with gangs which advocate drug use, violence, illegal activity, or disruptive behavior which is detrimental to the safety and welfare of other students
Are obscene, profane, vulgar, lewd or legally libelous
Threaten the safety or welfare of any person
Otherwise disrupt the educational process
"
"ELKO HIGH SCHOOL","NV","https://drive.google.com/file/d/0B9Av4Sh_NSWSbUs5XzFsRU5ZWjF6ZmxIdU05ajhnVHZuOWVz/view","Elko High School encourages its students to “Dress for Success”. Personal appearance should not disrupt
or detract from the educational environment of the school. The school administration has the right to
designate which types of dress or appearance are not acceptable.
1. Required to wear shoes with soles. Footwear which does not offer sanitary or safety protection is
prohibited. Use of flip- flops will be determined by classroom teacher with regards to safety.
( This would include open toed shoes.)
2. Not allowed to wear crop tops (no skin showing between bottom of shirt/blouse and top of pants
or skirt), strapless, low-cut clothing with slits, or tops and outfits that provide minimum coverage.
3. Not permitted to wear spaghetti straps or Tank Tops.
4. Required to wear all shorts, skirts, and dresses that are fingertip length. If shorts are worn, they
must be hemmed and without fraying.
5. Not allowed to wear pants/shorts that are ripped or torn and are too revealing.
6. Not allowed to wear pajamas.
7. Not allowed to wear hats, beanies, or other types of headgear in the buildings. Will be subject to
confiscation.
8. Not allowed to wear clothing with slogans or advertising which by their controversial or obscene
nature disrupts the educational setting. This includes, but is not limited to, clothing with alcohol
and/or tobacco advertisements.
9. No sagging on school grounds or at school related/sponsored events.
10. Not allowed to wear attire which is deemed dangerous. Examples include, but are not limited to:
 any type of chain
 rings, bracelets or other types of jewelry which can inflict injury
 wrist or neck bands having metal studs or spikes
 safety pins as decoration

Pursuant to N.R.S. 392.4635 Policy for prohibition of activities of criminal gangs on school property.
The Board of Trustees of each school district may establish a policy that prohibits the activities of
criminal gangs on school property. Each policy that prohibits the activities of criminal gangs on school
property may provide for the suspension or expulsion of pupils who violate the policy.
As used in this section, criminal gang has the meaning ascribed to it in N.R.S. 213.1263.
Disciplinary Action:
1st Violation: Student clothes changed; parent contacted
2nd Violation: Student clothes changed; parent contacted; 1-3 days of all day ISS;
Administrative Discretion
3rd Violation: Parent contacted; 1-3 days of all day OSS;
Administrative Discretion

HAT and/or HEAD COVERING

All head coverings, including bandanas, are unacceptable with the exception of those for medical
purposes or religious observances. If caps are worn to school, they are not to be worn in the buildings or
they will be confiscated. The exception would be spectators at extracurricular activities or special school
activities.
"
"IRONTON HIGH SCHOOL","OH","http://www.tigertown.com/UserFiles/Servers/Server_2979847/File/IHS/IHS.HandBook.18-19.pdf","Students are expected to dress appropriately at all times. Any fashion (dress, accessory, or
hairstyle) that disrupts the educational process or presents a safety risk will not be permitted.
Students should consider the following questions when dressing for school:
Does my clothing expose too much? (No)
Does my clothing advertise something that is prohibited to minors? (No)
Are there obscene, profane, drug-related, gang-related, or inflammatory messages on my
clothing? (No)
Am I dressed appropriately for the weather? (Yes)
Do I feel comfortable with my appearance? (Yes)
The guidelines for the dress code are as follows:
All students enrolled in the Ironton City School District are expected to dress in an
acceptable fashion. Extremes of any nature that detract from the educational process
will not be permitted. Extremes are those forms of dress that cause a disturbing effect
on the student body, hinder the normal pattern of the educational atmosphere, or are
injurious to the child's safety. If a student's health habits indicate a hazard to other
students, remedial action will be taken.
1. Students may wear slacks, jeans, skirts, skorts (split skirts) or dresses.
2. Sunsuits and swimsuits are not permitted.
3. Tops with halters, spaghetti straps, open backs, bare midriffs and exposed cleavage
 are not permitted.
4. Extremely tight or baggy pants or shorts will not be permitted.
5. Sleeveless shirts should be tight under the arm, and must conceal underclothing.
6. Length of shorts should be to the tips of the fingers when student’s arms are
 resting at sides.
7. Hair will be neat, clean, well groomed.
8. Mustaches and beards are acceptable if neatly trimmed.
9. All clothing must be free of all sexually suggestive, obscene, profane, or vulgar,
 slogans, pictures, or words.
10. Headbands, chained billfolds, bandannas, heel or toe taps, and knife holders are
 not to be worn.
11. Hoop piercings may not be worn in any part of the body except ears. Spikes are not
permitted as jewelry/piercings. Any piercing shall not, in the opinion of the administration,
cause a health or safety hazard or cause a disruption of the educational process Piercing
commonly referred to as studs are not permitted.. Sunglasses, caps, scarfs and hats are not to
be worn inside the building.
12. See-through clothing is not acceptable.
13. Underclothing worn as outer garments is not acceptable.
14. Shoes will be worn. For safety reasons, high-heel shoes, high-heel boots and
 wooden shoes may not be worn by elementary students.
15. Foundation garments will be worn.
16. Students may carry cell phones provided they are registered with the principal's
 Office and a Cell Phone Acceptable Use Agreement is on file. Phones must be turned
 off during school hours.
17. Leotards are not to be worn alone as a substitute for jeans or slacks.
18. Drug, alcohol, or tobacco related logos, insignias, slogans, or pictures on clothing,
 buttons, patches, or signs are not permitted.
19. Jeans or pants must fit properly around the waist. Any jeans or pants that cannot
 stay up without a belt or suspenders are prohibited. In addition, no undergarments
 can be showing at the waist.
20. Athletic bags carried to school must be stored in appropriate locker room areas
 or other designated areas. Athletic bags cannot be carried from class to class.
21. Trench coats, overcoats, and/or out-of-door coats are not allowed to be worn
 during class unless otherwise specified by the principal.
The Dress Code applies not only to school, but also extends to school activities. If there
is a violation of the Dress Code, the student will not be permitted in class until the
infraction is corrected (removal from the classroom). Repeated violations of any dress
code guideline will be considered insubordination and may result in suspension. Class
time lost due to infractions must be made up by the student.
Corrections to the dress code violation can be accomplished in one of the following
ways:
* Replacing the item (example: changing a T-shirt)
* The student removes the item, which violates the dress code (example: sunglasses,
 caps, etc.)
* Students may call home to have replacement clothing brought
* Student may be sent home to change
Clothing and grooming may be more strictly regulated when students are working with
machinery, working in a laboratory, preparing food in class, working in the cafeteria, or
participating in sports or physical education classes.
The principal and/or assistant principal shall have the final authority to determine
violations of this policy.
Students who are representing Ironton High School at an official function or public event may
be required to follow specific dress requirements. Usually, this applies to athletic teams,
cheerleaders, bands, and other such groups."
"SOUTH JEFFERSON HIGH SCHOOL","NY","https://drive.google.com/file/d/1rG3pPJz-mXtABUTTxhaW3Aq9GpJKQtvJ/view","All students are expected to dress appropriately for school functions. Students and their parents have the primary
responsibility for acceptable student dress and appearance. Teachers and all other district personnel should set the example
for acceptable student dress and should assist with and help students develop an understanding of what is appropriate
appearance in the school and in society. When these efforts fail, teachers and administration will enforce the school Dress
Code Policy.
1. Shirts or dresses with plunging necklines, tube tops/strapless tops, halter tops, midriff or fishnet shirts, sheer or see
through tops and muscle shirts are not allowed. Clothing at extra-curricular activities such as school dances or concerts will
be reviewed and allowed at the discretion of the school administrator.
2. Shorts, skirts or dresses must be at an appropriate length to cover under garments as well as allow for participation in
appropriate activities while maintaining modesty. Articles of clothing that expose skin at the waist line are not allowed. Any
clothing which is excessively revealing, including torn or ripped clothing, will not be allowed.
3. Undergarments, including boxer shorts and thongs, must be completely covered with clothing.
4. Shirts or other articles of clothing, including bandanas, armbands and/or jewelry which may promote/advertise
weapons, gangs, violence, alcohol, tobacco products or drugs, or which are sexually suggestive, abusive or offensive, are not
allowed.
5. Shirts or other articles of clothing which put down a person/people on the basis of gender, race, sexual orientation,
religious belief or disability are not allowed.
6. Footwear must be worn at all times. Footwear must be safe.
7. Hats, caps, bandanas, hoods, masks, sunglasses or other face/head coverings shall not be worn in the building except
for medical or religious purposes or for school sponsored special events.
8. Pajamas cannot be worn in school except for school sponsored special events.
9. Wallet chains, belt chains and clothing chains are not allowed. Any item that could be used as a weapon is not
appropriate for school.

54

10. Clothing, jewelry or body piercings that present a safety hazard are not allowed.
11. Outdoor clothing such as trench coats, over coats, ski jackets, etc. are also not allowed.
12. The District shall not prohibit students from wearing clothing, including shirts and armbands, that communicate
views on issues of public concern symbolically or through text, unless the clothing is lewd, vulgar, indecent, profane or
contains sexual innuendo, or promotes weapons, alcohol, tobacco products or drugs, or unless the clothing violates school
rules specifically pertaining to modesty in physical appearance or prohibiting head coverings worn on the head during school
hours.
13. School officials reserve the right to regulate student conduct consistent with existing and subsequently developed law
governing this jurisdiction as to the extent of students’ First Amendment rights.
Students who violate the District’s dress code shall be required to modify their apparel by replacing, covering and/or
removing the offending item. Any student who refuses to do so shall be subject to disciplinary action. Students may be given
a warning the first time they violate the dress code policy and will be assigned consequences for each occurrence thereafter.
The ultimate determination of what is considered appropriate dress lies with the building administration or appointed
designee."
"SIMSBURY HIGH SCHOOL","CT","https://www.simsbury.k12.ct.us/uploaded/SHS_Content/SHS_Student_Handbook.pdf","Students are encouraged to dress and groom themselves for the business of school, and refrain from wearing
clothing that is not consistent with the education process, or that poses a health or safety threat to anyone, or
could cause damage to the school facility.
• Clothing should be clean and in good condition.
• Clothing should be free of obscenities, slogans, names, titles, or the like, which are defamatory toward
person(s), group(s), the school, or other organizations.
• Attire or accessories that display lewd or vulgar language or pictures, sexual references, or which depict
logos or emblems that advertise or encourage the use of drugs, tobacco products, alcoholic beverages,
or acts of violence are prohibited. In addition, derogatory language or pictures, where such language or
pictures are likely to cause a substantial disruption of the school, are also prohibited.
• Apparel or accessories that damage property or create a safety hazard are prohibited (including pocket
chains).
• Sunglasses, hoods worn over the head, or outer-wear (e.g. heavy coats) are not to be worn during the
school day.
• Clothing that is not consistent with the educational process includes but is not limited to clothing that
reveals the midriff, chest, or undergarments. Shorts, skirts, or dresses should be of an appropriate
length. Strapless tops and strapless dresses are not permitted.
If a staff member finds one or more of the above rules violated, this procedure will be followed:
• A staff member makes a request of a student and the student responds appropriately. The staff
member should report this interaction to the assistant principal’s office as a matter of record.
• If the staff member prefers, he/she can contact the assistant principal directly, and the assistant
principal will make every effort to speak to the student in a timely fashion.
• If a student does not comply with a staff member’s request, the student will be referred to the
appropriate assistant principal who will evaluate the situation. Appropriate action will then be taken
and the staff member will be notified of the action that was taken. If a rule is violated at a dance or
other school function, a student can be asked to leave.
• When necessary, a parent/guardian will be notified.
• A student who is not properly attired for school will be asked to remedy the infraction(s).
Parents/guardians may be called to bring appropriate clothing to school. "
