"brand","brand_short","product","product_short","hex","H","S","V","L","group"
"bareMinerals","bm","barePRO","pro","e6bc94",29,0.36,0.9,79,2
"bareMinerals","bm","barePRO","pro","dcb79a",26,0.3,0.86,77,2
"bareMinerals","bm","barePRO","pro","eac8a3",31,0.3,0.92,83,2
"bareMinerals","bm","barePRO","pro","e9c89e",34,0.32,0.91,83,2
"bareMinerals","bm","barePRO","pro","d4ad8a",28,0.35,0.83,74,2
"bareMinerals","bm","barePRO","pro","cfa786",27,0.35,0.81,72,2
"bareMinerals","bm","barePRO","pro","d8b08c",28,0.35,0.85,75,2
"bareMinerals","bm","barePRO","pro","d4a97f",30,0.4,0.83,72,2
"bareMinerals","bm","barePRO","pro","deb58b",30,0.37,0.87,77,2
"bareMinerals","bm","barePRO","pro","dbae85",29,0.39,0.86,75,2
"bareMinerals","bm","barePRO","pro","d5a275",28,0.45,0.84,71,2
"bareMinerals","bm","barePRO","pro","d1a67e",29,0.4,0.82,71,2
"bareMinerals","bm","barePRO","pro","e0ab81",27,0.42,0.88,74,2
"bareMinerals","bm","barePRO","pro","ca9f75",30,0.42,0.79,69,2
"bareMinerals","bm","barePRO","pro","c69c6c",32,0.45,0.78,68,2
"bareMinerals","bm","barePRO","pro","bd9359",35,0.53,0.74,64,2
"bareMinerals","bm","barePRO","pro","b38355",29,0.53,0.7,59,2
"bareMinerals","bm","barePRO","pro","ab7945",31,0.6,0.67,55,2
"bareMinerals","bm","barePRO","pro","ab7944",31,0.6,0.67,55,2
"bareMinerals","bm","barePRO","pro","ad7d59",26,0.49,0.68,57,2
"bareMinerals","bm","barePRO","pro","a16c38",30,0.65,0.63,51,2
"bareMinerals","bm","barePRO","pro","976236",27,0.64,0.59,47,2
"bareMinerals","bm","barePRO","pro","8a5833",26,0.63,0.54,43,2
"bareMinerals","bm","barePRO","pro","8d5c31",28,0.65,0.55,44,2
"bareMinerals","bm","barePRO","pro","775436",28,0.55,0.47,39,2
"bareMinerals","bm","barePRO","pro","6e4b2f",27,0.57,0.43,35,2
"Estée Lauder","el","Double Wear","dw","ffd6ba",24,0.27,1,89,2
"Estée Lauder","el","Double Wear","dw","d0a26e",32,0.47,0.82,70,2
"Estée Lauder","el","Double Wear","dw","c48f56",31,0.56,0.77,64,2
"Estée Lauder","el","Double Wear","dw","bb8046",30,0.63,0.73,59,2
"Estée Lauder","el","Double Wear","dw","ffc8a3",24,0.36,1,85,2
"Estée Lauder","el","Double Wear","dw","d8bba3",27,0.25,0.85,78,2
"Estée Lauder","el","Double Wear","dw","fac7a7",23,0.33,0.98,84,2
"Estée Lauder","el","Double Wear","dw","ffcba6",25,0.35,1,86,2
"Estée Lauder","el","Double Wear","dw","e5b593",25,0.36,0.9,77,2
"Estée Lauder","el","Double Wear","dw","dea365",31,0.55,0.87,72,2
"Estée Lauder","el","Double Wear","dw","d8a46d",31,0.5,0.85,71,2
"Estée Lauder","el","Double Wear","dw","f2bb96",24,0.38,0.95,80,2
"Estée Lauder","el","Double Wear","dw","d4a066",32,0.52,0.83,70,2
"Estée Lauder","el","Double Wear","dw","f2bf91",28,0.4,0.95,81,2
"Estée Lauder","el","Double Wear","dw","edbe98",27,0.36,0.93,81,2
"Estée Lauder","el","Double Wear","dw","e7b79c",22,0.32,0.91,78,2
"Estée Lauder","el","Double Wear","dw","ebad81",25,0.45,0.92,76,2
"Estée Lauder","el","Double Wear","dw","ddb491",28,0.34,0.87,76,2
"Estée Lauder","el","Double Wear","dw","e5ad8a",23,0.4,0.9,75,2
"Estée Lauder","el","Double Wear","dw","d59a71",25,0.47,0.84,69,2
"Estée Lauder","el","Double Wear","dw","cf905d",27,0.55,0.81,65,2
"Estée Lauder","el","Double Wear","dw","d69060",24,0.55,0.84,66,2
"Estée Lauder","el","Double Wear","dw","be8058",24,0.54,0.75,59,2
"Estée Lauder","el","Double Wear","dw","d7986d",24,0.49,0.84,68,2
"Estée Lauder","el","Double Wear","dw","ad7247",25,0.59,0.68,54,2
"Estée Lauder","el","Double Wear","dw","c27440",24,0.67,0.76,57,2
"Estée Lauder","el","Double Wear","dw","c0976b",31,0.44,0.75,66,2
"Estée Lauder","el","Double Wear","dw","99562c",23,0.71,0.6,44,2
"Estée Lauder","el","Double Wear","dw","da926b",21,0.51,0.85,67,2
"Estée Lauder","el","Double Wear","dw","a35829",23,0.75,0.64,46,2
"Estée Lauder","el","Double Wear","dw","b56e38",26,0.69,0.71,54,2
"Estée Lauder","el","Double Wear","dw","a85f2a",25,0.75,0.66,48,2
"Estée Lauder","el","Double Wear","dw","8f4d2b",20,0.7,0.56,41,2
"Estée Lauder","el","Double Wear","dw","864f26",26,0.72,0.53,40,2
"Estée Lauder","el","Double Wear","dw","8f5c35",26,0.63,0.56,44,2
"Estée Lauder","el","Double Wear","dw","895c26",33,0.72,0.54,43,2
"Estée Lauder","el","Double Wear","dw","aa6533",25,0.7,0.67,59,2
"Estée Lauder","el","Double Wear","dw","925b2d",27,0.69,0.57,44,2
"Estée Lauder","el","Double Wear","dw","77421e",24,0.75,0.47,34,2
"Estée Lauder","el","Double Wear","dw","724727",26,0.66,0.45,35,2
"Estée Lauder","el","Double Wear","dw","7e512d",27,0.64,0.49,39,2
"Estée Lauder","el","Double Wear","dw","5e3617",26,0.76,0.37,27,2
"Revlon","rv","ColorStay","cs","f9caac",23,0.31,0.98,85,2
"Revlon","rv","ColorStay","cs","f8c7a1",26,0.35,0.97,84,2
"Revlon","rv","ColorStay","cs","f1bc96",25,0.38,0.95,80,2
"Revlon","rv","ColorStay","cs","f1b496",20,0.38,0.95,79,2
"Revlon","rv","ColorStay","cs","e8b29c",17,0.33,0.91,77,2
"Revlon","rv","ColorStay","cs","e2ae8e",23,0.37,0.89,75,2
"Revlon","rv","ColorStay","cs","dfa48c",17,0.37,0.87,73,2
"Revlon","rv","ColorStay","cs","e4a87f",24,0.44,0.89,74,2
"Revlon","rv","ColorStay","cs","e1a681",23,0.43,0.88,73,2
"Revlon","rv","ColorStay","cs","d5a187",20,0.37,0.84,71,2
"Revlon","rv","ColorStay","cs","dba787",23,0.38,0.86,73,2
"Revlon","rv","ColorStay","cs","d79f86",19,0.38,0.84,70,2
"Revlon","rv","ColorStay","cs","d5a187",20,0.37,0.84,71,2
"Revlon","rv","ColorStay","cs","de9a77",20,0.46,0.87,70,2
"Revlon","rv","ColorStay","cs","cb8f6e",21,0.46,0.8,65,2
"Revlon","rv","ColorStay","cs","c98667",19,0.49,0.79,62,2
"Revlon","rv","ColorStay","cs","c68f71",21,0.43,0.78,64,2
"Revlon","rv","ColorStay","cs","ba8568",21,0.44,0.73,60,2
"Revlon","rv","ColorStay","cs","a7745e",18,0.44,0.65,54,2
"Revlon","rv","ColorStay","cs","8e6558",14,0.38,0.56,47,2
"Revlon","rv","ColorStay","cs","eec498",31,0.36,0.93,82,2
"Revlon","rv","ColorStay","cs","eec29e",27,0.34,0.93,82,2
"L'Oréal","lo","Infalliable","ipm","f3c6a2",27,0.33,0.95,83,2
"L'Oréal","lo","Infalliable","ipm","e5ad8b",23,0.39,0.9,75,2
"L'Oréal","lo","Infalliable","ipm","e7ad82",26,0.44,0.91,76,2
"L'Oréal","lo","Infalliable","ipm","eeb67e",30,0.47,0.93,78,2
"L'Oréal","lo","Infalliable","ipm","e8b481",30,0.44,0.91,77,2
"L'Oréal","lo","Infalliable","ipm","daa271",28,0.48,0.85,71,2
"L'Oréal","lo","Infalliable","ipm","d49e6c",29,0.49,0.83,70,2
"L'Oréal","lo","Infalliable","ipm","c0844e",28,0.59,0.75,61,2
"L'Oréal","lo","Infalliable","ipm","c27f48",27,0.63,0.76,60,2
"L'Oréal","lo","Infalliable","ipm","da9e6b",28,0.51,0.85,70,2
"L'Oréal","lo","Infalliable","ipm","b87740",28,0.65,0.72,56,2
"L'Oréal","lo","Infalliable","ipm","925422",27,0.77,0.57,43,2
"L'Oréal","lo","Infalliable","ipm","fadcc8",24,0.2,0.98,90,2
"L'Oréal","lo","Infalliable","ipm","fcd6c7",17,0.21,0.99,89,2
"L'Oréal","lo","Infalliable","ipm","f7cab1",21,0.28,0.97,85,2
"L'Oréal","lo","Infalliable","ipm","deb09e",17,0.29,0.87,76,2
"L'Oréal","lo","Infalliable","ipm","d1a396",13,0.28,0.82,71,2
"L'Oréal","lo","Infalliable","ipm","cf9c7d",23,0.4,0.81,69,2
"L'Oréal","lo","Infalliable","ipm","d99959",30,0.59,0.85,69,2
"L'Oréal","lo","Infalliable","ipm","754728",24,0.66,0.46,35,2
"L'Oréal","lo","Infalliable","ipm","4d2c0a",30,0.87,0.3,22,2
"L'Oréal","lo","Infalliable","ipm","4d2006",22,0.92,0.3,19,2
"Covergirl + Olay","oc","Simply Ageless","sa","e1ad81",NA,NA,NA,75,2
"Covergirl + Olay","oc","Simply Ageless","sa","deb192",NA,NA,NA,76,2
"Covergirl + Olay","oc","Simply Ageless","sa","e3b490",NA,NA,NA,77,2
"Covergirl + Olay","oc","Simply Ageless","sa","e9b898",NA,NA,NA,79,2
"Covergirl + Olay","oc","Simply Ageless","sa","e8bb9c",NA,NA,NA,79,2
"Covergirl + Olay","oc","Simply Ageless","sa","e1b7a0",NA,NA,NA,78,2
"Covergirl + Olay","oc","Simply Ageless","sa","eac4ae",NA,NA,NA,82,2
"Covergirl + Olay","oc","Simply Ageless","sa","eac7ab",NA,NA,NA,83,2
"Covergirl + Olay","oc","Simply Ageless","sa","eabe9e",NA,NA,NA,80,2
"Covergirl + Olay","oc","Simply Ageless","sa","e5b39a",NA,NA,NA,77,2
"Covergirl + Olay","oc","Simply Ageless","sa","e7b590",NA,NA,NA,78,2
"Covergirl + Olay","oc","Simply Ageless","sa","f7dcca",NA,NA,NA,90,2
"Fenty","fe","PRO FILT'R","pf","fde9de",21,0.12,0.99,94,0
"Fenty","fe","PRO FILT'R","pf","fde7da",22,0.14,0.99,93,0
"Fenty","fe","PRO FILT'R","pf","fde3cc",28,0.19,0.99,92,0
"Fenty","fe","PRO FILT'R","pf","f2d3b1",31,0.27,0.95,87,0
"Fenty","fe","PRO FILT'R","pf","fce1c6",30,0.21,0.99,91,0
"Fenty","fe","PRO FILT'R","pf","efd1b7",28,0.23,0.94,86,0
"Fenty","fe","PRO FILT'R","pf","f4cca8",28,0.31,0.96,85,0
"Fenty","fe","PRO FILT'R","pf","e8bfa3",24,0.3,0.91,80,0
"Fenty","fe","PRO FILT'R","pf","fad5b8",26,0.26,0.98,88,0
"Fenty","fe","PRO FILT'R","pf","e9c39f",29,0.32,0.91,81,0
"Fenty","fe","PRO FILT'R","pf","e8bc99",27,0.34,0.91,80,0
"Fenty","fe","PRO FILT'R","pf","e2ad85",26,0.41,0.89,75,0
"Fenty","fe","PRO FILT'R","pf","eeba93",26,0.38,0.93,80,0
"Fenty","fe","PRO FILT'R","pf","dfad89",25,0.39,0.87,75,0
"Fenty","fe","PRO FILT'R","pf","d9a57d",26,0.42,0.85,72,0
"Fenty","fe","PRO FILT'R","pf","e4ac7c",28,0.46,0.89,75,0
"Fenty","fe","PRO FILT'R","pf","dca77d",27,0.43,0.86,73,0
"Fenty","fe","PRO FILT'R","pf","d59d6d",28,0.49,0.84,69,0
"Fenty","fe","PRO FILT'R","pf","e7ae85",25,0.42,0.91,76,0
"Fenty","fe","PRO FILT'R","pf","dcb17d",33,0.43,0.86,75,0
"Fenty","fe","PRO FILT'R","pf","ca9262",28,0.51,0.79,65,0
"Fenty","fe","PRO FILT'R","pf","d28f58",27,0.58,0.82,65,0
"Fenty","fe","PRO FILT'R","pf","d39063",24,0.53,0.83,66,0
"Fenty","fe","PRO FILT'R","pf","d39156",28,0.59,0.83,66,0
"Fenty","fe","PRO FILT'R","pf","ac7752",25,0.52,0.67,55,0
"Fenty","fe","PRO FILT'R","pf","b67849",26,0.6,0.71,56,0
"Fenty","fe","PRO FILT'R","pf","bd7b45",27,0.63,0.74,58,0
"Fenty","fe","PRO FILT'R","pf","c98256",23,0.57,0.79,61,0
"Fenty","fe","PRO FILT'R","pf","ca875a",24,0.55,0.79,63,0
"Fenty","fe","PRO FILT'R","pf","a86b3f",25,0.63,0.66,51,0
"Fenty","fe","PRO FILT'R","pf","a65e23",27,0.79,0.65,48,0
"Fenty","fe","PRO FILT'R","pf","9d5d2d",26,0.71,0.62,46,0
"Fenty","fe","PRO FILT'R","pf","ab6939",25,0.67,0.67,51,0
"Fenty","fe","PRO FILT'R","pf","894f29",24,0.7,0.54,40,0
"Fenty","fe","PRO FILT'R","pf","9b5b35",22,0.66,0.61,46,0
"Fenty","fe","PRO FILT'R","pf","824f30",23,0.63,0.51,39,0
"Fenty","fe","PRO FILT'R","pf","7d452c",19,0.65,0.49,36,0
"Fenty","fe","PRO FILT'R","pf","6d3b20",21,0.71,0.43,31,0
"Fenty","fe","PRO FILT'R","pf","683a20",22,0.69,0.41,30,0
"Fenty","fe","PRO FILT'R","pf","583218",24,0.73,0.35,25,0
"Iman","im","Second to None","sn","e1bea4",26,0.27,0.88,80,3
"Iman","im","Second to None","sn","e5ae86",25,0.41,0.9,76,3
"Iman","im","Second to None","sn","c38e63",27,0.49,0.76,64,3
"Iman","im","Second to None","sn","ac703d",28,0.65,0.67,53,3
"Iman","im","Second to None","sn","9e6209",36,0.94,0.62,47,3
"Iman","im","Second to None","sn","855723",32,0.74,0.52,41,3
"Iman","im","Second to None","sn","793f0d",28,0.89,0.47,34,3
"Iman","im","Second to None","sn","64300a",25,0.9,0.39,27,3
"Beauty Bakerie","bb","#1 CAKE MIX","cm","532e1e",18,0.64,0.33,24,3
"Beauty Bakerie","bb","#1 CAKE MIX","cm","4e2a1a",18,0.67,0.31,22,3
"Beauty Bakerie","bb","#1 CAKE MIX","cm","623f2c",21,0.55,0.38,30,3
"Beauty Bakerie","bb","#1 CAKE MIX","cm","8e532b",24,0.7,0.56,42,3
"Beauty Bakerie","bb","#1 CAKE MIX","cm","985223",24,0.77,0.6,43,3
"Beauty Bakerie","bb","#1 CAKE MIX","cm","a86738",25,0.67,0.66,50,3
"Beauty Bakerie","bb","#1 CAKE MIX","cm","a16f4c",25,0.53,0.63,52,3
"Beauty Bakerie","bb","#1 CAKE MIX","cm","a4683b",26,0.64,0.64,50,3
"Beauty Bakerie","bb","#1 CAKE MIX","cm","a4683b",26,0.64,0.64,50,3
"Beauty Bakerie","bb","#1 CAKE MIX","cm","ba7246",23,0.62,0.73,55,3
"Beauty Bakerie","bb","#1 CAKE MIX","cm","a86d46",24,0.58,0.66,52,3
"Beauty Bakerie","bb","#1 CAKE MIX","cm","b47c57",24,0.52,0.71,57,3
"Beauty Bakerie","bb","#1 CAKE MIX","cm","cc9561",29,0.52,0.8,66,3
"Beauty Bakerie","bb","#1 CAKE MIX","cm","d6a878",31,0.44,0.84,72,3
"Beauty Bakerie","bb","#1 CAKE MIX","cm","d0a37f",27,0.39,0.82,71,3
"Beauty Bakerie","bb","#1 CAKE MIX","cm","f1c78e",35,0.41,0.95,83,3
"Beauty Bakerie","bb","#1 CAKE MIX","cm","f2cea2",33,0.33,0.95,85,3
"Beauty Bakerie","bb","#1 CAKE MIX","cm","f5dab6",34,0.26,0.96,89,3
"Beauty Bakerie","bb","#1 CAKE MIX","cm","e9c096",30,0.36,0.91,81,3
"Beauty Bakerie","bb","#1 CAKE MIX","cm","edcbab",29,0.28,0.93,84,3
"Beauty Bakerie","bb","#1 CAKE MIX","cm","f2dac1",31,0.2,0.95,89,3
"Beauty Bakerie","bb","#1 CAKE MIX","cm","f2dbbb",35,0.23,0.95,89,3
"Beauty Bakerie","bb","#1 CAKE MIX","cm","f3dabc",33,0.23,0.95,89,3
"Beauty Bakerie","bb","#1 CAKE MIX","cm","f3dbbc",34,0.23,0.95,89,3
"Beauty Bakerie","bb","#1 CAKE MIX","cm","f6e2c7",34,0.19,0.96,91,3
"Beauty Bakerie","bb","#1 CAKE MIX","cm","f4dfc9",31,0.18,0.96,90,3
"Beauty Bakerie","bb","#1 CAKE MIX","cm","f9ecc5",45,0.21,0.98,94,3
"Beauty Bakerie","bb","#1 CAKE MIX","cm","f9ebcd",41,0.18,0.98,94,3
"Beauty Bakerie","bb","#1 CAKE MIX","cm","f3e2ce",32,0.15,0.95,91,3
"Beauty Bakerie","bb","#1 CAKE MIX","cm","f5e8d7",34,0.12,0.96,93,3
"Black Up","bu","Matifying Fluid","mf","eed1b5",29,0.24,0.93,86,3
"Black Up","bu","Matifying Fluid","mf","daaa80",28,0.41,0.85,73,3
"Black Up","bu","Matifying Fluid","mf","d7a778",30,0.44,0.84,72,3
"Black Up","bu","Matifying Fluid","mf","dfa46f",28,0.5,0.87,72,3
"Black Up","bu","Matifying Fluid","mf","d28f66",23,0.51,0.82,66,3
"Black Up","bu","Matifying Fluid","mf","ad6d41",24,0.62,0.68,52,3
"Black Up","bu","Matifying Fluid","mf","c98c60",25,0.52,0.79,64,3
"Black Up","bu","Matifying Fluid","mf","bf7a43",27,0.65,0.75,58,3
"Black Up","bu","Matifying Fluid","mf","ac734c",24,0.56,0.67,54,3
"Black Up","bu","Matifying Fluid","mf","b97245",23,0.63,0.73,55,3
"Black Up","bu","Matifying Fluid","mf","a0522c",20,0.73,0.63,44,3
"Black Up","bu","Matifying Fluid","mf","9e5a35",21,0.66,0.62,46,3
"Black Up","bu","Matifying Fluid","mf","97472e",14,0.7,0.59,41,3
"Black Up","bu","Matifying Fluid","mf","7e3e2a",14,0.67,0.49,34,3
"Black Up","bu","Matifying Fluid","mf","7b3625",12,0.7,0.48,32,3
"Black Up","bu","Matifying Fluid","mf","653129",8,0.59,0.4,27,3
"Black Up","bu","Matifying Fluid","mf","3b2218",17,0.59,0.23,16,3
"Black Up","bu","Matifying Fluid","mf","352315",26,0.6,0.21,16,3
"Black Opal","bo","True Color","tc","b77d57",24,0.52,0.72,65,3
"Black Opal","bo","True Color","tc","bc835b",25,0.52,0.74,60,3
"Black Opal","bo","True Color","tc","b67753",22,0.54,0.71,56,3
"Black Opal","bo","True Color","tc","b77d53",25,0.55,0.72,58,3
"Black Opal","bo","True Color","tc","7b4e34",22,0.58,0.48,38,3
"Black Opal","bo","True Color","tc","7a523a",23,0.52,0.48,39,3
"Black Opal","bo","True Color","tc","71412d",18,0.6,0.44,33,3
"Black Opal","bo","True Color","tc","81523e",18,0.52,0.51,40,3
"Black Opal","bo","True Color","tc","6a4338",13,0.47,0.42,33,3
"Black Opal","bo","True Color","tc","543022",17,0.6,0.33,24,3
"Black Opal","bo","True Color","tc","5d3e2e",20,0.51,0.36,30,3
"Black Opal","bo","True Color","tc","4c2e22",17,0.55,0.3,23,3
"Laws of Nature","ln","Foxy Finish","ff","a66c4b",22,0.55,0.65,51,3
"Laws of Nature","ln","Foxy Finish","ff","bb8f7f",16,0.32,0.73,63,3
"Laws of Nature","ln","Foxy Finish","ff","dfb9af",12,0.22,0.87,78,3
"Laws of Nature","ln","Foxy Finish","ff","b7743c",27,0.67,0.72,55,3
"Laws of Nature","ln","Foxy Finish","ff","924829",18,0.72,0.57,40,3
"Laws of Nature","ln","Foxy Finish","ff","a37452",25,0.5,0.64,53,3
"Laws of Nature","ln","Foxy Finish","ff","6c4529",25,0.62,0.42,33,3
"Laws of Nature","ln","Foxy Finish","ff","321407",18,0.86,0.2,11,3
"Laws of Nature","ln","Foxy Finish","ff","cc9d72",29,0.44,0.8,68,3
"Laws of Nature","ln","Foxy Finish","ff","a66c49",23,0.56,0.65,51,3
"Laws of Nature","ln","Foxy Finish","ff","be784d",23,0.59,0.75,57,3
"Laws of Nature","ln","Foxy Finish","ff","592d24",10,0.6,0.35,24,3
"Laws of Nature","ln","Foxy Finish","ff","b68e6f",26,0.39,0.71,62,3
"Laws of Nature","ln","Foxy Finish","ff","b19277",28,0.33,0.69,63,3
"Laws of Nature","ln","Foxy Finish","ff","a3724a",27,0.55,0.64,53,3
"Laws of Nature","ln","Foxy Finish","ff","742b13",15,0.84,0.45,29,3
"Laws of Nature","ln","Foxy Finish","ff","deb399",23,0.31,0.87,76,3
"Lancôme","lc","Teint Idole","ti","fdece4",19,0.1,0.99,95,4
"Lancôme","lc","Teint Idole","ti","f4d1ab",31,0.3,0.96,86,4
"Lancôme","lc","Teint Idole","ti","eec1a0",25,0.33,0.93,82,4
"Lancôme","lc","Teint Idole","ti","eac398",31,0.35,0.92,81,4
"Lancôme","lc","Teint Idole","ti","e9be9e",26,0.32,0.91,80,4
"Lancôme","lc","Teint Idole","ti","deba96",30,0.32,0.87,78,4
"Lancôme","lc","Teint Idole","ti","dcb190",26,0.35,0.86,76,4
"Lancôme","lc","Teint Idole","ti","ddb391",27,0.34,0.87,76,4
"Lancôme","lc","Teint Idole","ti","e4ba8c",31,0.39,0.89,78,4
"Lancôme","lc","Teint Idole","ti","e2b78f",29,0.37,0.89,78,4
"Lancôme","lc","Teint Idole","ti","e5b189",26,0.4,0.9,76,4
"Lancôme","lc","Teint Idole","ti","f3c796",32,0.38,0.95,83,4
"Lancôme","lc","Teint Idole","ti","f3bf90",28,0.41,0.95,81,4
"Lancôme","lc","Teint Idole","ti","e1af8c",25,0.38,0.88,76,4
"Lancôme","lc","Teint Idole","ti","ddb184",30,0.4,0.87,75,4
"Lancôme","lc","Teint Idole","ti","dca77d",27,0.43,0.86,73,4
"Lancôme","lc","Teint Idole","ti","d6a77d",28,0.42,0.84,72,4
"Lancôme","lc","Teint Idole","ti","d7a17f",23,0.41,0.84,71,4
"Lancôme","lc","Teint Idole","ti","d7a17d",24,0.42,0.84,71,4
"Lancôme","lc","Teint Idole","ti","dda876",29,0.47,0.87,73,4
"Lancôme","lc","Teint Idole","ti","e39f72",24,0.5,0.89,72,4
"Lancôme","lc","Teint Idole","ti","cf9162",26,0.53,0.81,66,4
"Lancôme","lc","Teint Idole","ti","e0a16b",28,0.52,0.88,72,4
"Lancôme","lc","Teint Idole","ti","d0975d",30,0.55,0.82,67,4
"Lancôme","lc","Teint Idole","ti","d29e6d",29,0.48,0.82,69,4
"Lancôme","lc","Teint Idole","ti","c9925e",29,0.53,0.79,65,4
"Lancôme","lc","Teint Idole","ti","ce8c5c",25,0.55,0.81,64,4
"Lancôme","lc","Teint Idole","ti","bb7e44",29,0.64,0.73,58,4
"Lancôme","lc","Teint Idole","ti","ce9163",26,0.52,0.81,66,4
"Lancôme","lc","Teint Idole","ti","bd7f56",24,0.54,0.74,59,4
"Lancôme","lc","Teint Idole","ti","935427",25,0.73,0.58,43,4
"Lancôme","lc","Teint Idole","ti","bc7c56",22,0.54,0.74,58,4
"Lancôme","lc","Teint Idole","ti","aa6941",23,0.62,0.67,51,4
"Lancôme","lc","Teint Idole","ti","9b5e41",19,0.58,0.61,46,4
"Lancôme","lc","Teint Idole","ti","8a4d30",19,0.65,0.54,40,4
"Lancôme","lc","Teint Idole","ti","7b3c11",24,0.86,0.48,33,4
"Lancôme","lc","Teint Idole","ti","703e23",21,0.69,0.44,32,4
"Lancôme","lc","Teint Idole","ti","502716",18,0.73,0.31,21,4
"Lancôme","lc","Teint Idole","ti","7c3f2c",14,0.65,0.49,34,4
"Lancôme","lc","Teint Idole","ti","391b11",15,0.7,0.22,14,4
"MAC","ma","Studio Fix","sff","d8b593",30,0.32,0.85,76,4
"MAC","ma","Studio Fix","sff","fbbe91",25,0.42,0.98,82,4
"MAC","ma","Studio Fix","sff","d2ae88",31,0.35,0.82,74,4
"MAC","ma","Studio Fix","sff","d0a87f",30,0.39,0.82,72,4
"MAC","ma","Studio Fix","sff","d79051",28,0.62,0.84,66,4
"MAC","ma","Studio Fix","sff","ffdbc2",25,0.24,1,90,4
"MAC","ma","Studio Fix","sff","ffc9a9",22,0.34,1,85,4
"MAC","ma","Studio Fix","sff","ffd7b4",28,0.29,1,89,4
"MAC","ma","Studio Fix","sff","dfc7a8",34,0.25,0.87,82,4
"MAC","ma","Studio Fix","sff","dabc96",34,0.31,0.85,78,4
"MAC","ma","Studio Fix","sff","d9b88f",33,0.34,0.85,77,4
"MAC","ma","Studio Fix","sff","d4b588",36,0.36,0.83,76,4
"MAC","ma","Studio Fix","sff","d0ae84",33,0.37,0.82,73,4
"MAC","ma","Studio Fix","sff","d3b18a",32,0.35,0.83,75,4
"MAC","ma","Studio Fix","sff","d1ac7f",33,0.39,0.82,73,4
"MAC","ma","Studio Fix","sff","d0a97b",32,0.41,0.82,72,4
