,headline_no_site,site,time,country,bias
1938,Girl trapped in burning shack,iol.co.za,2014-04-15 07:00:00+00:00,South Africa,0.16666666666666666
1988,Doctor's nightmare walk with her dogs,iol.co.za,2015-07-11 07:00:00+00:00,South Africa,0.16666666666666666
1538,Organs of girl hit by car will save lives,iol.co.za,2015-09-22 07:00:00+00:00,South Africa,0.16666666666666666
1992,Muthambi defends her legal advisor,iol.co.za,2015-07-28 07:00:00+00:00,South Africa,0.16666666666666666
1756,Spousal visa delay gets mother banned,iol.co.za,2015-12-29 08:00:00+00:00,South Africa,0.16666666666666666
2178,Magician accused of burying woman under house,iol.co.za,2016-05-04 07:00:00+00:00,South Africa,0.16666666666666666
2187,Savita will never forget love of her life,iol.co.za,2016-05-15 07:00:00+00:00,South Africa,0.16666666666666666
2154,Mother Nature gets a starring role,iol.co.za,2016-09-30 07:00:00+00:00,South Africa,0.16666666666666666
2303,Why women cheat more in summer,iol.co.za,2016-08-05 07:00:00+00:00,South Africa,0.16666666666666666
988,Public protector targeted for 'destroying independence of her office',iol.co.za,2017-09-12 07:00:00+00:00,South Africa,0.16666666666666666
2421,Chef Nti reveals her Top 5 food trends along with two of her favourite recipes.,iol.co.za,2017-06-08 07:00:00+00:00,South Africa,0.16666666666666666
1279,Meet Stellies first female Dean of Economic & Management Science,iol.co.za,2017-11-17 08:00:00+00:00,South Africa,0.16666666666666666
990,KZN elects first ever female deputy chair of provincial house of traditional healers,iol.co.za,2017-09-16 07:00:00+00:00,South Africa,0.16666666666666666
452,Shania Twain says having surgery to treat Lyme disease has changed her voice forever,iol.co.za,2018-06-25 07:00:00+00:00,South Africa,0.16666666666666666
1318,Kim Kardashian West is launching her first mascara,iol.co.za,2018-11-21 08:00:00+00:00,South Africa,0.16666666666666666
72,Should female cricketers play with shorter boundaries?,iol.co.za,2018-02-20 08:00:00+00:00,South Africa,0.16666666666666666
253,Empower women and men to deal with domestic violence,iol.co.za,2018-03-22 07:00:00+00:00,South Africa,0.16666666666666666
116,Women will fail in the workplace unless SA businesses act,iol.co.za,2019-02-07 08:00:00+00:00,South Africa,0.16666666666666666
1457,Taylor Swift can't shake off copyright suit over her 2014 hit,iol.co.za,2019-11-02 07:00:00+00:00,South Africa,0.16666666666666666
1130,Woman who finished matric at age 43 is now qualified electrical engineer at 64,iol.co.za,2019-10-23 07:00:00+00:00,South Africa,0.16666666666666666
328,Drug courier executed because she 'smoked stash meant for prison',iol.co.za,2019-03-14 07:00:00+00:00,South Africa,0.16666666666666666
298356,Demi Lovato stayed in a R42k a night 'invisible house' with her boyfriend,iol.co.za,2020-06-17 07:00:00+00:00,South Africa,0.16666666666666666
298257,Pretoria North magistrate punished for her misconduct,iol.co.za,2020-03-15 07:00:00+00:00,South Africa,0.16666666666666666
298538,Woman decapitated in knife attack in Nice,iol.co.za,2020-10-29 07:00:00+00:00,South Africa,0.16666666666666666
298204,Durban woman apologises after racial slur video goes viral,iol.co.za,2020-03-30 07:00:00+00:00,South Africa,0.16666666666666666
298906,(IOL) Zodwa Wabantu opens her own mortuary,iol.co.za,2021-06-02 11:52:12+00:00,South Africa,0.16666666666666666
298792,Nthabeleng Likotsi set to be first woman to own a mutual bank in SA,iol.co.za,2021-03-26 07:00:00+00:00,South Africa,0.16666666666666666
298916,Lady Gaga delays 'Chromatica Ball' world tour until 2022,iol.co.za,2021-06-04 19:04:55+00:00,South Africa,0.16666666666666666
298936,"DJ Maphorisa says that dating 'broke' women is 'toxic' By Jamal Grootboom May 19, 2021",iol.co.za,2021-05-19 07:00:00+00:00,South Africa,0.16666666666666666
3094,How One Woman Built a $400 Million Trucking Business,msn.com,2010-03-23 07:00:00+00:00,India,0.16666666666666666
3097,"40 years after death of her son Santos Rodriguez, Dallas mayor’s apology surprises his mother",msn.com,2013-09-21 07:00:00+00:00,India,0.3333333333333333
3095,Survey Says Most Women Aren't Impressed by Your Exotic   Motor Trend,msn.com,2014-04-24 07:00:00+00:00,India,0.16666666666666666
3450,Rebecca Solnit: A 'breakthrough' in tackling violence against women,msn.com,2014-06-14 07:00:00+00:00,India,0.16666666666666666
3451,Celebrity Drive: 'Real Housewives' Star Lisa Hochstein And Her Ferrari,msn.com,2014-06-13 07:00:00+00:00,India,0.16666666666666666
3453,Inuk woman takes liquor store refusal to human rights commission,msn.com,2014-05-07 07:00:00+00:00,India,0.16666666666666666
3701,Prince Harry Has an Adorable 'Cinderella' Moment With Little Girl,msn.com,2015-05-15 07:00:00+00:00,India,0.16666666666666666
3458,This Little Girl Just Proved Hanging Out With Dogs Always Beats Hanging Out With People,msn.com,2015-09-09 07:00:00+00:00,India,0.16666666666666666
3293,Lady Gaga Gets a Pony for Christmas | Hollywood Reporter,msn.com,2015-12-22 08:00:00+00:00,India,0.16666666666666666
3457,A retired American teacher found out that her house was designed by Frank Lloyd Wright,msn.com,2015-10-08 07:00:00+00:00,India,0.16666666666666666
3469,Woman with Down syndrome slapped with $223 fine for not topping up myki card,msn.com,2016-05-04 07:00:00+00:00,India,0.16666666666666666
3128,Woman deported after trying to take cat on holiday to New Zealand,msn.com,2016-12-22 08:00:00+00:00,India,0.16666666666666666
3048,Equity's Female Driven Wall Street Movie Forges a New Model,msn.com,2016-07-28 07:00:00+00:00,India,0.16666666666666666
3054,Muslim Woman Fired For Wearing Hijab in US,msn.com,2016-08-07 07:00:00+00:00,India,0.16666666666666666
3075,"'He was crying because he was so cold, so miserable': TD cries as she tells story of young homeless man",msn.com,2017-12-15 08:00:00+00:00,India,0.16666666666666666
3251,Service Dogs Reunited with Soldiers Thanks to this Woman,msn.com,2017-08-05 07:00:00+00:00,India,0.16666666666666666
3116,Newcastle woman lucky to be alive after dream holiday turns disastrous,msn.com,2017-02-13 08:00:00+00:00,India,0.16666666666666666
3164,Police rescue woman from sinking car after it plunged into the Georges River,msn.com,2017-10-15 07:00:00+00:00,India,0.16666666666666666
2789,Kylie Jenner Calls Travis Scott Her 'Hubby' During His 'SNL' Performance,msn.com,2018-10-07 07:00:00+00:00,India,0.16666666666666666
3362,Mum’s heartbreaking account of her 1.5st four year old daughter’s final moments,msn.com,2018-04-18 07:00:00+00:00,India,0.16666666666666666
3546,Judges: Crystal Rogers’ son no longer allowed to see his grandmother,msn.com,2018-11-02 07:00:00+00:00,India,0.16666666666666666
3501,Drunk woman 'napping' on busy main road avoids being run over by inches in jaw dropping dashcam footage,msn.com,2018-06-06 07:00:00+00:00,India,0.16666666666666666
2485,Deltona Girl Scouts deliver 74 boxes of cookies to children's home thanks to kind man's donation,msn.com,2019-03-02 08:00:00+00:00,India,0.16666666666666666
3025,Lili Reinhart Opens Up About Her Struggle With Depression and Body Dysmorphia,msn.com,2019-11-15 08:00:00+00:00,India,0.16666666666666666
2886,Barry Writer Emily Heller Lets Twitter Dress Her For the 2019 Emmys,msn.com,2019-09-22 07:00:00+00:00,India,0.16666666666666666
2938,Gwyneth Paltrow Reacts to Her Emmys Walk Going Viral: 'I Don't Totally Get It',msn.com,2019-09-26 07:00:00+00:00,India,0.16666666666666666
299333,‘Strength is our motto’ for 5th annual 100 Women of Color Gala,msn.com,2020-08-27 07:00:00+00:00,India,0.16666666666666666
299137,"Bevo’s Daily Roundup: Texas men, women diving and swimming teams win Big 12 titles",msn.com,2020-03-02 08:00:00+00:00,India,0.16666666666666666
299360,How Eyricka Lanvin Became the Mother of All Mothers,msn.com,2020-07-09 07:00:00+00:00,India,0.16666666666666666
299121,Pulaski County mother donates face masks to essential workers,msn.com,2020-04-28 07:00:00+00:00,India,0.16666666666666666
299851,"2 Dead, Pregnant Woman and 5 Kids Hospitalized After Fiery Crash in NW Miami Dade",msn.com,2021-06-04 18:42:09+00:00,India,0.16666666666666666
299630,Kamala Harris Makes History as First Female Vice President,msn.com,2021-01-20 08:00:00+00:00,India,0.16666666666666666
299664,Man who kidnapped Davidson County teen talked to her on school computer,msn.com,2021-02-23 08:00:00+00:00,India,0.16666666666666666
299860,"13 year old girl pleads guilty to murdering UberEats driver during Washington, DC, carjacking",msn.com,2021-06-03 21:59:41+00:00,India,0.16666666666666666
4437,Angelina Jolie uses her kids instead of drugs,News24.com,2010-08-11 07:00:00+00:00,South Africa,0.16666666666666666
4840,Giraffe kicks woman to death,News24.com,2010-05-12 07:00:00+00:00,South Africa,0.16666666666666666
4841,Benni axed over women,News24.com,2010-06-06 07:00:00+00:00,South Africa,0.16666666666666666
4495,Lightning kills Pretoria woman,News24.com,2010-10-25 07:00:00+00:00,South Africa,0.16666666666666666
4689,Girl saw Mamasela shoot landlord,News24.com,2011-03-22 07:00:00+00:00,South Africa,0.16666666666666666
4856,SA woman executed in China,News24.com,2011-12-12 08:00:00+00:00,South Africa,0.16666666666666666
4858,Two women attacked in KZN hotels,News24.com,2011-11-21 08:00:00+00:00,South Africa,0.16666666666666666
4855,SA woman spared jail for mid air grope,News24.com,2011-11-29 08:00:00+00:00,South Africa,0.16666666666666666
5240,Sperm hunting women prowl Zim highways,News24.com,2012-03-22 07:00:00+00:00,South Africa,0.16666666666666666
5243,Croc kills woman at St Lucia Estuary,News24.com,2012-04-03 07:00:00+00:00,South Africa,0.16666666666666666
5242,Woman arrested for racist gym outburst,News24.com,2012-03-09 08:00:00+00:00,South Africa,0.16666666666666666
4831,Woman tells of rape by ANC MP,News24.com,2012-02-19 08:00:00+00:00,South Africa,0.16666666666666666
5004,Zuma: Venda women show respect,News24.com,2013-12-20 08:00:00+00:00,South Africa,0.16666666666666666
5005,Famous psychic failed to predict her own death.,News24.com,2013-11-22 08:00:00+00:00,South Africa,0.16666666666666666
4854,Cops nab women linked to rhino poaching,News24.com,2013-10-30 07:00:00+00:00,South Africa,0.16666666666666666
4493,Soweto snake woman on charm offensive,News24.com,2013-05-27 07:00:00+00:00,South Africa,0.16666666666666666
4996,Shark kills woman off Australian east coast,News24.com,2014-04-03 07:00:00+00:00,South Africa,0.16666666666666666
4993,Woman found dead near Joburg school,News24.com,2014-04-02 07:00:00+00:00,South Africa,0.16666666666666666
5001,Muslim woman sees eviction case dismissed,News24.com,2014-08-29 07:00:00+00:00,South Africa,0.16666666666666666
4847,Woman finds disturbing looking creature on Cape beach,News24.com,2014-05-02 07:00:00+00:00,South Africa,0.16666666666666666
4480,MEC reaches out to family of murdered woman,News24.com,2015-09-10 07:00:00+00:00,South Africa,0.16666666666666666
4442,Woman reunited with family after disappearing 31 years ago,News24.com,2015-12-16 08:00:00+00:00,South Africa,0.16666666666666666
4454,Female suicide bombers kill 5 in Cameroon attack,News24.com,2015-11-21 08:00:00+00:00,South Africa,0.16666666666666666
4504,My brother is a strong man   Tutu's sister,News24.com,2015-08-06 07:00:00+00:00,South Africa,0.16666666666666666
4659,"Dream come true for KZN woman,105, as she gets new home",News24.com,2016-07-06 07:00:00+00:00,South Africa,0.16666666666666666
4588,It is a lie...that I beat her head in with a cricket bat   Oscar Pistorius,News24.com,2016-06-25 07:00:00+00:00,South Africa,0.16666666666666666
4553,DRC president's sister named in Panama Papers,News24.com,2016-04-04 07:00:00+00:00,South Africa,0.16666666666666666
4608,'It's just the facts'   Penny Sparrow breaks her silence,News24.com,2016-01-04 08:00:00+00:00,South Africa,0.16666666666666666
5320,Women sentenced for murder and fraud,News24.com,2017-11-22 08:00:00+00:00,South Africa,0.16666666666666666
4976,St Anne’s Old Girl bestowed excellence award,News24.com,2017-05-17 07:00:00+00:00,South Africa,0.16666666666666666
5119,Obama's grandmother Sarah 'to retain state protection',News24.com,2017-01-23 08:00:00+00:00,South Africa,0.16666666666666666
5076,Woman in court for beating police officer to death in police cell,News24.com,2017-09-04 07:00:00+00:00,South Africa,0.16666666666666666
5509,"Man found guilty of murdering Baby Daniel, mother guilty of child neglect",News24.com,2018-12-20 08:00:00+00:00,South Africa,0.16666666666666666
5645,Woman shot dead on Mother’s Day,News24.com,2018-05-23 07:00:00+00:00,South Africa,0.16666666666666666
4156,SA student nabbed after US dollars worth almost R10m found in her hand luggage,News24.com,2018-09-13 07:00:00+00:00,South Africa,0.16666666666666666
3944,Women in the EFF not ‘roses of the revolution’,News24.com,2018-07-29 07:00:00+00:00,South Africa,0.16666666666666666
3827,Bachelor SA contestant traumatised after Uber driver 'holds her for ransom' in Istanbul,News24.com,2019-06-27 07:00:00+00:00,South Africa,0.16666666666666666
5231,#StateCaptureInquiry: Vytjie Mentor questions her role as a witness,News24.com,2019-02-12 08:00:00+00:00,South Africa,0.16666666666666666
4245,"Kidnapped Grade R girl found, reunited with family",News24.com,2019-09-03 07:00:00+00:00,South Africa,0.16666666666666666
4365,Job ad offering 'free' fishing holiday to woman who will 'cook and clean' was a 'massive prank',News24.com,2019-11-14 08:00:00+00:00,South Africa,0.16666666666666666
300098,'I am not ashamed of my child'   Stella murderer Xander Bylsma's mother,News24.com,2020-08-11 07:00:00+00:00,South Africa,0.16666666666666666
299982,Stellenbosch police seeking fraud victims of alleged criminal casanova who targeted wealthy women,News24.com,2020-01-24 08:00:00+00:00,South Africa,0.16666666666666666
300045,"PIC | William Booth attempted hit: 5 men, 2 women arrested in late night Cape Town bust",News24.com,2020-05-07 07:00:00+00:00,South Africa,0.16666666666666666
300255,Momentum remain committed to Proteas Women despite ending CSA sponsorship,News24.com,2020-09-15 07:00:00+00:00,South Africa,0.16666666666666666
300718,Angelina Jolie takes her battle against Brad Pitt to the next level as he claims victory in custody for the kids | You,News24.com,2021-06-04 09:12:07+00:00,South Africa,0.16666666666666666
300587,Naspers's South Africa CEO on improving representation of women in the tech sector,News24.com,2021-04-01 07:00:00+00:00,South Africa,0.16666666666666666
300550,SANDF allows headscarves for Muslim women as part of uniform,News24.com,2021-01-29 08:00:00+00:00,South Africa,0.16666666666666666
300715,Lady Gaga opens up about rape and pregnancy by producer at 19,News24.com,2021-05-21 07:00:00+00:00,South Africa,0.16666666666666666
6192,Bam finally drops her own album,Sowetanlive.co.za,2010-09-16 07:00:00+00:00,South Africa,0.16666666666666666
6216,"Usher finds intelligent women 'very, very sexy'",Sowetanlive.co.za,2010-11-15 08:00:00+00:00,South Africa,0.16666666666666666
6193,Celine Dion has named one of her twin boys after Nelson Mandela,Sowetanlive.co.za,2010-10-29 07:00:00+00:00,South Africa,0.16666666666666666
6416,Two tiniest women on a mission,Sowetanlive.co.za,2010-08-13 07:00:00+00:00,South Africa,0.16666666666666666
6983,Mother arrested for poisoning child,Sowetanlive.co.za,2011-05-25 07:00:00+00:00,South Africa,0.16666666666666666
6232,"Woman testifies about assault, rape",Sowetanlive.co.za,2011-02-09 08:00:00+00:00,South Africa,0.16666666666666666
6238,Nonhle to display her many faces,Sowetanlive.co.za,2011-01-19 08:00:00+00:00,South Africa,0.16666666666666666
6226,91 year old is accused of raping girl (11),Sowetanlive.co.za,2011-02-22 08:00:00+00:00,South Africa,0.16666666666666666
6341,Pabi Moloi spreads her wings,Sowetanlive.co.za,2012-08-06 07:00:00+00:00,South Africa,0.16666666666666666
6351,Young mother brutally beaten,Sowetanlive.co.za,2012-08-30 07:00:00+00:00,South Africa,0.16666666666666666
6142,Khanyi doing it for herself with new 'quiet' look,Sowetanlive.co.za,2012-05-14 07:00:00+00:00,South Africa,0.16666666666666666
6319,Rebecca Malope speaks about her love,Sowetanlive.co.za,2012-02-22 08:00:00+00:00,South Africa,0.16666666666666666
6239,Lady Gaga has gold wheelchair,Sowetanlive.co.za,2013-03-14 07:00:00+00:00,South Africa,0.16666666666666666
6242,Selena Gomez wants her footage with Bieber removed,Sowetanlive.co.za,2013-04-04 07:00:00+00:00,South Africa,0.16666666666666666
6096,Young designer makes her mark,Sowetanlive.co.za,2013-01-29 08:00:00+00:00,South Africa,0.16666666666666666
6094,SABC hounds dead woman for licence fees: report,Sowetanlive.co.za,2013-01-30 08:00:00+00:00,South Africa,0.16666666666666666
6123,Helping Hand women unify communities,Sowetanlive.co.za,2014-09-06 07:00:00+00:00,South Africa,0.16666666666666666
6355,Zoleka Mandela welcomes baby girl,Sowetanlive.co.za,2014-04-04 07:00:00+00:00,South Africa,0.16666666666666666
6126,'Scary' girl raped at school and will not be able to testify,Sowetanlive.co.za,2014-09-20 07:00:00+00:00,South Africa,0.16666666666666666
6356,Kelly Khumalo gives birth to baby girl,Sowetanlive.co.za,2014-03-24 07:00:00+00:00,South Africa,0.16666666666666666
6171,Angelina Jolie opens centre for women in warzones,Sowetanlive.co.za,2015-02-12 08:00:00+00:00,South Africa,0.16666666666666666
6434,Zim women should be free to wear minis: VP,Sowetanlive.co.za,2015-03-18 07:00:00+00:00,South Africa,0.16666666666666666
6175,Singer Tina Mkwaiwa mourns the loss of her husband,Sowetanlive.co.za,2015-02-02 08:00:00+00:00,South Africa,0.16666666666666666
6264,Manqele claims she was to marry Flabba,Sowetanlive.co.za,2015-09-17 07:00:00+00:00,South Africa,0.16666666666666666
7128,Terry Pheto joins leading ladies at international awards ceremony,Sowetanlive.co.za,2016-12-04 08:00:00+00:00,South Africa,0.16666666666666666
6187,"""These things happen"", Tina Jaxa on her dating a Ben10",Sowetanlive.co.za,2016-04-18 07:00:00+00:00,South Africa,0.16666666666666666
6188,Pearl Modiadie lets us in on her wedding plans,Sowetanlive.co.za,2016-04-20 07:00:00+00:00,South Africa,0.16666666666666666
6424,Terry Pheto opens up about her relationship with DJ Sbu,Sowetanlive.co.za,2016-09-24 07:00:00+00:00,South Africa,0.16666666666666666
6112,White DJ The Duchaz lambasted on twitter for defining herself as black,Sowetanlive.co.za,2017-02-08 08:00:00+00:00,South Africa,0.16666666666666666
6390,WATCH: Zodwa Wabantu's slams 'parasites' for using her name to score points,Sowetanlive.co.za,2017-11-03 07:00:00+00:00,South Africa,0.16666666666666666
6281,'Stop this evil': Soccer clubs and fans urged to help women and children facing abuse,Sowetanlive.co.za,2017-05-18 07:00:00+00:00,South Africa,0.16666666666666666
6289,DA’s Mbali Ntuli wants to 'present the whole case' at her social media disciplinary hearing,Sowetanlive.co.za,2017-06-01 07:00:00+00:00,South Africa,0.16666666666666666
6549,"'Goodnight my son, goodnight'   A final letter from mother to son HHP",Sowetanlive.co.za,2018-11-03 07:00:00+00:00,South Africa,0.16666666666666666
6572,Sygnia CEO Magda Wierzycka laughs off extortion charge laid against her,Sowetanlive.co.za,2018-12-11 08:00:00+00:00,South Africa,0.16666666666666666
6689,Winnie's grandson lashes out at her critics for behaving like ‘ungrateful children’,Sowetanlive.co.za,2018-04-11 07:00:00+00:00,South Africa,0.16666666666666666
5822,"Dr. Precious Moloi Motsepe writes for us: ""Empowering women must include men""",Sowetanlive.co.za,2018-08-21 07:00:00+00:00,South Africa,0.16666666666666666
7068,"Ann Malinga remembers her late husband & music legend, Robbie",Sowetanlive.co.za,2019-12-27 08:00:00+00:00,South Africa,0.16666666666666666
5765,Women shaking up boxing,Sowetanlive.co.za,2019-05-07 07:00:00+00:00,South Africa,0.16666666666666666
6053,17 year old girl latest victim of femicide by lover,Sowetanlive.co.za,2019-09-11 07:00:00+00:00,South Africa,0.16666666666666666
6636,Why are black feminists not protecting poor women from charlatan prophets?,Sowetanlive.co.za,2019-02-06 08:00:00+00:00,South Africa,0.16666666666666666
300992,Charge dropped against woman who 'pointed gun' at EFF protesters,Sowetanlive.co.za,2020-11-06 08:00:00+00:00,South Africa,0.16666666666666666
300818,Enoch Mpianzi's mother breaks down after gaining entry into lodge where he drowned,Sowetanlive.co.za,2020-01-21 08:00:00+00:00,South Africa,0.16666666666666666
300796,Cape Town elderly woman nabbed after drugs found in ceiling,Sowetanlive.co.za,2020-01-18 08:00:00+00:00,South Africa,0.16666666666666666
300917,"Dorah Sitole on embracing African food, why she loves 'gutsy' new foodies",Sowetanlive.co.za,2020-10-21 07:00:00+00:00,South Africa,0.16666666666666666
301393,Girl saved from open sewage drain,Sowetanlive.co.za,2021-02-22 08:00:00+00:00,South Africa,0.16666666666666666
301374,ANC's Jacqui Mofokeng dies a day after her daughter's death,Sowetanlive.co.za,2021-04-22 07:00:00+00:00,South Africa,0.16666666666666666
301327,Eastern Cape woman stabs husband to death during argument,Sowetanlive.co.za,2021-03-22 07:00:00+00:00,South Africa,0.16666666666666666
301363,Advocate speaks of defending nurse who injected her 4 year old stepson with HIV,Sowetanlive.co.za,2021-04-22 07:00:00+00:00,South Africa,0.16666666666666666
8758,Hear about the girl and the racehorse?,Timeslive.co.za,2010-10-29 07:00:00+00:00,South Africa,0.16666666666666666
9193,Few women judges worry JSC,Timeslive.co.za,2011-10-25 07:00:00+00:00,South Africa,0.16666666666666666
9194,Prinsloo adds two medals to her Games tally,Timeslive.co.za,2011-09-08 07:00:00+00:00,South Africa,0.16666666666666666
9148,Police still searching for Durban girl,Timeslive.co.za,2011-12-01 08:00:00+00:00,South Africa,0.16666666666666666
8678,Vogue causes a stir with cover girl aged 10,Timeslive.co.za,2011-08-22 07:00:00+00:00,South Africa,0.16666666666666666
8636,Brother turns on sister,Timeslive.co.za,2012-03-07 08:00:00+00:00,South Africa,0.16666666666666666
8661,Shauwn Mpisane wants her fraud trial to proceed,Timeslive.co.za,2012-10-23 07:00:00+00:00,South Africa,0.16666666666666666
8637,Lulu Dikana stands by her special sound,Timeslive.co.za,2012-03-30 07:00:00+00:00,South Africa,0.16666666666666666
9131,Sanef concerned at Lady Gaga picture ban,Timeslive.co.za,2012-11-29 08:00:00+00:00,South Africa,0.16666666666666666
9030,Chanelle killer: Her husband made me do it,Timeslive.co.za,2013-12-06 08:00:00+00:00,South Africa,0.16666666666666666
9139,Teen has the world of books at her pencil tips,Timeslive.co.za,2013-09-13 07:00:00+00:00,South Africa,0.16666666666666666
9023,Luxury Middle Eastern hotel opens women only floor,Timeslive.co.za,2013-06-05 07:00:00+00:00,South Africa,0.16666666666666666
9179,Women suspected of sorcery beheaded in Papua New Guinea,Timeslive.co.za,2013-04-08 07:00:00+00:00,South Africa,0.16666666666666666
8668,Qualified to teach    but can she run SAA?,Timeslive.co.za,2014-11-06 08:00:00+00:00,South Africa,0.16666666666666666
9025,SA women top boozers,Timeslive.co.za,2014-05-06 07:00:00+00:00,South Africa,0.16666666666666666
8695,Boity finds being an It girl a drag,Timeslive.co.za,2014-07-16 07:00:00+00:00,South Africa,0.16666666666666666
8696,Springbok women switch into World Cup mode,Timeslive.co.za,2014-07-29 07:00:00+00:00,South Africa,0.16666666666666666
8732,"Eastern Cape mother, farmer plead guilty to string of child prostitution charges",Timeslive.co.za,2015-05-07 07:00:00+00:00,South Africa,0.16666666666666666
8759,Why are South African women buying 'punani fruit' for their vaginas?,Timeslive.co.za,2015-12-17 08:00:00+00:00,South Africa,0.16666666666666666
9185,Zephany calls her 'Mommy',Timeslive.co.za,2015-03-12 07:00:00+00:00,South Africa,0.16666666666666666
8760,Zimbabwean female pilots make history,Timeslive.co.za,2015-11-16 08:00:00+00:00,South Africa,0.16666666666666666
8925,Listen: Cassper teams up with Sister Bettina hitmaker,Timeslive.co.za,2016-09-09 07:00:00+00:00,South Africa,0.16666666666666666
8782,Grade 3 Free State pupil dies after teacher assaults her with hose pipe,Timeslive.co.za,2016-02-18 08:00:00+00:00,South Africa,0.16666666666666666
8929,HOT! Lorna Maseko shows off her bikini body,Timeslive.co.za,2016-10-01 07:00:00+00:00,South Africa,0.16666666666666666
8741,Nicki Minaj shares her love of South Africa on Instagram,Timeslive.co.za,2016-03-19 07:00:00+00:00,South Africa,0.16666666666666666
8397,Mahlangu's security upgrades to her private home paid for by government,Timeslive.co.za,2017-11-09 08:00:00+00:00,South Africa,0.16666666666666666
8948,No arrests after woman mutilated and killed in Pietermaritzburg,Timeslive.co.za,2017-02-07 08:00:00+00:00,South Africa,0.16666666666666666
8405,Mshoza praises her man for not 'using his fists' to change her,Timeslive.co.za,2017-11-24 08:00:00+00:00,South Africa,0.16666666666666666
8101,Acting judge refuses to recuse herself in Manyi's defamation case,Timeslive.co.za,2017-09-13 07:00:00+00:00,South Africa,0.16666666666666666
8510,WATCH | This is how Yanga's family celebrated after her Idols SA win,Timeslive.co.za,2018-11-19 08:00:00+00:00,South Africa,0.16666666666666666
7538,"Mantsoe trial proves women bashers will be punished, say top cop and ANC",Timeslive.co.za,2018-05-04 07:00:00+00:00,South Africa,0.16666666666666666
7621,SA Under 17 Women learn FIFA World Cup fate,Timeslive.co.za,2018-05-31 07:00:00+00:00,South Africa,0.16666666666666666
8179,Police search for family of murdered woman,Timeslive.co.za,2018-10-18 07:00:00+00:00,South Africa,0.16666666666666666
7979,"Yes, a young girl can lead the country   a Q&A with Mapule Mohulatsi, author of 'Mizz President'",Timeslive.co.za,2019-07-23 07:00:00+00:00,South Africa,0.16666666666666666
8001,Four alleged gang members arrested for murder of pregnant woman in Manenberg,Timeslive.co.za,2019-08-10 07:00:00+00:00,South Africa,0.16666666666666666
7698,Durban transport mogul's daughter 'kidnapped' after being 'forced off the road',Timeslive.co.za,2019-05-31 07:00:00+00:00,South Africa,0.16666666666666666
8291,Patricia de Lille's sister resigns from ministry job amid nepotism claims,Timeslive.co.za,2019-09-30 07:00:00+00:00,South Africa,0.16666666666666666
302009,"GBV: Another young woman killed in Eastern Cape, suspect hands himself over",Timeslive.co.za,2020-09-07 07:00:00+00:00,South Africa,0.16666666666666666
301956,"EFF stops protests, Clicks to award scholarships to black female students",Timeslive.co.za,2020-09-10 07:00:00+00:00,South Africa,0.16666666666666666
301969,Durban woman stabbed and robbed on N2 highway,Timeslive.co.za,2020-10-30 07:00:00+00:00,South Africa,0.16666666666666666
301561,Aggett’s sister turns away in tears as his death is re enacted,Timeslive.co.za,2020-01-22 08:00:00+00:00,South Africa,0.16666666666666666
