"artist","song","sentence","highestRank","year","nonPerson","name"
"Cassidy Featuring R. Kelly","Hotel","We the new Cartel, R.Kel and the kid Cassidy","4","2003",NA,"Cassidy"
"Cassidy Featuring R. Kelly","Hotel","We 'bout to do the damn thing, sing to 'em Kelly.","4","2003",NA,"Kelly"
"Cat Stevens","Morning Has Broken","Born of the one light Eden saw play","6","1972",NA,"Eden"
"Cat Stevens","Wild World","Baby, I'm grieving","11","1971",NA,"Baby"
"Cat Stevens","Wild World","Baby I love you","11","1971",NA,"Baby"
"CeCe Peniston","Keep On Walkin","Baby we are through","15","1992",NA,"Baby"
"CeCe Peniston","Movin' On","Baby I'm movin' on","83","1996",NA,"Baby"
"CeCe Peniston","Movin' On","Baby I'm movin' on","83","1996",NA,"Baby"
"CeCe Peniston","Movin' On","Baby I'm movin' on","83","1996",NA,"Baby"
"CeCe Peniston","Movin' On","Baby I'm movin' on, yeah","83","1996",NA,"Baby"
"CeCe Peniston","Movin' On","Baby I'm movin' on","83","1996",NA,"Baby"
"CeCe Peniston","Movin' On","Baby I'm movin' on, yeah","83","1996",NA,"Baby"
"CeCe Peniston","Movin' On","Baby I'm movin' on","83","1996",NA,"Baby"
"CeCe Peniston","Movin' On","Baby I'm movin' on","83","1996",NA,"Baby"
"CeCe Peniston","Movin' On","Baby I'm movin' on","83","1996",NA,"Baby"
"CeCe Peniston","Movin' On","Baby I'm movin' on","83","1996",NA,"Baby"
"Celine Dion","It's All Coming Back To Me Now","Baby, baby, baby","9","1997",NA,"Baby"
"Celine Dion","Nothing Broken But My Heart","Baby you'll see that","29","1992",NA,"Baby"
"Celine Dion","Nothing Broken But My Heart","Baby you'll see that","29","1992",NA,"Baby"
"Celine Dion","Nothing Broken But My Heart","Baby you'll see that","29","1992",NA,"Baby"
"Celine Dion","Nothing Broken But My Heart","Baby, you might think my world's been torn apart","29","1992",NA,"Baby"
"Celine Dion","That's The Way It Is","Baby don't worry","6","1999",NA,"Baby"
"Celine Dion","Think Twice","Baby think twice","95","1994",NA,"Baby"
"Celine Dion","Think Twice","Baby think twice for the sake of our love, for the memory","95","1994",NA,"Baby"
"Celine Dion","Think Twice","Baby i know it ain't easy when your soul cries out for a higher ground","95","1994",NA,"Baby"
"Celine Dion","Think Twice","Baby think twice","95","1994",NA,"Baby"
"Celine Dion","Think Twice","Baby this is serious","95","1994",NA,"Baby"
"Celine Dion","Think Twice","Baby think twice","95","1994",NA,"Baby"
"Chad Brock","Ordinary Life","Shelly's at the kitchen table, cup of coffee the morning paper","39","1999",NA,"Shelly"
"Chad Brock","Ordinary Life","Shelly's at the kitchen table, crayons, construction paper","39","1999",NA,"Shelly"
"Chaka Khan","I Feel For You","Baby, baby, when I look at you","3","1984",NA,"Baby"
"Chaka Khan","I Feel For You","Baby, baby, when I lay with you","3","1984",NA,"Baby"
"Chaka Khan","Own The Night","Baby don't stop","57","1985",NA,"Baby"
"Cham Featuring Alicia Keys","Ghetto Story Chapter 2","But, Mikey go to foreign and go tun Al Capone","77","2006",NA,"Al"
"Cham Featuring Alicia Keys","Ghetto Story Chapter 2","But, Mikey go to foreign and go tun Al Capone","77","2006",NA,"Al"
"Cham Featuring Alicia Keys","Ghetto Story Chapter 2","I remember when Danny dem take me snow cone","77","2006",NA,"Danny"
"Cham Featuring Alicia Keys","Ghetto Story Chapter 2","An the boy Danny pop out something weh full chrome","77","2006",NA,"Danny"
"Cham Featuring Alicia Keys","Ghetto Story Chapter 2","I remember when Danny dem take me snow cone","77","2006",NA,"Danny"
"Cham Featuring Alicia Keys","Ghetto Story Chapter 2","An the boy Danny pop out something weh full chrome","77","2006",NA,"Danny"
"Cham Featuring Alicia Keys","Ghetto Story Chapter 2","An make him likkle bredda dem kick up Jerome","77","2006",NA,"Jerome"
"Cham Featuring Alicia Keys","Ghetto Story Chapter 2","An make him licke bredda dem kick up Jerome","77","2006",NA,"Jerome"
"Cham Featuring Alicia Keys","Ghetto Story Chapter 2","An mi best friend Richie get, two inna him dome","77","2006",NA,"Richie"
"Cham Featuring Alicia Keys","Ghetto Story Chapter 2","An mi best friend Richie get, two inna him dome","77","2006",NA,"Richie"
"Chamillionaire Featuring Krayzie Bone","Ridin'","Got warrants in every city except Houston but I'm still ain't losin'","1","2006","city","Houston"
"Chamillionaire Featuring Krayzie Bone","Ridin'","Houston, TX you can check my tags","1","2006","city","Houston"
"Chance The Rapper","Blessings","And gave Donnie a trumpet in case I get shortness of breath","93","2016",NA,"Donnie"
"Chance The Rapper","Blessings","Ain't no blood on my money, ain't no Twitter in Heaven","93","2016","place","Heaven"
"Chance The Rapper","Blessings","I know them drugs isn't close, ain't no visit in Heaven","93","2016","place","Heaven"
"Chance The Rapper","Blessings","Jesus' black life ain't matter, I know I talked to his daddy","93","2016",NA,"Jesus"
"Chance The Rapper","Blessings","I'm feeling shortness of breath, so Nico grab you a horn","93","2016",NA,"Nico"
"Chance The Rapper Featuring Lil Wayne & 2 Chainz","No Problem","Boy I'm at your head like Craig did Deebo","43","2016",NA,"Craig"
"Chance The Rapper Featuring Lil Wayne & 2 Chainz","No Problem","Sacrificin' everything, I feel like Jesus Carter","43","2016",NA,"Jesus"
"Chance The Rapper Featuring Lil Wayne & 2 Chainz","No Problem","Petey Pablo, take your shirt off","43","2016",NA,"Petey Pablo"
"Chante Moore","Love's Taken Over","Baby, I'll show you","86","1992",NA,"Baby"
"Chante Moore","Love's Taken Over","Baby, I'll show you","86","1992",NA,"Baby"
"Chante Moore","Love's Taken Over","Baby, I'll show you","86","1992",NA,"Baby"
"Charlene","I've Never Been To Me","I moved like Harlow in Monte Carlo and showed 'em what I've got","3","1977","place - Monte Carlo","Carlo"
"Charlene","I've Never Been To Me","Ooh I've been to Georgia and California, oh, anywhere I could run","3","1977","state","Georgia"
"Charlene","I've Never Been To Me","I moved like Harlow in Monte Carlo and showed 'em what I've got","3","1977","place - Monte Carlo","Monte"
"Charlie Daniels","Uneasy Rider","And he voted for George McGoveren for president","9","1973",NA,"George"
"Charlie Daniels","Uneasy Rider","In Jackson Mississippi on a Saturday night","9","1973","city","Jackson"
"Charlie Daniels","Uneasy Rider","And he jumped up an' said jes' wait a minute Jim","9","1973",NA,"Jim"
"Charlie Daniels","Uneasy Rider","I'm a faithfull follower of Brother John Burch","9","1973",NA,"John"
"Charlie Daniels","Uneasy Rider","Mario Andretti woulda sure been proud","9","1973",NA,"Mario"
"Charlie Puth Featuring Meghan Trainor","Marvin Gaye","Let's Marvin Gaye and get it on","21","2015",NA,"Marvin"
"Charlie Puth Featuring Meghan Trainor","Marvin Gaye","Until the dawn, let's Marvin Gaye and get it on","21","2015",NA,"Marvin"
"Charlie Puth Featuring Meghan Trainor","Marvin Gaye","Let's Marvin Gaye and get it on","21","2015",NA,"Marvin"
"Charlie Puth Featuring Meghan Trainor","Marvin Gaye","Until the dawn, let's Marvin Gaye and get it on","21","2015",NA,"Marvin"
"Charlie Puth Featuring Meghan Trainor","Marvin Gaye","Until the dawn, let's Marvin Gaye and get it on","21","2015",NA,"Marvin"
"Charlie Puth Featuring Meghan Trainor","Marvin Gaye","Let's Marvin Gaye and get it on","21","2015",NA,"Marvin"
"Charlie Puth Featuring Meghan Trainor","Marvin Gaye","Until the dawn, let's Marvin Gaye and get it on","21","2015",NA,"Marvin"
"Charlie Puth Featuring Meghan Trainor","Marvin Gaye","Let's Marvin Gaye and get it on","21","2015",NA,"Marvin"
"Charlie Puth Featuring Meghan Trainor","Marvin Gaye","Until the dawn, let's Marvin Gaye and get it on, babe","21","2015",NA,"Marvin"
"Charlie Puth Featuring Meghan Trainor","Marvin Gaye","Until the dawn, let's Marvin Gaye and get it on","21","2015",NA,"Marvin"
"Charlie Puth Featuring Meghan Trainor","Marvin Gaye","Until the dawn, let's Marvin Gaye and get it on","21","2015",NA,"Marvin"
"Charlie Rich","Mohair Sam","Fast-talkin', slow walkin', good-lookin' Mohair Sam.","21","1965",NA,"Sam"
"Charlie Rich","Mohair Sam","Fast-talkin' - slow walkin' - good-lookin' Mohair Sam.","21","1965",NA,"Sam"
"Charlie Rich","Mohair Sam","Fast-talkin', slow walkin', good-lookin' Mohair Sam","21","1965",NA,"Sam"
"Charlie Rich","Mohair Sam","Fast-talkin', slow walkin', good-lookin' Mohair Sam","21","1965",NA,"Sam"
"Charlie Rich","Mohair Sam","Fast-talkin', slow walkin', good-lookin' Mohair Sam","21","1965",NA,"Sam"
"Charlie Wilson","There Goes My Baby","Right in front of Macy's","98","2009",NA,"Macy"
"Chase Bryant","Take It On Back","She was a south Georgia stunner","82","2015",NA,"Georgia"
"Chase Rice","Ready Set Roll","Baby you rock, hit the spot","54","2013",NA,"Baby"
"Cheap Trick","Ghost Town","Baby, where did you go?","33","1988",NA,"Baby"
"Cheap Trick","Ghost Town","Baby, why did you leave?","33","1988",NA,"Baby"
"Chedda Da Connect","Flicka Da Wrist","Bentley coupe, on the freeway doin' 200","94","2015","car","Bentley"
"Cher","Dark Lady","She said \home James\"" and he hit the gas""","1","1974",NA,"James"
"Cher","Heart Of Stone","The road to Eden's overgrown","20","1990",NA,"Eden"
"Cher","Hey Joe","Hey Joe where are you going","94","1967",NA,"Joe"
"Cher","Hey Joe","Hey Joe where are you going","94","1967",NA,"Joe"
"Cher","Hey Joe","Hey Joe I heard you shot your woman down","94","1967",NA,"Joe"
"Cher","Hey Joe","Hey I said hey Joe","94","1967",NA,"Joe"
"Cher","Hey Joe","Hey Joe I heard you shot your woman down","94","1967",NA,"Joe"
"Cher","Hey Joe","But I said hey Joe","94","1967",NA,"Joe"
"Cher","Just Like Jesse James","Just like Jesse James","8","1989",NA,"Jesse"
"Cher","Just Like Jesse James","Just like Jesse James","8","1989",NA,"Jesse"
"Cher","Just Like Jesse James","Just like Jesse James","8","1989",NA,"Jesse"
"Cher","Just Like Jesse James","Just like Jesse James","8","1989",NA,"Jesse"
"Cher","Just Like Jesse James","Just like Jesse James","8","1989",NA,"Jesse"
"Cher","Just Like Jesse James","I'm gonna shoot ya down Jesse James","8","1989",NA,"Jesse"
"Cher","Save Up All Your Tears","Baby save up all your tears","37","1991",NA,"Baby"
"Cher","Save Up All Your Tears","Baby, save up your tears","37","1991",NA,"Baby"
"Cher","Save Up All Your Tears","Baby save up all your tears","37","1991",NA,"Baby"
"Cher","Save Up All Your Tears","Baby, save up your tears","37","1991",NA,"Baby"
"Cher","Save Up All Your Tears","Baby save up all your tears","37","1991",NA,"Baby"
"Cher","Save Up All Your Tears","Baby, save up your tears","37","1991",NA,"Baby"
"Cher","Save Up All Your Tears","Winter set in your eyes","37","1991","season","Winter"
"Cher","Strong Enough","Baby, have I got news for you","57","1999",NA,"Baby"
"Cher","Wasn't It Good","Baby, baby so good","49","1979",NA,"Baby"
"Chic","Everybody Dance","Just like Rogers and Astaire","38","1978",NA,"Rogers"
"Chic","I Want Your Love","Baby can't you see, when you look at me","7","1979",NA,"Baby"
"Chicago","Baby, What A Big Surprise","Baby what a big surprise","4","1977",NA,"Baby"
"Chicago","Baby, What A Big Surprise","Baby, what a big surprise","4","1977",NA,"Baby"
"Chicago","Baby, What A Big Surprise","Baby what a big surprise","4","1977",NA,"Baby"
"Chicago","Baby, What A Big Surprise","Baby what a big surprise","4","1977",NA,"Baby"
"Chicago","Baby, What A Big Surprise","Baby what a big surprise","4","1977",NA,"Baby"
"Chicago","Baby, What A Big Surprise","Baby what a big surprise","4","1977",NA,"Baby"
"Chicago","Baby, What A Big Surprise","Baby what a big surprise","4","1977",NA,"Baby"
"Chicago","Harry Truman","America needs you","13","1975","country","America"
"Chicago","Harry Truman","America's wondering","13","1975","country","America"
"Chicago","Harry Truman","America's calling","13","1975","country","America"
"Chicago","Harry Truman","Harry Truman","13","1975",NA,"Harry"
"Chicago","Harry Truman","Harry could you please come home","13","1975",NA,"Harry"
"Chicago","Harry Truman","Harry all we get is lies","13","1975",NA,"Harry"
"Chicago","Harry Truman","Harry Truman","13","1975",NA,"Harry"
"Chicago","Harry Truman","Harry you know what to do","13","1975",NA,"Harry"
"Chicago","Harry Truman","Oh Harry is there something we can do to save the land we love","13","1975",NA,"Harry"
"Chicago","Just You 'n' Me","Baby you're everything I've ever dreamed of","4","1973",NA,"Baby"
"Chicago","Just You 'n' Me","Baby you're everything I've ever dreamed of, yeah yeah","4","1973",NA,"Baby"
"Chicago","Wishing You Were Here","Heaven knows and lord it shows when I'm away","11","1974","place","Heaven"
"Chicago","You're The Inspiration","Baby","15","1984",NA,"Baby"
"Chico DeBarge","Give You What You Want (Fa Sure)","Baby, baby","71","1999",NA,"Baby"
"Chico DeBarge","Give You What You Want (Fa Sure)","Baby if you loud","71","1999",NA,"Baby"
"Chiddy Bang","Opposite Of Adults","But I play a Ron Bergundy I anchor on the track like that","90","2010",NA,"Ron"
"Chief Keef Featuring Lil Reese","I Don't Like","You smoke Reggie, that's that shit I don't like","73","2012","drug","Reggie"
"Childish Gambino","V. 3005","Emily, Fam, and Lorenzo","64","2013",NA,"Emily"
"Childish Gambino","V. 3005","Emily, Fam, and Lorenzo","64","2013",NA,"Lorenzo"
"Chingy","Balla Baby","From Magic City to the pink slip in the Lou","20","2004",NA,"Lou"
"Chingy Featuring J. Weav","One Call Away","She was with her mom at Bank of America","2","2004","country","America"
"Chingy Featuring J. Weav","One Call Away","The homeboys looking at me saying Lil Howard you weak","2","2004",NA,"Howard"
"Chingy Featuring Jermaine Dupri","Dem Jeans","Marc Jacob shades, 50 karats, all ice","59","2006",NA,"Marc"
"Chingy Featuring Jermaine Dupri","Dem Jeans","Caramel skin tone, damn, you look like Nia Long","59","2006",NA,"Nia"
"Chris Brown","Back To Sleep","Baby just hold on tight to me girl","20","2016",NA,"Baby"
"Chris Brown","Don't Judge Me","Baby the fact is, you're hearing rumours about me","67","2012",NA,"Baby"
"Chris Brown","Fine China","Baby,","31","2013",NA,"Baby"
"Chris Brown","Fine China","Baby,","31","2013",NA,"Baby"
"Chris Brown","Liquor","Baby let me help you work it out, oh","60","2015",NA,"Baby"
"Chris Brown","Liquor","Baby when we do it, woah","60","2015",NA,"Baby"
"Chris Brown","Run It!","Santana again","1","2005",NA,"Santana"
"Chris Brown","Say Goodbye","Baby, come here and sit down","10","2006",NA,"Baby"
"Chris Brown","Sweet Love","Baby I know what to do","89","2012",NA,"Baby"
"Chris Brown","Sweet Love","Baby I know what to do","89","2012",NA,"Baby"
"Chris Brown","Sweet Love","Baby I know what to do","89","2012",NA,"Baby"
"Chris Brown","Sweet Love","Baby I know what to do","89","2012",NA,"Baby"
"Chris Brown","Sweet Love","Baby girl I want for you to roll","89","2012",NA,"Baby"
"Chris Brown","Sweet Love","Baby I know what to do","89","2012",NA,"Baby"
"Chris Brown","Sweet Love","Baby I know what to do","89","2012",NA,"Baby"
"Chris Brown","Take You Down","Baby, I want you","43","2008",NA,"Baby"
"Chris Brown","Take You Down","Baby!","43","2008",NA,"Baby"
"Chris Brown","Turn Up The Music","Baby can I feel that","10","2012",NA,"Baby"
"Chris Brown","Wall To Wall","We are trying to make way for Chris Brown","79","2007",NA,"Chris"
"Chris Brown","Wall To Wall","We are trying to make way for Chris Brown","79","2007",NA,"Chris"
"Chris Brown","With You","Baby, you're the best part of my day","2","2007",NA,"Baby"
"Chris Brown","With You","You're like Jordan's on Saturday,","2","2007",NA,"Jordan"
"Chris Brown","Yeah 3X","Baby we're going","15","2010",NA,"Baby"
"Chris Brown","Yo (Excuse Me Miss)","Baby you're so romantic","7","2005",NA,"Baby"
"Chris Brown","Yo (Excuse Me Miss)","Baby I can be in your heart","7","2005",NA,"Baby"
"Chris Brown & Tyga","Ayo","I'm the black Richie Rich with the roof missing","21","2015",NA,"Richie"
"Chris Brown & Tyga","Ayo","She going to follow my lead, Simon Says)","21","2015",NA,"Simon"
"Chris Brown Feat. Ludacris","Wet The Bed","Baby you're just like a storm","77","2011",NA,"Baby"
"Chris Brown Feat. Ludacris","Wet The Bed","Baby you're just like a storm","77","2011",NA,"Baby"
"Chris Brown Feat. Ludacris","Wet The Bed","Don't fight, lighten' up like Sammy Sosa","77","2011",NA,"Sammy"
"Chris Brown Feat. Ludacris","Wet The Bed","Makin' me hot like Toni Braxton","77","2011",NA,"Toni"
"Chris Brown Featuring Kevin K-MAC McCall","Strip","Baby don't worry about your hair all those tracks","37","2012",NA,"Baby"
"Chris Brown Featuring Kevin McCall","Strip","Baby don't worry about your hair all those tracks","51","2011",NA,"Baby"
"Chris Brown Featuring Lil' Wayne","Gimme That","Chris","15","2006",NA,"Chris"
"Chris Brown Featuring Lil Wayne & Busta Rhymes","Look At Me Now","Marley said, \Shoot 'em\"" and I said","6","2011",NA,"Marley"
"Chris Brown Featuring Lil Wayne & French Montana Or & Too $hort","Loyal","Baby show me something","42","2014",NA,"Baby"
"Chris Brown Featuring Lil Wayne & French Montana Or & Too $hort","Loyal","Baby show me something","42","2014",NA,"Baby"
"Chris Brown Featuring Lil Wayne & French Montana Or & Too $hort","Loyal","Tell that bitch put a ring back on, Montana","42","2014","state","Montana"
"Chris Brown Featuring Lil Wayne & French Montana Or Too $hort","Loyal","Baby show me something","31","2014",NA,"Baby"
"Chris Brown Featuring Lil Wayne & French Montana Or Too $hort","Loyal","Baby show me something","31","2014",NA,"Baby"
"Chris Brown Featuring Lil Wayne & French Montana Or Too $hort","Loyal","Tell that bitch put a ring back on, Montana","31","2014","state","Montana"
"Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga","Loyal","Baby show me something","9","2014",NA,"Baby"
"Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga","Loyal","Baby show me something","9","2014",NA,"Baby"
"Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga","Loyal","Tell that bitch put a ring back on, Montana","9","2014","state","Montana"
"Chris Brown Featuring Lil Wayne & Swizz Beatz","I Can Transform Ya","Swiss on the beats, Chris move ya feet,","20","2009",NA,"Chris"
"Chris Brown Featuring Lil Wayne & Swizz Beatz","I Can Transform Ya","Swiss on the Beat, Chris move ya feet","20","2009",NA,"Chris"
"Chris Brown Featuring Lil Wayne & Swizz Beatz","I Can Transform Ya","Jimmy Choos in Italy, Louie V in Tokyo,","20","2009",NA,"Jimmy"
"Chris Brown Featuring Lil Wayne & Swizz Beatz","I Can Transform Ya","Jimmy Choos in Italy, Louie V in Tokyo,","20","2009","brand","Louie"
"Chris Brown Featuring Nicki Minaj","Love More","Baby you let go and I pull you back","23","2013",NA,"Baby"
"Chris Brown Featuring Nicki Minaj","Love More","Baby this should be simple, it's all in me mental","23","2013",NA,"Baby"
"Chris Brown Featuring Nicki Minaj","Love More","Ass on the cover too, Elle Magazine","23","2013",NA,"Elle"
"Chris Brown Featuring Nicki Minaj","Love More","John Salley","23","2013",NA,"John"
"Chris Brown Featuring Nicki Minaj","Love More","He wanna fuck a bad Dolly and pop Molly","23","2013","drug","Molly"
"Chris Brown Featuring Nicki Minaj","Love More","Said my Twitter pics remind him of Naomi, uh","23","2013",NA,"Naomi"
"Chris Brown Featuring Nicki Minaj","Love More","He had the Rolls in his Royce, the tone in his voice","23","2013","car","Royce"
"Chris Brown Featuring Plies","What I Do","Chris Brown, this what we do, we do this","88","2009",NA,"Chris"
"Chris Brown Featuring Plies","What I Do","She want a pretty boy I brought Chris breezy wit me","88","2009",NA,"Chris"
"Chris Brown Featuring T-Pain","Kiss Kiss","Teddy Penderazdown","1","2007",NA,"Teddy"
"Chris Brown Featuring Tyga & Kevin McCall","Deuces","Ike in the limo, it finally hit me","14","2010",NA,"Ike"
"Chris Brown Featuring Tyga & Kevin McCall","Deuces","She Paula Patton thick she give me deja Vu","14","2010",NA,"Paula"
"Chris Brown Featuring Tyga & Kevin McCall","Deuces","She make wanna leave the one I'm with Usher Raymond","14","2010",NA,"Raymond"
"Chris Brown Featuring Tyga & Kevin McCall","Deuces","Like Tina did","14","2010",NA,"Tina"
"Chris Brown Featuring Usher & Gucci Mane","Party","I'm from the east of ATL, but ballin' in the Cali hills","40","2017","state","Cali"
"Chris Brown Featuring Usher & Rick Ross","New Flame","Baby, come and get it","27","2014",NA,"Baby"
"Chris Brown Featuring Usher & Rick Ross","New Flame","Baby baby, baby baby, let's make what we got here last forever","27","2014",NA,"Baby"
"Chris Brown Featuring Usher & Rick Ross","New Flame","Baby, come and get it","27","2014",NA,"Baby"
"Chris Brown Featuring Usher & Rick Ross","New Flame","Baby, I'm a boss, I'm talking George Steinbrenner","27","2014",NA,"Baby"
"Chris Brown Featuring Usher & Rick Ross","New Flame","Baby, come and get it","27","2014",NA,"Baby"
"Chris Brown Featuring Usher & Rick Ross","New Flame","Panamera, Yogi Berra, my two-seater Derek Jeter","27","2014",NA,"Derek"
"Chris Brown Featuring Usher & Rick Ross","New Flame","Baby, I'm a boss, I'm talking George Steinbrenner","27","2014",NA,"George"
"Chris Cagle","Let There Be Cowgirls","And all the angels up in Heaven started singing","96","2013","place","Heaven"
"Chris Cagle","Let There Be Cowgirls","Her name was little Kayleigh","96","2013",NA,"Kayleigh"
"Chris Cagle","What Kinda Gone","I hollar \Baby is there something wrong?\""""","54","2008",NA,"Baby"
"Chris Jamison & Adam Levine","Lost Without U","Baby you're the perfect shape","63","2015",NA,"Baby"
"Chris Jamison & Adam Levine","Lost Without U","Baby you're the perfect weight","63","2015",NA,"Baby"
"Chris Janson","Buy Me A Boat","And that I was sitting on a pile like Warren Buffett","41","2015",NA,"Warren"
"Chris Lane","Fix","I'll be your slow grind, that late night, your Walter White high","65","2016",NA,"Walter"
"Chris Lane","Fix","I'll be your slow grind, that late night, your Walter White high","65","2016",NA,"Walter"
"Chris Lane","Fix","I'll be your smooth ride, that late night, your Walter White high","65","2016",NA,"Walter"
"Chris Rea","Let's Dance","Heaven knows it's in my heart and my soul","81","1987","place","Heaven"
"Chris Rea","Whatever Happened To Benny Santini?","Whatever happened to Benny Santini?","71","1978",NA,"Benny"
"Chris Stapleton","Nobody To Blame","Put sugar in my John Deere","68","2016",NA,"John"
"Chris Stapleton","Parachute","Baby, I will be your parachute","78","2016",NA,"Baby"
"Chris Stapleton","Parachute","Baby, I will be your parachute","78","2016",NA,"Baby"
"Chris Stapleton","Parachute","Baby, I will be your","78","2016",NA,"Baby"
"Chris Stapleton","Parachute","Baby I will be your parachute","78","2016",NA,"Baby"
"Chris Young","I Can Take It From There","Baby while you're at it you might as well let down your hair","63","2013",NA,"Baby"
"Chris Young","I Can Take It From There","Baby while you're at it you might as well let down your hair","63","2013",NA,"Baby"
"Chris Young","I Can Take It From There","Baby while you're at it you might as well let down your hair","63","2013",NA,"Baby"
"Chris Young","Lonely Eyes","Baby, I'll be glad to lose myself deep inside","50","2015",NA,"Baby"
"Chris Young","Lonely Eyes","Heaven help me, make 'em stay","50","2015","place","Heaven"
"Chris Young","Neon","The sky in Cheyenne, Wyoming","92","2012","city","Cheyenne"
"Chris Young","Neon","With a little Johnny Lee on","92","2012",NA,"Johnny Lee"
"Chris Young","Neon","With a little Johnny Lee on","92","2012",NA,"Johnny Lee"
"Christina Aguilera","Candyman","(Tarzan and Jane were swingin' on a vine","25","2007",NA,"Jane"
"Christina Aguilera","Candyman","Tarzan and Jane were swingin' on a vine","25","2007",NA,"Jane"
"Christina Aguilera","Candyman","Jane lost her grip and down she fell","25","2007",NA,"Jane"
"Christina Aguilera","Candyman","Jane lost her grip and down she fell","25","2007",NA,"Jane"
"Christina Aguilera","Dirrty","We blessed, and hung low, like Bernie Mac","67","2002",NA,"Bernie"
"Christina Aguilera","Dirrty","Yo Christina , better hop in here","67","2002",NA,"Christina"
"Christina Aguilera","Dirrty","I'm waiting for sister to act like Lauryn Hill","67","2002",NA,"Lauryn"
"Christina Aguilera","Genie In A Bottle","Baby, baby, baby","1","1999",NA,"Baby"
"Christina Aguilera","Genie In A Bottle","Baby there's a price to pay","1","1999",NA,"Baby"
"Christina Aguilera","Genie In A Bottle","Baby, baby, baby","1","1999",NA,"Baby"
"Christina Aguilera","Genie In A Bottle","Baby there's a price to pay","1","1999",NA,"Baby"
"Christina Aguilera","Genie In A Bottle","Baby there's a price to pay","1","1999",NA,"Baby"
"Christina Aguilera","Genie In A Bottle","Baby there's a price to pay","1","1999",NA,"Baby"
"Christina Aguilera","The Christmas Song (Chestnuts Roasting On An Open Fire)","Jack Frost nipping at your nose","18","1999",NA,"Jack"
"Christina Aguilera Featuring Lil' Kim","Can't Hold Us Down","And Lil' Kim and Christina Aguilera got yo back","12","2003",NA,"Christina"
"Christina Aguilera Featuring Lil' Kim","Can't Hold Us Down","Lil Kim and Christina Aguilera","12","2003",NA,"Christina"
"Christina Aguilera Featuring Lil' Kim","Can't Hold Us Down","And Lil' Kim and Christina Aguilera got yo back","12","2003",NA,"Kim"
"Christina Aguilera Featuring Lil' Kim","Can't Hold Us Down","Lil Kim and Christina Aguilera","12","2003",NA,"Kim"
"Christina Aguilera Featuring Nicki Minaj","WooHoo","Keep me and Chrissy in Christian Dior","79","2010","brand","Christian"
"Christina Aguilera Featuring Nicki Minaj","WooHoo","Jimmy AI Tom Wally a New York","79","2010",NA,"Jimmy"
"Christina Aguilera Featuring Nicki Minaj","WooHoo","My name Nicki, Little Daddy and you","79","2010",NA,"Nicki"
"Christina Aguilera Featuring Nicki Minaj","WooHoo","Jimmy AI Tom Wally a New York","79","2010",NA,"Tom"
"Christina Aguilera Featuring Redman","Dirrty","We blessed, and hung low, like Bernie Mac","48","2002",NA,"Bernie"
"Christina Aguilera Featuring Redman","Dirrty","Yo Christina , better hop in here","48","2002",NA,"Christina"
"Christina Aguilera Featuring Redman","Dirrty","I'm waiting for sister to act like Lauryn Hill","48","2002",NA,"Lauryn"
"Christina Milian","AM To PM","Christina Milian-A.M to P.M","27","2001",NA,"Christina"
"Christina Milian Featuring Joe Budden","Whatever U Want","Only Mike puts up numbers like these,","100","2004",NA,"Mike"
"Christopher Cross","Think Of Laura","Think of Laura but laugh don't cry","9","1983",NA,"Laura"
"Christopher Cross","Think Of Laura","When you think of Laura laugh don't cry","9","1983",NA,"Laura"
"Christopher Wilde & Anna Margaret","Something About The Sunshine","From Melrose to Beverly Hills","81","2010","place","Beverly"
"Chubb Rock","Treat Em Right","Swinger, Hot Dog, Doc No, Bud, Ev Lover, Dinky","95","1991",NA,"Bud"
"Chubb Rock","Treat Em Right","Sanity Crystal, my niece","95","1991",NA,"Crystal"
"Chubb Rock","Treat Em Right","Kids on St. James between Gates and Greene","95","1991","place","James"
"Chubb Rock","Treat Em Right","Rob Swinger, Doc No, Dinky, and Hot Dog know","95","1991",NA,"Rob"
"Chubby Checker","(Dance The) Mess Around","Baby dig what I'm puttin' down","24","1961",NA,"Baby"
"Chubby Checker","(Dance The) Mess Around","You can Cha Cha with Charlie","24","1961",NA,"Charlie"
"Chubby Checker","(Dance The) Mess Around","Hucklebuck with Dee","24","1961",NA,"Dee"
"Chubby Checker","(Dance The) Mess Around","Hully Gully with Harry","24","1961",NA,"Harry"
"Chubby Checker","(Dance The) Mess Around","Watusi with Susie","24","1961",NA,"Susie"
"Chubby Checker","(Dance The) Mess Around","Do the Shimmy with Timmy","24","1961",NA,"Timmy"
"Chubby Checker","(Dance The) Mess Around","You can Pony with Tony","24","1961",NA,"Tony"
"Chubby Checker","(Dance The) Mess Around","You can Pony with Tony","24","1961",NA,"Tony"
"Chubby Checker","Limbo Rock","Jack be limbo, Jack be quick","2","1962",NA,"Jack"
"Chubby Checker","Limbo Rock","Jack be limbo, Jack be quick","2","1962",NA,"Jack"
"Chubby Checker","Limbo Rock","Jack go under limbo stick","2","1962",NA,"Jack"
"Chubby Checker","Limbo Rock","Jack be limbo, Jack be quick","2","1962",NA,"Jack"
"Chubby Checker","Limbo Rock","Jack be limbo, Jack be quick","2","1962",NA,"Jack"
