"schoolName","state","sanction","offense"
"DARLINGTON HIGH","WI","change clothes","Any"
"MOUNDS HS","OK","change clothes","Any"
"OAK GROVE HIGH","MO","change clothes","Any"
"MCLOUTH HIGH","KS","change clothes","Any"
"TATUM H S","TX","change clothes","Any"
"CEDAR CITY HIGH","UT","change clothes","Any"
"HANOVER HIGH","KS","change clothes","Any"
"NEW LONDON HIGH","WI","change clothes","Any"
"LAWSON HIGH","MO","change clothes","Any"
"AKRON WESTFIELD SENIOR HIGH SCHOOL","IA","change clothes","Any"
"CHILLICOTHE HIGH","MO","change clothes","Any"
"FLOYD HIGH","NM","change clothes","Any"
"BERRYVILLE HIGH SCHOOL","AR","change clothes","1st"
"EAST LAURENS HIGH SCHOOL","GA","change clothes","Any"
"TURNERS FALL HIGH","MA","change clothes","Any"
"HENRIETTA H S","TX","change clothes","Any"
"NORTH ANDREW HIGH","MO","change clothes","Any"
"HORN H S","TX","change clothes","Any"
"WEATHERFORD H S","TX","change clothes","Any"
"AMITY REGIONAL HIGH SCHOOL","CT","change clothes","Any"
"CORNWALL CENTRAL HIGH SCHOOL","NY","change clothes","Any"
"CENTRAL HIGH SCHOOL","IA","change clothes","Any"
"RANCHO BUENA VISTA HIGH","CA","change clothes","Any"
"FREEPORT AREA SHS","PA","change clothes","1st"
"FREEPORT AREA SHS","PA","change clothes","2nd"
"LEVERETTS CHAPEL H S","TX","change clothes","Any"
"WEST STOKES HIGH","NC","change clothes","1st"
"WEST STOKES HIGH","NC","change clothes","2nd"
"WEST STOKES HIGH","NC","change clothes","3rd"
"NANTUCKET HIGH","MA","change clothes","1st"
"NANTUCKET HIGH","MA","change clothes","2nd"
"NORTH CARROLL HIGH","MD","change clothes","Any"
"MIDLAND H S","TX","change clothes","Any"
"PELLA HIGH SCHOOL","IA","change clothes","Any"
"MCGREGOR H S","TX","change clothes","Any"
"CURRITUCK COUNTY HIGH","NC","change clothes","Any"
"NEVADA HIGH SCHOOL","IA","change clothes","Any"
"ADM SENIOR HIGH SCHOOL","IA","change clothes","Any"
"WAUSAUKEE HIGH","WI","change clothes","Any"
"PLEASANT GROVE H S","TX","change clothes","Any"
"BASTROP H S","TX","change clothes","Any"
"TGU-GRANVILLE HIGH SCHOOL","ND","change clothes","Any"
"MARINETTE HIGH","WI","change clothes","1st"
"PORTSMOUTH HIGH SCHOOL","NH","change clothes","Any"
"BORGER H S","TX","change clothes","Any"
"CABOOL HIGH","MO","change clothes","Any"
"WELDON VALLEY HIGH SCHOOL","CO","change clothes","Any"
"SHADOW HILLS HIGH","CA","change clothes","Any"
"LAINGSBURG HIGH SCHOOL","MI","change clothes","Any"
"COLUMBIA HIGH SCHOOL","NY","change clothes","Any"
"TWIN VALLEY HIGH SCHOOL","VT","change clothes","Any"
"SHAWANO HIGH","WI","change clothes","Any"
"HALLSVILLE H S","TX","change clothes","Any"
"LAUREL HIGH SCHOOL","MT","change clothes","1st"
"LAUREL HIGH SCHOOL","MT","change clothes","2nd"
"LAUREL HIGH SCHOOL","MT","change clothes","3rd"
"SCOTIA-GLENVILLE SENIOR HIGH SCHOOL","NY","change clothes","Any"
"PLYMOUTH-WHITEMARSH SHS","PA","change clothes","Any"
"JERICHO SENIOR HIGH SCHOOL","NY","change clothes","Any"
"SALIDA HIGH SCHOOL","CO","change clothes","Any"
"THOMAS JEFFERSON HIGH SCHOOL","CO","change clothes","Any"
"SHERIDAN HIGH SCHOOL","WY","change clothes","Any"
"NELSON COUNTY HIGH","VA","change clothes","Any"
"HUDSON HIGH","WI","change clothes","Any"
"MORENCI HIGH SCHOOL","AZ","change clothes","1st"
"WEST SENECA EAST SENIOR HIGH SCHOOL","NY","change clothes","Any"
"LANDER VALLEY HIGH SCHOOL","WY","change clothes","1st"
"LANDER VALLEY HIGH SCHOOL","WY","change clothes","2nd"
"SKIATOOK HS","OK","change clothes","1st"
"SKIATOOK HS","OK","change clothes","2nd"
"NISKAYUNA HIGH SCHOOL","NY","change clothes","Any"
"EMPORIA HIGH","KS","change clothes","1st"
"NEWPORT MIDDLE HIGH SCHOOL (HIGH)","NH","change clothes","Any"
"JACKSON HOLE HIGH SCHOOL","WY","change clothes","Any"
"IRAAN H S","TX","change clothes","Any"
"LINCOLN SENIOR HIGH SCHOOL","MI","change clothes","Any"
"BELLPORT SENIOR HIGH SCHOOL","NY","change clothes","Any"
"PLATTE CANYON HIGH SCHOOL","CO","change clothes","4th"
"ROSEMONT HIGH","CA","change clothes","4th"
"SPENCERPORT HIGH SCHOOL","NY","change clothes","Any"
"PITTSFIELD HIGH SCHOOL","NH","change clothes","Any"
"WEST ISLIP SENIOR HIGH SCHOOL","NY","change clothes","Any"
"KENYON-WANAMINGO SENIOR HIGH","MN","change clothes","Any"
"GRAND LEDGE HIGH SCHOOL","MI","change clothes","Any"
"DAVID PROUTY HIGH","MA","change clothes","1st"
"TARKINGTON H S","TX","change clothes","1st"
"SOUTH GLENS FALLS SENIOR HIGH SCHOOL","NY","change clothes","Any"
"LURAY HIGH","VA","change clothes","Any"
"APPOQUINIMINK HIGH SCHOOL","DE","change clothes","Any"
"QUANAH H S","TX","change clothes","Any"
"LYNNVILLE-SULLY HIGH SCHOOL","IA","change clothes","Any"
"GRANDVIEW SR. HIGH","MO","change clothes","Any"
"WHITMAN HANSON REGIONAL","MA","change clothes","Any"
"HARLOWTON HIGH SCHOOL","MT","change clothes","Any"
"OAK CREEK HIGH","WI","change clothes","Any"
"MARATHON HIGH","WI","change clothes","Any"
"BONNEY LAKE HIGH SCHOOL","WA","change clothes","Any"
"ROGERS H S","TX","change clothes","Any"
"ATHENS HIGH","WI","change clothes","Any"
"EXCELSIOR SPRINGS HIGH","MO","change clothes","Any"
"BYRON NELSON H S","TX","change clothes","Any"
"CELINA H S","TX","change clothes","Any"
"QUEEN CITY H S","TX","change clothes","Any"
"MACON SR. HIGH","MO","change clothes","Any"
"UNION HIGH SCHOOL","IA","change clothes","Any"
"SEDRO WOOLLEY SENIOR HIGH SCHOOL","WA","change clothes","Any"
"ATASCADERO HIGH","CA","change clothes","Any"
"AGWSR HIGH SCHOOL","IA","change clothes","Any"
"KEYSTONE HIGH SCHOOL","OH","change clothes","Any"
"GOSHEN CENTRAL HIGH SCHOOL","NY","change clothes","Any"
"ALAMO HEIGHTS H S","TX","change clothes","Any"
"RANCHO VERDE HIGH","CA","change clothes","Any"
"SOUTH SENIOR HIGH","MN","change clothes","Any"
"SINTON H S","TX","change clothes","Any"
"LOMPOC HIGH","CA","change clothes","Any"
"MIRA MESA HIGH","CA","change clothes","Any"
"BLUE RIDGE H S","TX","change clothes","Any"
"KALKASKA HIGH SCHOOL","MI","change clothes","Any"
"PARK HILL HIGH","MO","change clothes","Any"
"THUNDER RIDGE HIGH SCHOOL","KS","change clothes","1st"
"THUNDER RIDGE HIGH SCHOOL","KS","change clothes","3rd"
"THUNDER RIDGE HIGH SCHOOL","KS","change clothes","4th"
"PEKIN COMMUNITY HIGH SCHOOL","IA","change clothes","Any"
"SOROCO HIGH SCHOOL","CO","change clothes","Any"
"SAN JON HIGH","NM","change clothes","Any"
"JOSEPH CASE HIGH","MA","change clothes","Any"
"WHARTON H S","TX","change clothes","Any"
"LEAVENWORTH SR HIGH","KS","change clothes","Any"
"ILLINOIS VALLEY HIGH SCHOOL","OR","change clothes","Any"
"WEST HEMPSTEAD HIGH SCHOOL","NY","change clothes","Any"
"MONTE VISTA HIGH","CA","change clothes","Any"
"CENTURY HIGH","MD","change clothes","Any"
"OLTON H S","TX","change clothes","Any"
"CEDAR GROVE-BELGIUM HIGH","WI","change clothes","Any"
"HOMINY HS","OK","change clothes","Any"
"GLEN ROSE H S","TX","change clothes","Any"
"MONROE-WOODBURY HIGH SCHOOL","NY","change clothes","Any"
"LOVELL HIGH SCHOOL","WY","change clothes","Any"
"KETCHUM HS","OK","change clothes","Any"
"LEOMINSTER HIGH SCHOOL","MA","change clothes","Any"
"MADRAS HIGH SCHOOL","OR","change clothes","Any"
"CHRISTIANSBURG HIGH","VA","change clothes","Any"
"LEBANON HIGH SCHOOL","OR","change clothes","Any"
"MILLER PLACE HIGH SCHOOL","NY","change clothes","Any"
"SPAULDING UHSD #41","VT","change clothes","Any"
"TIPTON HIGH SCHOOL","IA","change clothes","Any"
"BIG PINEY HIGH SCHOOL","WY","change clothes","Any"
"CLEARWATER HIGH","MO","change clothes","Any"
"CHASE HIGH","KS","change clothes","Any"
"PLAINWELL HIGH SCHOOL","MI","change clothes","Any"
"HAMILTON HIGH SCHOOL","AZ","change clothes","Any"
"BATTLE CREEK-IDA GROVE SENIOR HIGH SCHOOL","IA","change clothes","Any"
"PALACIOS H S","TX","change clothes","Any"
"LYONS SENIOR HIGH SCHOOL","NY","change clothes","Any"
"UNIONVILLE-SEBEWAING HIGH SCHOOL","MI","change clothes","1st"
"UNIONVILLE-SEBEWAING HIGH SCHOOL","MI","change clothes","2nd"
"UNIONVILLE-SEBEWAING HIGH SCHOOL","MI","change clothes","3rd"
"UNIONVILLE-SEBEWAING HIGH SCHOOL","MI","change clothes","4th"
"UNIONVILLE-SEBEWAING HIGH SCHOOL","MI","change clothes","5th"
"UNIONVILLE-SEBEWAING HIGH SCHOOL","MI","change clothes","Any"
"BINGHAMTON HIGH SCHOOL","NY","change clothes","Any"
"GEORGE MASON HIGH","VA","change clothes","Any"
"OMRO HIGH","WI","change clothes","Any"
"NASHOBA REGIONAL","MA","change clothes","Any"
"PIERCE COUNTY HIGH SCHOOL","GA","change clothes","Any"
"SOUTH ALBANY HIGH SCHOOL","OR","change clothes","Any"
"CONNALLY HIGH SCHOOL","TX","change clothes","Any"
"MIDDLE CREEK HIGH","NC","change clothes","Any"
"MOUNTAIN VIEW HIGH SCHOOL","WY","change clothes","Any"
"FONTANA A. B. MILLER HIGH","CA","change clothes","Any"
"TEXAS H S","TX","change clothes","1st"
"TEXAS H S","TX","change clothes","2nd"
"TEXAS H S","TX","change clothes","3rd"
"TEXAS H S","TX","change clothes","4th"
"TEXAS H S","TX","change clothes","5th"
"MOORE HS","OK","change clothes","Any"
"CHANHASSEN HIGH SCHOOL","MN","change clothes","Any"
"CLEAR BROOK H S","TX","change clothes","Any"
"SLEEPY HOLLOW HIGH SCHOOL","NY","change clothes","Any"
"DOUGLAS HIGH SCHOOL","MA","change clothes","1st"
"EAST HAMPTON HIGH SCHOOL","NY","change clothes","1st"
"WARRENTON HIGH SCHOOL","OR","change clothes","1st"
"HILLIARD BRADLEY HIGH SCHOOL","OH","change clothes","Any"
"APS ONLINE SCHOOL","CO","change clothes","Any"
"MEDFORD HIGH","MA","change clothes","1st"
"SENIOR HS","OK","change clothes","1st"
"ONTEORA HIGH SCHOOL","NY","change clothes","1st"
"MONROE CITY R-I HIGH","MO","change clothes","1st"
"TEMPLE H S","TX","change clothes","Any"
"RIPLEY HIGH SCHOOL","MS","change clothes","Any"
"HAVERLING SENIOR HIGH SCHOOL","NY","change clothes","Any"
"ASTORIA SENIOR HIGH SCHOOL","OR","change clothes","Any"
"HIAWATHA SR HIGH","KS","change clothes","Any"
"HUNTINGTON HIGH SCHOOL","NY","change clothes","1st"
"LOMIRA HIGH","WI","change clothes","Any"
"EAST HAVEN HIGH SCHOOL","CT","change clothes","Any"
"SARATOGA SPRINGS HIGH SCHOOL","NY","change clothes","Any"
"KELSO HIGH SCHOOL","WA","change clothes","Any"
"CHIRENO H S","TX","change clothes","Any"
"EDISON SENIOR HIGH","MN","change clothes","Any"
"RUSSELL HIGH","KS","change clothes","1st"
"RUSSELL HIGH","KS","change clothes","2nd"
"RUSSELL HIGH","KS","change clothes","3rd"
"NETTLETON HIGH SCHOOL","MS","change clothes","Any"
"LAKER HIGH SCHOOL","MI","change clothes","Any"
"GRAND RAPIDS SENIOR HIGH","Mn","change clothes","Any"
"PLYMOUTH HIGH","WI","change clothes","1st"
"BROADVIEW HIGH SCHOOL","MT","change clothes","1st"
"LODI HIGH","WI","change clothes","1st"
"OKAY HS","OK","change clothes","Any"
"WASHTENAW INTERNATIONAL HIGH SCHOOL","MI","change clothes","Any"
"ASSETS","TX","change clothes","Any"
"CLEAR CREEK HIGH SCHOOL","CO","change clothes","Any"
"BURKBURNETT H S","TX","change clothes","Any"
"EDISON ACADEMY","MA","change clothes","Any"
"CALIFORNIA HIGH","MO","change clothes","1st"
"CALIFORNIA HIGH","MO","change clothes","2nd"
"ALISO NIGUEL HIGH","CA","change clothes","1st"
"ANDREWS H S","TX","change clothes","Any"
"BUFFALO HIGH SCHOOL","WY","change clothes","Any"
"TAFT UNION HIGH","CA","change clothes","Any"
"FRANKLIN HIGH","MA","change clothes","Any"
"CALIFORNIA HIGH","MO","change clothes","1st"
"CALIFORNIA HIGH","MO","change clothes","2nd"
"RUTLAND SENIOR HIGH SCHOOL","VT","change clothes","Any"
"SWEETWATER H S","TX","change clothes","1st"
"WRAY HIGH SCHOOL","CO","change clothes","1st"
"NORTH DOUGLAS HIGH SCHOOL","OR","change clothes","Any"
"COLBY SENIOR HIGH","KS","change clothes","Any"
"SCOTTS VALLEY HIGH","CA","change clothes","Any"
"AUBURN HIGH","VA","change clothes","Any"
"HICKORY RIDGE HIGH","NC","change clothes","Any"
"DEWITT HIGH SCHOOL","AR","change clothes","Any"
"CONNETQUOT HIGH SCHOOL","NY","change clothes","Any"
"RONDOUT VALLEY HIGH SCHOOL","NY","change clothes","Any"
"BONDUEL HIGH","WI","change clothes","Any"
"FARMINGTON HIGH","NM","change clothes","Any"
"MOUNT PLEASANT HIGH","NC","change clothes","Any"
"POTTSTOWN SHS","PA","change clothes","Any"
"WHEELER HIGH SCHOOL","CT","change clothes","Any"
"ELKHORN AREA HIGH","WI","change clothes","Any"
"BOURNE HIGH SCHOOL","MA","change clothes","Any"
"EASTERN YORK HS","PA","change clothes","Any"
"WASHINGTON HS","OK","change clothes","Any"
"NORWOOD HIGH","MA","change clothes","2nd"
"LAKE REGION UHSD #24","VT","change clothes","Any"
"NEWBERG SENIOR HIGH SCHOOL","OR","change clothes","Any"
"NICOLET HIGH","WI","change clothes","Any"
"HOLLAND PATENT CENTRAL HIGH SCHOOL","NY","change clothes","Any"
"DICKINSON H S","TX","change clothes","Any"
"VINTON-SHELLSBURG HIGH SCHOOL","IA","change clothes","Any"
"QUINCY HIGH SCHOOL","WA","change clothes","Any"
"POTOSI HIGH","WI","change clothes","Any"
"BETHEL PARK HS","PA","change clothes","Any"
"CLINTON HIGH","WI","change clothes","Any"
"JENKS HS","OK","change clothes","1st"
"JENKS HS","OK","change clothes","2nd"
"MOUNTAIN RANGE HIGH SCHOOL","CO","change clothes","1st"
"PRENTICE HIGH","WI","change clothes","Any"
"MOUNT UNION AREA SHS","PA","change clothes","1st"
"MOUNT UNION AREA SHS","PA","change clothes","2nd"
"MOUNT UNION AREA SHS","PA","change clothes","3rd"
"JOHN STARK REGIONAL HIGH SCHOOL","NH","change clothes","Any"
"BROOKFIELD HIGH SCHOOL","CT","change clothes","Any"
"CRESTON HIGH SCHOOL","IA","change clothes","Any"
"THORP HIGH","WI","change clothes","Any"
"NORTH FAYETTE HIGH SCHOOL","IA","change clothes","Any"
"HORNELL SENIOR HIGH SCHOOL","NY","change clothes","Any"
"DANIEL HAND HIGH SCHOOL","CT","change clothes","Any"
"HOUSATONIC VALLEY REGIONAL HIGH SCHOOL","CT","change clothes","Any"
"FAIRVIEW HS","PA","change clothes","Any"
"LYNNFIELD HIGH","MA","change clothes","Any"
"LAPINE SENIOR HIGH SCHOOL","OR","change clothes","1st"
"LAPINE SENIOR HIGH SCHOOL","OR","change clothes","2nd"
"ANACORTES HIGH SCHOOL","WA","change clothes","Any"
"MAHOPAC HIGH SCHOOL","NY","change clothes","Any"
"NORTHLAND PINES HIGH","WI","change clothes","Any"
"BRADFORD AREA HS","PA","change clothes","Any"
"SAUK RAPIDS-RICE SENIOR HIGH","MN","change clothes","Any"
"CONVAL REGIONAL HIGH SCHOOL","NH","change clothes","Any"
"HOLCOMB HIGH","KS","change clothes","1st"
"HOLCOMB HIGH","KS","change clothes","2nd"
"HOLCOMB HIGH","KS","change clothes","3rd"
"HOLCOMB HIGH","KS","change clothes","4th"
"HOLCOMB HIGH","KS","change clothes","5th"
"MILWAUKIE HIGH SCHOOL","OR","change clothes","Any"
"WINNECONNE HIGH","WI","change clothes","Any"
"PINE ISLAND SECONDARY","MN","change clothes","Any"
"NORTH EUGENE HIGH SCHOOL","OR","change clothes","Any"
"SIUSLAW HIGH SCHOOL","OR","change clothes","Any"
"UNIVERSITY CITY HIGH","CA","change clothes","Any"
"RED HOOK SENIOR HIGH SCHOOL","NY","change clothes","Any"
"WEST SENECA WEST SENIOR HIGH SCHOOL","NY","change clothes","Any"
"VAN HORN HIGH","MO","change clothes","1st"
"VAN HORN HIGH","MO","change clothes","2nd"
"KNOXVILLE HIGH SCHOOL","IA","change clothes","Any"
"HICKSVILLE HIGH SCHOOL","NY","cover offending items","Any"
"FONDA-FULTONVILLE SENIOR HIGH SCHOOL","NY","cover offending items","Any"
"ARCADIA HIGH SCHOOL","NY","cover offending items","Any"
"DEL MAR HIGH","CA","cover offending items","1st"
"CARMEL HIGH SCHOOL","NY","cover offending items","Any"
"MILTON HIGH","WI","cover offending items","Any"
"PORT JERVIS SENIOR HIGH SCHOOL","NY","cover offending items","Any"
"SOUTH JEFFERSON HIGH SCHOOL","NY","cover offending items","Any"
"DEPEW HIGH SCHOOL","NY","cover offending items","Any"
"GATEWAY HIGH SCHOOL","CO","cover offending items","Any"
"PINE BUSH SENIOR HIGH SCHOOL","NY","cover offending items","Any"
"FRUITVALE H S","TX","cover offending items","Any"
"EAST LAURENS HIGH SCHOOL","GA","cover offending items","Any"
"LEVERETTS CHAPEL H S","TX","cover offending items","Any"
"NEVADA HIGH SCHOOL","IA","cover offending items","Any"
"COLUMBIA HIGH SCHOOL","NY","cover offending items","Any"
"SCOTIA-GLENVILLE SENIOR HIGH SCHOOL","NY","cover offending items","Any"
"WEST SENECA EAST SENIOR HIGH SCHOOL","NY","cover offending items","Any"
"NISKAYUNA HIGH SCHOOL","NY","cover offending items","Any"
"BELLPORT SENIOR HIGH SCHOOL","NY","cover offending items","Any"
"PLATTE CANYON HIGH SCHOOL","CO","cover offending items","4th"
"SPENCERPORT HIGH SCHOOL","NY","cover offending items","Any"
"WEST ISLIP SENIOR HIGH SCHOOL","NY","cover offending items","Any"
"DAVID PROUTY HIGH","MA","cover offending items","1st"
"SOUTH GLENS FALLS SENIOR HIGH SCHOOL","NY","cover offending items","Any"
"MARATHON HIGH","WI","cover offending items","Any"
"BONNEY LAKE HIGH SCHOOL","WA","cover offending items","Any"
"GOSHEN CENTRAL HIGH SCHOOL","NY","cover offending items","Any"
"ILLINOIS VALLEY HIGH SCHOOL","OR","cover offending items","Any"
"WEST HEMPSTEAD HIGH SCHOOL","NY","cover offending items","Any"
"MONROE-WOODBURY HIGH SCHOOL","NY","cover offending items","Any"
"LOVELL HIGH SCHOOL","WY","cover offending items","Any"
"MADRAS HIGH SCHOOL","OR","cover offending items","Any"
"MILLER PLACE HIGH SCHOOL","NY","cover offending items","Any"
"SPAULDING UHSD #41","VT","cover offending items","Any"
"LYONS SENIOR HIGH SCHOOL","NY","cover offending items","Any"
"BINGHAMTON HIGH SCHOOL","NY","cover offending items","Any"
"NASHOBA REGIONAL","MA","cover offending items","Any"
"SLEEPY HOLLOW HIGH SCHOOL","NY","cover offending items","Any"
"EAST HAMPTON HIGH SCHOOL","NY","cover offending items","1st"
"ONTEORA HIGH SCHOOL","NY","cover offending items","1st"
"HAVERLING SENIOR HIGH SCHOOL","NY","cover offending items","Any"
"WHITE RIVER HIGH SCHOOL","WA","cover offending items","Any"
"HUNTINGTON HIGH SCHOOL","NY","cover offending items","1st"
"SARATOGA SPRINGS HIGH SCHOOL","NY","cover offending items","Any"
"LODI HIGH","WI","cover offending items","1st"
"OKAY HS","OK","cover offending items","Any"
"CALIFORNIA HIGH","MO","cover offending items","1st"
"CALIFORNIA HIGH","MO","cover offending items","2nd"
"AUBURN HIGH","VA","cover offending items","Any"
"CONNETQUOT HIGH SCHOOL","NY","cover offending items","Any"
"RONDOUT VALLEY HIGH SCHOOL","NY","cover offending items","Any"
"ELKHORN AREA HIGH","WI","cover offending items","Any"
"NICOLET HIGH","WI","cover offending items","Any"
"HOLLAND PATENT CENTRAL HIGH SCHOOL","NY","cover offending items","Any"
"DICKINSON H S","TX","cover offending items","Any"
"JOHN STARK REGIONAL HIGH SCHOOL","NH","cover offending items","Any"
"LAPINE SENIOR HIGH SCHOOL","OR","cover offending items","1st"
"LAPINE SENIOR HIGH SCHOOL","OR","cover offending items","2nd"
"ANACORTES HIGH SCHOOL","WA","cover offending items","Any"
"MAHOPAC HIGH SCHOOL","NY","cover offending items","Any"
"RED HOOK SENIOR HIGH SCHOOL","NY","cover offending items","Any"
"WEST SENECA WEST SENIOR HIGH SCHOOL","NY","cover offending items","Any"
"MOHONASEN SENIOR HIGH SCHOOL","NY","detention","Any"
"ANAMOSA HIGH SCHOOL","IA","detention","2nd"
"RIO RANCHO HIGH","NM","detention","2nd"
"BROOKFIELD HIGH","MO","detention","1st"
"BROOKFIELD HIGH","MO","detention","2nd"
"JULIAN HIGH","CA","detention","2nd"
"SOUTHERN COLUMBIA HS","PA","detention","2nd"
"COE-BROWN NORTHWOOD ACADEMY","NH","detention","2nd"
"COE-BROWN NORTHWOOD ACADEMY","NH","detention","3rd"
"HUNTLEY PROJECT HIGH SCHL","MT","detention","Any"
"RAINIER SENIOR HIGH SCHOOL","WA","detention","1st"
"NANTUCKET HIGH","MA","detention","2nd"
"ADM SENIOR HIGH SCHOOL","IA","detention","Any"
"SYMMES VALLEY HIGH SCHOOL","OH","detention","2nd"
"SYMMES VALLEY HIGH SCHOOL","OH","detention","3rd"
"SYMMES VALLEY HIGH SCHOOL","OH","detention","4th"
"LAUREL HIGH SCHOOL","MT","detention","2nd"
"LANDER VALLEY HIGH SCHOOL","WY","detention","2nd"
"ROSEMONT HIGH","CA","detention","4th"
"PIEDMONT HS","OK","detention","2nd"
"PITTSFIELD HIGH SCHOOL","NH","detention","Any"
"DAVID PROUTY HIGH","MA","detention","2nd"
"WHITMAN HANSON REGIONAL","MA","detention","Any"
"ATHENS HIGH","WI","detention","Any"
"ATASCADERO HIGH","CA","detention","Any"
"KEYSTONE HIGH SCHOOL","OH","detention","Any"
"SINTON H S","TX","detention","Any"
"CLEARWATER HIGH","MO","detention","Any"
"HAMILTON HIGH SCHOOL","AZ","detention","Any"
"PENTUCKET REGIONAL SR HIGH","MA","detention","2nd"
"UNIONVILLE-SEBEWAING HIGH SCHOOL","MI","detention","3rd"
"UNIONVILLE-SEBEWAING HIGH SCHOOL","MI","detention","4th"
"UNIONVILLE-SEBEWAING HIGH SCHOOL","MI","detention","5th"
"OMRO HIGH","WI","detention","Any"
"NASHOBA REGIONAL","MA","detention","Any"
"SENIOR HS","OK","detention","2nd"
"SENIOR HS","OK","detention","3rd"
"RUSSELL HIGH","KS","detention","2nd"
"GRAND RAPIDS SENIOR HIGH","Mn","detention","Any"
"RAMON C. CORTINES SCHOOL OF VISUAL AND PERFORMING ARTS","CA","detention","Any"
"CALIFORNIA HIGH","MO","detention","1st"
"CALIFORNIA HIGH","MO","detention","2nd"
"CALIFORNIA HIGH","MO","detention","2nd"
"MARION L STEELE HIGH SCHOOL","OH","detention","Any"
"WHEELER HIGH SCHOOL","CT","detention","2nd"
"WHEELER HIGH SCHOOL","CT","detention","3rd"
"NORWOOD HIGH","MA","detention","2nd"
"POTOSI HIGH","WI","detention","Any"
"JENKS HS","OK","detention","2nd"
"CHARLESTON HIGH","MO","detention","2nd"
"MOUNT UNION AREA SHS","PA","detention","2nd"
"MOUNT UNION AREA SHS","PA","detention","3rd"
"THORP HIGH","WI","detention","Any"
"HOLCOMB HIGH","KS","detention","2nd"
"HOLCOMB HIGH","KS","detention","3rd"
