"neighborhood","yelpAlias","yelpTitle","nCount","neighborhoodTotal","cCount","cityTotal","incidence","rank"
"Boerum Hill","cosmetics","Cosmetics & Beauty Supply",433,21586,20717,3633681,3.5183225805,3
"Boerum Hill","cosmetics","Cosmetics & Beauty Supply",433,21586,20717,3633681,3.5183225805,3
"Boerum Hill","accessories","Accessories",429,21586,23443,3633681,3.08048238651,4
"Boerum Hill","womenscloth","Women's Clothing",538,21586,34182,3633681,2.64947259145,5
"Borough Park","autosecurity","Auto Security",216,10557,668,3633681,111.297027429,1
"Borough Park","awnings","Awnings",139,10557,486,3633681,98.4429925963,2
"Borough Park","petservices","Pet Services",380,10557,2345,3633681,55.7759564133,3
"Borough Park","vehiclewraps","Vehicle Wraps",139,10557,932,3633681,51.3340068689,4
"Borough Park","refinishing","Refinishing Services",154,10557,1383,3633681,38.3269991619,5
"Breezy Point","beaches","Beaches",3,94,31,3633681,3740.92072752,1
"Breezy Point","parks","Parks",3,94,1357,3633681,85.4595007761,2
"Breezy Point","restaurants","Restaurants",8,94,5327,3633681,58.0532094628,3
"Breezy Point","localflavor","Local Flavor",3,94,3001,3633681,38.6432997511,4
"Breezy Point","pubs","Pubs",8,94,9946,3633681,31.0928460495,5
"Briarwood","hennaartists","Henna Artists",147,4121,1148,3633681,112.906678168,1
"Briarwood","usedcardealers","Used Car Dealers",51,4121,716,3633681,62.8060292764,2
"Briarwood","commercialrealestate","Commercial Real Estate",179,4121,7440,3633681,21.2140837449,3
"Briarwood","peruvian","Peruvian",44,4121,1923,3633681,20.175187323,4
"Briarwood","indpak","Indian",57,4121,6905,3633681,7.27872575096,5
"Brighton Beach","videogamestores","Video Game Stores",137,11490,481,3633681,90.0745829782,1
"Brighton Beach","travelagents","Travel Agents",244,11490,1050,3633681,73.4898391148,2
"Brighton Beach","waterheaterinstallrepair","Water Heater Installation/Repair",120,11490,542,3633681,70.0178432072,3
"Brighton Beach","russian","Russian",316,11490,2046,3633681,48.8436626009,4
"Brighton Beach","servicestations","Gas Stations",221,11490,1659,3633681,42.1281760852,5
"Broad Channel","firewood","Firewood",15,225,160,3633681,1514.03375,1
"Broad Channel","landscaping","Landscaping",15,225,1041,3633681,232.70451489,2
"Broad Channel","gardening","Nurseries & Gardening",15,225,1931,3633681,125.450750906,3
"Broad Channel","libraries","Libraries",18,225,7365,3633681,39.4697189409,4
"Broad Channel","blowoutservices","Blow Dry/Out Services",8,225,3442,3633681,37.5356033314,5
"Bronx Park","challengecourses","Challenge Courses",15,1155,203,3633681,232.466316934,1
"Bronx Park","souvenirs","Souvenir Shops",24,1155,638,3633681,118.346488621,2
"Bronx Park","photoboothrentals","Photo Booth Rentals",292,1155,10584,3633681,86.7956248589,3
"Bronx Park","farmersmarket","Farmers Market",11,1155,802,3633681,43.1502315639,4
"Bronx Park","gardening","Nurseries & Gardening",24,1155,1931,3633681,39.10153275,5
"Brooklyn Heights","criminaldefense","Criminal Defense Law",708,65776,2797,3633681,13.983636623,1
"Brooklyn Heights","divorce","Divorce & Family Law",992,65776,3945,3633681,13.8913355895,2
"Brooklyn Heights","lawyers","Lawyers",1258,65776,6130,3633681,11.3370354643,3
"Brooklyn Heights","personal_injury","Personal Injury Law",756,65776,3876,3633681,10.7750021557,4
"Brooklyn Heights","mideastern","Middle Eastern",766,65776,5453,3633681,7.76019457287,5
"Brownsville","discountstore","Discount Store",47,2846,3977,3633681,15.0887814879,1
"Brownsville","apartments","Apartments",187,2846,16604,3633681,14.3794006363,2
"Brownsville","restaurants","Restaurants",52,2846,5327,3633681,12.4632856577,3
"Brownsville","chicken_wings","Chicken Wings",72,2846,8458,3633681,10.8686778887,4
"Brownsville","propertymgmt","Property Management",180,2846,26617,3633681,8.6342635893,5
"Bulls Head","carwash","Car Wash",73,3764,895,3633681,78.7402896598,1
"Bulls Head","partybusrentals","Party Bus Rentals",215,3764,5867,3633681,35.3768821614,2
"Bulls Head","auto_detailing","Auto Detailing",73,3764,2279,3633681,30.9225797479,3
"Bulls Head","sportsbars","Sports Bars",96,3764,9932,3633681,9.33107554324,4
"Bulls Head","sushi","Sushi Bars",94,3764,11095,3633681,8.17895333462,5
"Bushwick","petphotography","Pet Photography",388,25705,4003,3633681,13.701727478,1
"Bushwick","musicalinstrumentsandteachers","Musical Instruments & Teachers",427,25705,5123,3633681,11.7823714184,2
"Bushwick","musicians","Musicians",261,25705,4097,3633681,9.00541503817,3
"Bushwick","marketing","Marketing",249,25705,5944,3633681,5.92174546562,4
"Bushwick","taxis","Taxis",741,25705,20581,3633681,5.08956804631,5
"Cambria Heights","haitian","Haitian",27,930,760,3633681,138.807848048,1
"Cambria Heights","photoboothrentals","Photo Booth Rentals",203,930,10584,3633681,74.9393731866,2
"Cambria Heights","hometheatreinstallation","Home Theatre Installation",59,930,3165,3633681,72.8353391428,3
"Cambria Heights","tvmounting","TV Mounting",59,930,4731,3633681,48.7262414684,4
"Cambria Heights","caribbean","Caribbean",44,930,8761,3633681,19.6228844107,5
"Canarsie","haitian","Haitian",87,8354,760,3633681,49.7918184481,1
"Canarsie","blinds","Shades & Blinds",451,8354,5708,3633681,34.3672596865,2
"Canarsie","towncarservice","Town Car Service",191,8354,2767,3633681,30.0245519482,3
"Canarsie","fabricstores","Fabric Stores",96,8354,2276,3633681,18.3464187725,4
"Canarsie","partyequipmentrentals","Party Equipment Rentals",153,8354,6097,3633681,10.9150960792,5
"Carnegie Hill","spraytanning","Spray Tanning",123,8068,4260,3633681,13.0039838311,1
"Carnegie Hill","childcloth","Children's Clothing",138,8068,5231,3633681,11.8816095022,2
"Carnegie Hill","museums","Museums",123,8068,5269,3633681,10.5137542457,3
"Carnegie Hill","selfstorage","Self Storage",517,8068,23730,3633681,9.81236542173,4
"Carnegie Hill","packingservices","Packing Services",299,8068,15914,3633681,8.46199458524,5
"Carroll Gardens","mortgagelenders","Mortgage Lenders",440,17905,682,3633681,130.930484366,1
"Carroll Gardens","mortgagebrokers","Mortgage Brokers",440,17905,3783,3633681,23.6041740253,2
"Carroll Gardens","packingsupplies","Packing Supplies",309,17905,4299,3633681,14.5869168382,3
"Carroll Gardens","estatephotography","Real Estate Photography",517,17905,7279,3633681,14.4142249824,4
"Carroll Gardens","commercialrealestate","Commercial Real Estate",199,17905,7440,3633681,5.42815966436,5
"Castle Hill","autocustomization","Auto Customization",229,2056,3089,3633681,131.021106178,1
"Castle Hill","fooddeliveryservices","Food Delivery Services",130,2056,3524,3633681,65.1975296135,2
"Castle Hill","shoppingcenters","Shopping Centers",26,2056,1069,3633681,42.9852374851,3
"Castle Hill","bodyshops","Body Shops",229,2056,12803,3633681,31.6116689045,4
"Castle Hill","dominican","Dominican",31,2056,2980,3633681,18.3852321247,5
"Castleton Corners","painters","Painters",277,5517,3159,3633681,57.7529213425,1
"Castleton Corners","homestaging","Home Staging",277,5517,10471,3633681,17.423500957,2
"Castleton Corners","halal","Halal",79,5517,5289,3633681,9.83778525634,3
"Castleton Corners","icecream","Ice Cream & Frozen Yogurt",67,5517,4846,3633681,9.10615853553,4
"Castleton Corners","bagels","Bagels",70,5517,6258,3633681,7.36726506114,5
"Central Park","alternativemedicine","Alternative Medicine",219,8417,252,3633681,375.174268912,1
"Central Park","gardeners","Gardeners",212,8417,336,3633681,272.386797977,2
"Central Park","landscapearchitects","Landscape Architects",212,8417,383,3633681,238.960741828,3
"Central Park","bailbondsmen","Bail Bondsmen",87,8417,328,3633681,114.507749633,4
"Central Park","parks","Parks",119,8417,1357,3633681,37.8579056545,5
"Charleston","homewindowtinting","Home Window Tinting",80,2051,254,3633681,558.004123205,1
"Charleston","waterheaterinstallrepair","Water Heater Installation/Repair",23,2051,542,3633681,75.1812750868,2
"Charleston","beergardens","Beer Gardens",21,2051,921,3633681,40.3962268346,3
"Charleston","german","German",21,2051,1192,3633681,31.2121853311,4
"Charleston","autoglass","Auto Glass Services",80,2051,5562,3633681,25.4823889417,5
"Chelsea","galleries","Art Galleries",2920,80145,27660,3633681,4.78631239014,1
"Chelsea","galleries","Art Galleries",2920,80145,27660,3633681,4.78631239014,1
"Chelsea","walkingtours","Walking Tours",966,80145,12609,3633681,3.47349634711,2
"Chelsea","hairstylists","Hair Stylists",1013,80145,13934,3633681,3.29612751013,3
"Chelsea","makeupartists","Makeup Artists",1163,80145,18621,3633681,2.8316989477,4
"Chelsea","selfstorage","Self Storage",1400,80145,23730,3633681,2.67485757286,5
"Chinatown","shanghainese","Shanghainese",292,28955,1059,3633681,34.6027105653,1
"Chinatown","taiwanese","Taiwanese",278,28955,1358,3633681,25.6902455158,2
"Chinatown","noodles","Noodles",772,28955,5127,3633681,18.896318989,3
"Chinatown","florists","Florists",281,28955,3697,3633681,9.53850030877,4
"Chinatown","tcm","Traditional Chinese Medicine",288,28955,5345,3633681,6.76188852771,5
"Clason Point","beverage_stores","Beverage Store",12,495,58,3633681,1518.7799373,1
"Clason Point","dumpsterrental","Dumpster Rental",5,495,146,3633681,251.396222499,2
"Clason Point","acnetreatment","Acne Treatment",7,495,352,3633681,145.981215565,3
"Clason Point","chickenshop","Chicken Shop",26,495,1567,3633681,121.799624838,4
"Clason Point","wheelrimrepair","Wheel & Rim Repair",14,495,870,3633681,118.127328457,5
"Clinton","travelservices","Travel Services",1183,66435,10925,3633681,5.92261030146,1
"Clinton","towing","Towing",953,66435,10924,3633681,4.77156745606,2
"Clinton","theater","Performing Arts",2097,66435,27050,3633681,4.24014803958,3
"Clinton","tours","Tours",1581,66435,20613,3633681,4.19508268675,4
"Clinton","homeappliancerepair","Appliances & Repair",849,66435,12119,3633681,3.83169351064,5
"Clinton Hill","demolitionservices","Demolition Services",174,15374,1071,3633681,38.3989809271,1
"Clinton Hill","notaries","Notaries",314,15374,14180,3633681,5.2337543942,2
"Clinton Hill","towing","Towing",236,15374,10924,3633681,5.1061107796,3
"Clinton Hill","junkremovalandhauling","Junk Removal & Hauling",174,15374,8283,3633681,4.96502578449,4
"Clinton Hill","newamerican","American (New)",757,15374,44729,3633681,4.00006097894,5
"Clove Lake","duilawyers","DUI Law",16,422,840,3633681,164.011780636,1
"Clove Lake","localservices","Local Services",13,422,1325,3633681,84.4815398373,2
"Clove Lake","donuts","Donuts",38,422,5818,3633681,56.2398594654,3
"Clove Lake","criminaldefense","Criminal Defense Law",16,422,2797,3633681,49.2563088075,4
"Clove Lake","yoga","Yoga",14,422,2661,3633681,45.3020138173,5
"Co-op City","shoppingcenters","Shopping Centers",48,4579,1069,3633681,35.6319579093,1
"Co-op City","jewelryrepair","Jewelry Repair",56,4579,2263,3633681,19.6372029043,2
"Co-op City","tex-mex","Tex-Mex",44,4579,1924,3633681,18.1477907595,3
"Co-op City","soup","Soup",50,4579,2411,3633681,16.4569347976,4
"Co-op City","mattresses","Mattresses",70,4579,4173,3633681,13.311463627,5
"Cobble Hill","liceservices","Lice Services",54,5252,58,3633681,644.151239593,1
"Cobble Hill","argentine","Argentine",73,5252,420,3633681,120.252925416,2
"Cobble Hill","mideastern","Middle Eastern",129,5252,5453,3633681,16.367271752,3
"Cobble Hill","catering","Caterers",229,5252,14486,3633681,10.9372737461,4
"Cobble Hill","childcloth","Children's Clothing",79,5252,5231,3633681,10.4487527341,5
"College Point","jetskis","Jet Skis",166,5877,166,3633681,618.288412455,1
"College Point","boating","Boating",166,5877,528,3633681,194.386129673,2
"College Point","boattours","Boat Tours",166,5877,850,3633681,120.748089962,3
"College Point","metalfabricators","Metal Fabricators",126,5877,1108,3633681,70.3107761456,4
"College Point","windowwashing","Window Washing",68,5877,2037,3633681,20.6399666406,5
"Columbia Street Waterfront District","panasian","Pan Asian",46,3902,354,3633681,121.008005456,1
"Columbia Street Waterfront District","hotdog","Hot Dogs",64,3902,1570,3633681,37.961193182,2
"Columbia Street Waterfront District","hobbyshops","Hobby Shops",49,3902,1717,3633681,26.5757370367,3
"Columbia Street Waterfront District","fooddeliveryservices","Food Delivery Services",54,3902,3524,3633681,14.2697837949,4
"Columbia Street Waterfront District","divebars","Dive Bars",48,3902,3320,3633681,13.4636460758,5
"Columbus Circle","privatejetcharter","Private Jet Charter",223,22575,370,3633681,97.0112673072,1
"Columbus Circle","auto_detailing","Auto Detailing",223,22575,2279,3633681,15.7499644158,2
"Columbus Circle","bustours","Bus Tours",221,22575,2625,3633681,13.5513326119,3
"Columbus Circle","arttours","Art Tours",298,22575,3631,3633681,13.2101897009,4
"Columbus Circle","towncarservice","Town Car Service",223,22575,2767,3633681,12.9722330696,5
"Concourse","assistedliving","Assisted Living Facilities",200,12711,213,3633681,268.42160666,1
"Concourse","dominican","Dominican",158,12711,2980,3633681,15.1568133398,2
"Concourse","restaurants","Restaurants",233,12711,5327,3633681,12.503750626,3
"Concourse","sportsbars","Sports Bars",315,12711,9932,3633681,9.06652622777,4
"Concourse","hotdogs","Fast Food",400,12711,13851,3633681,8.25554865621,5
"Coney Island","truckrepair","Commercial Truck Repair",175,9437,307,3633681,219.488876862,1
"Coney Island","carbrokers","Car Brokers",224,9437,1092,3633681,78.9838361278,2
"Coney Island","carbuyers","Car Buyers",224,9437,1386,3633681,62.2296890704,3
"Coney Island","glassandmirrors","Glass & Mirrors",177,9437,1683,3633681,40.4950550201,4
"Coney Island","auto_detailing","Auto Detailing",202,9437,2279,3633681,34.1287111132,5
"Corona","computers","Computers",139,9284,1109,3633681,49.0563148289,1
"Corona","servicestations","Gas Stations",182,9284,1659,3633681,42.9374914785,2
"Corona","datarecovery","Data Recovery",139,9284,1787,3633681,30.4440140712,3
"Corona","colombian","Colombian",103,9284,1405,3633681,28.6927759234,4
"Corona","dominican","Dominican",104,9284,2980,3633681,13.6593093697,5
"Country Club","butcher","Butcher",27,304,903,3633681,357.395622049,1
"Country Club","preschools","Preschools",37,304,9617,3633681,45.9870257849,2
"Country Club","education","Education",7,304,1838,3633681,45.5224625594,3
"Country Club","childcare","Child Care & Day Care",37,304,10086,3633681,43.8486245264,4
"Country Club","delis","Delis",53,304,18665,3633681,33.9407230321,5
"Crown Heights","vacationrentalagents","Vacation Rental Agents",438,42848,698,3633681,53.2151058797,1
"Crown Heights","securitysystems","Security Systems",553,42848,3645,3633681,12.8660087183,2
"Crown Heights","caribbean","Caribbean",691,42848,8761,3633681,6.68868293889,3
"Crown Heights","itservices","IT Services & Computer Repair",642,42848,9707,3633681,5.60875204835,4
"Crown Heights","web_design","Web Design",547,42848,8950,3633681,5.18299194294,5
"Dongan Hills","demolitionservices","Demolition Services",93,3387,1071,3633681,93.159056005,1
"Dongan Hills","scavengerhunts","Scavenger Hunts",34,3387,896,3633681,40.7101318328,2
"Dongan Hills","turkish","Turkish",62,3387,1754,3633681,37.9222155003,3
"Dongan Hills","chocolate","Chocolatiers & Shops",34,3387,1400,3633681,26.054484373,4
"Dongan Hills","permanentmakeup","Permanent Makeup",75,3387,3521,3633681,22.8521380888,5
"Douglaston-Little Neck","collegecounseling","College Counseling",83,3417,1511,3633681,58.413798373,1
"Douglaston-Little Neck","flooring","Flooring",136,3417,2960,3633681,48.8594997983,2
"Douglaston-Little Neck","handyman","Handyman",136,3417,3320,3633681,43.5614817479,3
"Douglaston-Little Neck","electronics","Electronics",40,3417,1823,3633681,23.3332450394,4
"Douglaston-Little Neck","cantonese","Cantonese",35,3417,1634,3633681,22.778116581,5
"Downtown","shoes","Shoe Stores",434,36154,12235,3633681,3.56513680896,1
"Downtown","homeappliancerepair","Appliances & Repair",350,36154,12119,3633681,2.90263015803,2
"Downtown","videofilmproductions","Video/Film Production",601,36154,22439,3633681,2.69191546682,3
"Downtown","dogwalkers","Dog Walkers",1017,36154,39007,3633681,2.62040757946,4
"Downtown","pet_sitting","Pet Sitting",905,36154,35072,3633681,2.59345365217,5
"DUMBO","antiques","Antiques",450,21502,4875,3633681,15.5993260019,1
"DUMBO","bookstores","Bookstores",270,21502,3368,3633681,13.5475144167,2
"DUMBO","sharedofficespaces","Shared Office Spaces",226,21502,2948,3633681,12.9553425468,3
"DUMBO","jewelry","Jewelry",895,21502,17377,3633681,8.70394573439,4
"DUMBO","artclasses","Art Classes",286,21502,5811,3633681,8.31731401293,5
"Dyker Heights","homeandgarden","Home & Garden",319,7059,1379,3633681,119.077589068,1
"Dyker Heights","carpeting","Carpeting",319,7059,1552,3633681,105.804120699,2
"Dyker Heights","cabinetry","Cabinetry",128,7059,4054,3633681,16.2528617594,3
"Dyker Heights","towncarservice","Town Car Service",74,7059,2767,3633681,13.7665836092,4
"Dyker Heights","homehealthcare","Home Health Care",193,7059,9595,3633681,10.3541856138,5
"East Elmhurst","arts","Arts & Entertainment",200,8245,1111,3633681,79.3363241721,1
"East Elmhurst","aquariumservices","Aquarium Services",156,8245,1864,3633681,36.883729507,2
"East Elmhurst","colombian","Colombian",95,8245,1405,3633681,29.799118629,3
"East Elmhurst","realestateagents","Real Estate Agents",1196,8245,72568,3633681,7.26343682902,4
"East Elmhurst","limos","Limos",561,8245,36253,3633681,6.81985354358,5
"East Flatbush","tiling","Tiling",228,11524,1419,3633681,50.6635946087,1
"East Flatbush","caribbean","Caribbean",588,11524,8761,3633681,21.162510869,2
"East Flatbush","handyman","Handyman",175,11524,3320,3633681,16.6204781378,3
"East Flatbush","taxservices","Tax Services",520,11524,14108,3633681,11.6220152526,4
"East Flatbush","homeappliancerepair","Appliances & Repair",255,11524,12119,3633681,6.63463359376,5
"East Harlem","university_housing","University Housing",384,34429,1331,3633681,30.4491769656,1
"East Harlem","collegeuniv","Colleges & Universities",434,34429,5534,3633681,8.27700016889,2
"East Harlem","estatephotography","Real Estate Photography",455,34429,7279,3633681,6.59723670557,3
"East Harlem","latin","Latin American",552,34429,11679,3633681,4.98833726372,4
"East Harlem","towing","Towing",491,34429,10924,3633681,4.74375433386,5
"East New York","autosecurity","Auto Security",206,14256,668,3633681,78.6031352699,1
"East New York","wheelrimrepair","Wheel & Rim Repair",233,14256,870,3633681,68.2630643117,2
"East New York","demolitionservices","Demolition Services",223,14256,1071,3633681,53.0718838321,3
"East New York","stereo_installation","Car Stereo Installation",515,14256,3020,3633681,43.4659721525,4
"East New York","autopartssupplies","Auto Parts & Supplies",265,14256,3525,3633681,19.1617806314,5
"East Tremont","appliances","Appliances",143,3115,2802,3633681,59.5328472096,1
"East Tremont","puertorican","Puerto Rican",32,3115,757,3633681,49.3108905433,2
"East Tremont","cabinetry","Cabinetry",143,3115,4054,3633681,41.1472713077,3
"East Tremont","spanish","Spanish",106,3115,6463,3633681,19.1320037085,4
"East Tremont","donuts","Donuts",85,3115,5818,3633681,17.0425256317,5
"East Village","japanese","Japanese",1125,94764,13930,3633681,3.09674054302,1
"East Village","cocktailbars","Cocktail Bars",1992,94764,27303,3633681,2.79757912683,2
"East Village","bars","Bars",2959,94764,41327,3633681,2.74545606969,3
"East Village","lounges","Lounges",1158,94764,17535,3633681,2.53224780382,4
